Organisation Name,Award offered,Discipline,Applicant ACE Area,Region (ONS),Local Authority Name,Constituency
Bacup Royal Court Theatre Group,50000.00,Theatre,North,North West,Rossendale,Rossendale and Darwen
BalletBoyz Ltd,194100.00,Dance,London,London,Kingston upon Thames,Richmond Park
Bank Top Industries Ltd,56186.00,Combined arts,North,North West,Oldham,Oldham West and Royton
Bankside Gallery,50000.00,Visual arts,London,London,Southwark,Bermondsey and Old Southwark
Bar Thirty Two Ltd,50000.00,Music,North,North West,Allerdale,Copeland
"Barbican Theatre, Plymouth",167699.00,Theatre,South West,South West,Plymouth,"Plymouth, Sutton and Devonport"
Barnes Community Arts Centre,57908.00,Combined arts,London,London,Richmond upon Thames,Richmond Park
Barnsley Civic Enterprise Ltd,57362.00,Combined arts,North,Yorkshire and The Humber,Barnsley,Barnsley Central
Barrow Borough Council/the forum,100000.00,Combined arts,North,North West,Barrow-in-Furness,Barrow and Furness
Bassment JAM Limited,183315.00,Music,South East,East of England,Chelmsford,Chelmsford
Bath Festivals,100000.00,Combined arts,South West,South West,Bath and North East Somerset,Bath
Bath International Comedy Festival,75000.00,Theatre,South West,South West,Bath and North East Somerset,Bath
Battersea Arts Centre,892381.00,Theatre,London,London,Wandsworth,Battersea
BCP Council (Russell-Cotes Art Gallery and Museum),225916.00,Museums,South West,South West,"Bournemouth, Christchurch and Poole",Bournemouth West
BDC at Broadway Limited,209000.00,Theatre,London,London,Barking and Dagenham,Barking
Beaconsfield,89216.00,Visual arts,London,London,Lambeth,Vauxhall
Beamish Museum,970000.00,Museums,North,North East,County Durham,North Durham
Beat Bazaar Projects Ltd,75000.00,Music,North,North West,Manchester,Manchester Central
Beat Routes,62090.00,Combined arts,South East,South East,Slough,Windsor
Beavers Arts Ltd.,80000.00,Combined arts,Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central
Beck & Harper Limited,73584.00,Music,North,North East,Stockton-on-Tees,Stockton North
Beck Theatre Ltd,222482.00,Theatre,London,London,Hillingdon,Hayes and Harlington
Bedford Players Trust,101990.00,Theatre,South East,East of England,Bedford,Bedford
Belarus Free Theatre,95000.00,Theatre,London,London,Lambeth,Vauxhall
Belgrade Theatre Trust (Coventry) Ltd,999999.00,Theatre,Midlands,West Midlands,Coventry,Coventry South
Belgrave Baheno Peepul Centre,144268.00,Theatre,Midlands,East Midlands,Leicester,Leicester East
Bernard Leach Trust Limited  (Leach Pottery),58335.00,Visual arts,South West,South West,Cornwall,St Ives
Bernie Grant Centre Partnership,243556.00,Combined arts,London,London,Haringey,Tottenham
Bharatiya Vidya Bhavan Ltd,340160.00,Music,London,London,Hammersmith and Fulham,Hammersmith
Bido Lito!,50000.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Bird On The Wire,200000.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Birmingham City University,71799.00,Visual arts,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Birmingham Ormiston Academy Theatre Ltd,60000.00,Combined arts,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Birmingham Royal Ballet,500000.00,Dance,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Birmingham STage Co (London) Ltd,132000.00,Theatre,Midlands,West Midlands,North Warwickshire,North Warwickshire
Black Country Dance Hub,50000.00,Dance,Midlands,West Midlands,Walsall,Walsall North
Black Country Touring,50156.00,Theatre,Midlands,West Midlands,Sandwell,West Bromwich East
Black Dyke Band,76080.00,Music,North,Yorkshire and The Humber,Bradford,Bradford South
Black Swan Arts,54000.00,Visual arts,South West,South West,Mendip,Somerton and Frome
Blackfriars Arts Centre Ltd,98728.00,Theatre,Midlands,East Midlands,Boston,Boston and Skegness
Blackheath Conservatoire of Music and the Arts Ltd,228000.00,Music,London,London,Greenwich,Greenwich and Woolwich
Blackhorse Workshop CIC,50000.00,Visual arts,London,London,Waltham Forest,Walthamstow
Blackpool Grand Theatre (Arts & Entertainment) Ltd,483666.00,Theatre,North,North West,Blackpool,Blackpool South
Bletchley Park Trust,447112.00,Combined arts,South East,South East,Milton Keynes,Milton Keynes South
Blitz,136363.00,Music,North,North West,Preston,Wyre and Preston North
Block9,100000.00,Combined arts,London,London,Newham,East Ham
Bloom Leisure Ltd,218137.00,Music,North,North West,Manchester,Manchester Central
Blue Elephant (UK) Ltd,111350.00,Not discipline specific,South East,South East,Crawley,Crawley
Blue Fox Events Ltd,100000.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Bluecoat Display Centre Ltd.,63250.00,Visual arts,North,North West,Liverpool,"Liverpool, Riverside"
BMP The Sound Recording Company Ltd,66500.00,Music,Midlands,East Midlands,Lincoln,Lincoln
Bolton Party Ltd,225451.00,Music,North,North West,Bolton,Bolton South East
Bondco 628 Ltd t/a Corporation,398400.00,Music,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Border Crossings,54713.00,Theatre,London,London,Enfield,Enfield North
Boston Arms Ltd,583851.00,Not discipline specific,London,London,Islington,Islington North
Boy Blue,112242.00,Dance,London,London,City of London,Cities of London and Westminster
Bradford Museums & Galleries,208536.00,Museums,North,Yorkshire and The Humber,Bradford,Bradford West
Bradford Theatres,894423.00,Theatre,North,Yorkshire and The Humber,Bradford,Bradford West
Brading Roman Villa,96200.00,Museums,South West,South East,Isle of Wight,Isle of Wight
Brantwood,221400.00,Museums,North,North West,South Lakeland,Westmorland and Lonsdale
Breathe Arts Health Research,97476.00,Not discipline specific,London,London,Southwark,Bermondsey and Old Southwark
Bressingham Steam Museum,193409.00,Museums,South East,East of England,South Norfolk,South Norfolk
Brickmakers Live Ltd,174958.00,Music,South East,East of England,Norwich,Norwich North
Bridport Museum Trust Ltd,50000.00,Museums,South West,South West,Dorset,West Dorset
Brighter Sound,51505.00,Music,North,North West,Manchester,Manchester Central
Brighton & Hove City Council,990000.00,Museums,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Brighton Centre,250000.00,Music,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Brighton Dome & Festival Limited,493000.00,Combined arts,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Brighton Dome & Festival Limited,348257.00,Combined arts,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Brighton Marina Studios,119882.00,Dance,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Brighton Pride,643100.00,Combined arts,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Bristol Old Vic and Theatre Royal Trust Ltd,610466.00,Theatre,South West,South West,"Bristol, City of",Bristol West
British Commercial Vehicle Museum Trust,183600.00,Museums,North,North West,South Ribble,South Ribble
Brooklands Museum Trust,950000.00,Museums,South East,South East,Elmbridge,Runnymede and Weybridge
Brudenell Social,220429.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
BSMT SPACE LTD,50000.00,Visual arts,London,London,Hackney,Hackney South and Shoreditch
Burnley Borough Council,116476.00,Museums,North,North West,Burnley,Burnley
Burnley Leisure,336597.00,Theatre,North,North West,Burnley,Burnley
Burnley Youth Theatre,59448.00,Theatre,North,North West,Burnley,Burnley
Bush Hall (Music) Ltd,679603.00,Music,London,London,Hammersmith and Fulham,Hammersmith
Buxton Arts Festival Ltd,101895.00,Combined arts,Midlands,East Midlands,High Peak,High Peak
buxton opera house,530643.00,Combined arts,Midlands,East Midlands,High Peak,High Peak
Buy Art Fair Ltd,50000.00,Visual arts,North,North West,Trafford,Stretford and Urmston
C&D Circus Productions Limited,109420.00,Theatre,North,North East,Northumberland,Hexham
C.I. (Events) Limited,803000.00,Not discipline specific,London,London,Westminster,Cities of London and Westminster
Cabaret Mechanical Theatre,160000.00,Combined arts,South East,South East,Rother,Bexhill and Battle
Caddies Comedy Club,180000.00,Theatre,South East,East of England,Southend-on-Sea,Rochford and Southend East
CADS South Yorkshire,67882.00,Music,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Cambridge City Council - Community Services,400211.00,Combined arts,South East,East of England,Cambridge,Cambridge
Cambridge City Council - Community Services,100859.00,Music,South East,East of England,Cambridge,Cambridge
Cambridge Literary Festival,50000.00,Literature,South East,East of England,South Cambridgeshire,South Cambridgeshire
Camden Arts Centre,117575.00,Visual arts,London,London,Camden,Hampstead and Kilburn
Camden People's Theatre,52342.00,Theatre,London,London,Camden,Holborn and St Pancras
CAN YOU KICK IT CIC,199898.00,Music,London,London,Westminster,Cities of London and Westminster
Canbury Press,56000.00,Literature,London,London,Kingston upon Thames,Richmond Park
Candlelight Concerts,228000.00,Music,London,London,Lambeth,Streatham
Candoco Dance Company,100000.00,Dance,London,London,Southwark,Camberwell and Peckham
Canterbury Festival,117300.00,Combined arts,South East,South East,Canterbury,Canterbury
Cardboard Citizens,70000.00,Theatre,London,London,Tower Hamlets,Bethnal Green and Bow
CASSAVA REPUBLIC PRESS,116000.00,Literature,London,London,Hackney,Hackney South and Shoreditch
Cassius Creative LLP,70500.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Cast,249670.00,Theatre,North,Yorkshire and The Humber,Doncaster,Doncaster Central
Castle Park Arts Centre,50000.00,Visual arts,North,North West,Cheshire West and Chester,Weaver Vale
Catalyst Science Discovery Centre and Museum Trust Ltd,162000.00,Museums,North,North West,Halton,Halton
Cavern City Tours Ltd,525000.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Ceilidh Club Ltd,55393.00,Dance,North,(pseudo) Scotland,City of Edinburgh,Edinburgh East
Centre for Chinese Contemporary Art,55000.00,Visual arts,North,North West,Manchester,Manchester Central
Chalke Valley History Festivals,260000.00,Literature,South West,South West,Wiltshire,Salisbury
Chaplins Entertainment Ltd,70000.00,Theatre,London,London,Redbridge,Ilford North
chapterhouse theatre company ltd,103426.00,Theatre,Midlands,East Midlands,Lincoln,Lincoln
Charles Dickens Museum,222382.00,Museums,London,London,Camden,Holborn and St Pancras
Chats Palace Ltd,97221.00,Combined arts,London,London,Hackney,Hackney South and Shoreditch
Chelmsford City Council,250000.00,Theatre,South East,East of England,Chelmsford,Chelmsford
Cheltenham Festivals,783939.00,Not discipline specific,South West,South West,Cheltenham,Cheltenham
Cheshire East Council,180000.00,Not discipline specific,North,North West,Cheshire East,Congleton
Cheshire West and Chester Council - Cultural Services,60434.00,Not discipline specific,North,North West,Cheshire West and Chester,Ellesmere Port and Neston
Chesterfield Borough Council,249000.00,Theatre,Midlands,East Midlands,Chesterfield,Chesterfield
Chesterfield Museum,165000.00,Museums,Midlands,East Midlands,Chesterfield,Chesterfield
Chetham's Library,66400.00,Museums,North,North West,Manchester,Manchester Central
Chibuku/Circus Music,365000.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Chickenshed,106303.00,Theatre,London,London,Enfield,"Enfield, Southgate"
Children's Discovery Centre East London,150000.00,Literature,London,London,Newham,West Ham
Children's Radio UK Ltd,50000.00,Combined arts,London,London,Camden,Holborn and St Pancras
China Exchange,145627.00,Combined arts,London,London,Westminster,Cities of London and Westminster
Chineke Foundation,300000.00,Music,London,London,Hounslow,Brentford and Isleworth
Chinnerys,55000.00,Music,South East,East of England,Southend-on-Sea,Rochford and Southend East
Chipping Norton Theatre Ltd,144154.00,Theatre,South East,South East,West Oxfordshire,Witney
Chisenhale Dance Space,60328.00,Dance,London,London,Tower Hamlets,Bethnal Green and Bow
Chisenhale Gallery,100000.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
Chocolate Factory Productions Ltd,831830.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Christ Church Oxford United Clubs Ltd,250000.00,Theatre,London,London,Lambeth,Vauxhall
Cinder House Publishing Limited,136977.00,Literature,North,North West,Liverpool,"Liverpool, Wavertree"
Circolombia,69242.00,Combined arts,London,London,Hammersmith and Fulham,Hammersmith
Circus of Horrors Ltd,240000.00,Theatre,London,London,Merton,Wimbledon
Cirque Berserk Limited,249486.00,Theatre,South East,South East,West Berkshire,Newbury
City Arts Nottingham,58277.00,Combined arts,Midlands,East Midlands,Nottingham,Nottingham South
City of Birmingham Symphony orchestra,843000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
City of London Sinfonia,75000.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Claptrap The Venue,79802.00,Music,Midlands,West Midlands,Dudley,Stourbridge
Clarity Leisure,179000.00,Music,Midlands,West Midlands,Coventry,Coventry South
Classic Album Sundays,50000.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Classical Opera & The Mozartists,99452.00,Music,London,London,Hammersmith and Fulham,Hammersmith
Clayspace Studios,57857.00,Visual arts,South East,South East,Thanet,South Thanet
Clean Break Theatre Company Ltd,196520.00,Theatre,London,London,Camden,Holborn and St Pancras
Cleveland Ironstone Mining Museum,59100.00,Museums,North,North East,Redcar and Cleveland,Middlesbrough South and East Cleveland
Clod Ensemble,236724.00,Theatre,London,London,Hackney,Hackney South and Shoreditch
Clonter Farm Music Trust,100000.00,Combined arts,North,North West,Cheshire East,Congleton
CLPE,150000.00,Literature,London,London,Southwark,Bermondsey and Old Southwark
Cobalt TOO CIC,69000.00,Visual arts,North,North East,Newcastle upon Tyne,Newcastle upon Tyne East
CODA Colchester,85000.00,Music,South East,East of England,Colchester,Colchester
Colchester Arts Centre,51986.00,Combined arts,South East,East of England,Colchester,Colchester
Colchester Borough Council,84500.00,Museums,South East,East of England,Colchester,Colchester
Colchester Mercury Theatre Ltd.,250000.00,Theatre,South East,East of England,Colchester,Colchester
Coldharbour Mill Museum,230169.00,Museums,South West,South West,Mid Devon,Tiverton and Honiton
Collingwood Learning,152611.00,Theatre,North,Yorkshire and The Humber,Kirklees,Colne Valley
Colour House Children's Theatre,53000.00,Theatre,London,London,Merton,Mitcham and Morden
Colour Sound Experiment Limited,373275.00,Not discipline specific,London,London,Ealing,Ealing Central and Acton
Columbo Jazz Limited t/a Jazz Café,250000.00,Music,London,London,Camden,Holborn and St Pancras
Columbo South Limited,250000.00,Music,London,London,Lambeth,Vauxhall
Combined Military Services Museum,52400.00,Museums,South East,East of England,Maldon,Maldon
Comic Enterprises Ltd,246402.00,Combined arts,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Communion Group Limited,202293.00,Music,London,London,Islington,Islington North
Community Arts Studios Limited,100000.00,Visual arts,London,London,Wandsworth,Tooting
Community Focus,128453.00,Visual arts,London,London,Barnet,Chipping Barnet
Community Rooms cic,50000.00,Music,North,North West,West Lancashire,West Lancashire
Como No Promotions Ltd,68000.00,Music,London,London,Southwark,Dulwich and West Norwood
Company-ish,144140.00,Combined arts,London,London,Camden,Holborn and St Pancras
Complete Equipment Group Ltd,100050.00,Not discipline specific,South East,East of England,South Cambridgeshire,South Cambridgeshire
Compton Verney House Trust,980000.00,Visual arts,Midlands,West Midlands,Stratford-on-Avon,Kenilworth and Southam
Concorde2 Limited,228398.00,Music,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Contemporary Dance Trust,472339.00,Dance,London,London,Camden,Holborn and St Pancras
Continental Drifts,123000.00,Music,London,London,Haringey,Tottenham
Conway Hall Ethical Society,223497.00,Combined arts,London,London,Camden,Holborn and St Pancras
Copeland Park Partnership,220000.00,Music,London,London,Southwark,Camberwell and Peckham
Corby Cube Theatre Trust,198776.00,Combined arts,Midlands,East Midlands,Corby,Corby
CoreyBakerDance,124836.00,Dance,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Corinium Museum,121021.00,Museums,South West,South West,Cotswold,The Cotswolds
Corn Exchange (Newbury) Trust,240045.00,Combined arts,South East,South East,West Berkshire,Newbury
Cornwall Music Service Trust,248500.00,Music,South West,South West,Cornwall,Truro and Falmouth
Cornwall Theatre Company Ltd,82118.00,Theatre,South West,South West,Cornwall,St Ives
Corsica Studios,407764.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Coventry Cathedral,74152.00,Combined arts,Midlands,West Midlands,Coventry,Coventry South
Crack Industries Ltd,125320.00,Music,South West,South West,"Bristol, City of",Bristol West
Craft Festival,50000.00,Visual arts,South West,South West,Teignbridge,Central Devon
Crafts Council,353846.00,Visual arts,London,London,Islington,Islington South and Finsbury
Craven District Council,66099.00,Combined arts,North,Yorkshire and The Humber,Craven,Skipton and Ripon
Create London,104668.00,Combined arts,London,London,City of London,Cities of London and Westminster
CREATION LIVE EVENTS LIMITED,171433.00,Not discipline specific,Midlands,West Midlands,Shropshire,Ludlow
Creative Foundation,237539.00,Combined arts,South East,South East,Folkestone and Hythe,Folkestone and Hythe
Creative Industries Federation,200000.00,Not discipline specific,London,London,Camden,Holborn and St Pancras
Creative Kernow Ltd,50444.00,Theatre,South West,South West,Cornwall,Camborne and Redruth
Creative Tourist Limited,122000.00,Not discipline specific,North,North West,Manchester,Manchester Central
Creative Youth,74997.00,Combined arts,London,London,Kingston upon Thames,Kingston and Surbiton
Creswell Heritage Trust,440298.00,Museums,Midlands,East Midlands,Bolsover,Bolsover
Criterion Theatre Trust,329003.00,Theatre,London,London,Westminster,Cities of London and Westminster
Crosstown Concerts Ltd,212950.00,Music,South West,South West,"Bristol, City of",Bristol West
Cruz 101,250000.00,Music,North,North West,Manchester,Manchester Central
CSLR Ltd,112000.00,Music,Midlands,(pseudo) Wales,Wrexham,Wrexham
Cultural Co-operation,73666.00,Combined arts,London,London,Camden,Holborn and St Pancras
Culture Squared CIC,139707.00,Literature,North,Yorkshire and The Humber,Bradford,Bradford West
Culture Warrington,156604.00,Combined arts,North,North West,Warrington,Warrington South
CultureMix Arts Ltd,80000.00,Combined arts,South East,South East,Reading,Reading West
Cumbria Theatre Trust,878492.00,Theatre,North,North West,Allerdale,Copeland
D.H.Lawrence Birthplace Museum,51483.00,Museums,Midlands,East Midlands,Broxtowe,Ashfield
D6 Culture Ltd,68077.00,Visual arts,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Dance Art Studios LImited,50000.00,Dance,London,London,Westminster,Cities of London and Westminster
Dance City,240000.00,Dance,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
DanceEast,73080.00,Dance,South East,East of England,Ipswich,Ipswich
Dancefest,50000.00,Dance,Midlands,West Midlands,Worcester,Worcester
Dansworks Dance Academy of Performing Arts Community Interest Company,89600.00,Dance,North,North West,Rossendale,Rossendale and Darwen
Dante Or Die,63000.00,Theatre,London,London,Westminster,Cities of London and Westminster
Darkfield Events ltd,112135.00,Theatre,London,London,Hackney,Hackney North and Stoke Newington
David Pugh Limited,200000.00,Theatre,London,London,Kensington and Chelsea,Chelsea and Fulham
dBS Solutions North West Ltd,70000.00,Not discipline specific,North,North West,Warrington,Warrington North
De La Warr Pavilion,657713.00,Visual arts,South East,South East,Rother,Bexhill and Battle
Deaf Institute,148000.00,Music,North,North West,Manchester,Manchester Central
Deafinitely Theatre,95830.00,Theatre,London,London,Southwark,Bermondsey and Old Southwark
Déda,202000.00,Dance,Midlands,East Midlands,Derby,Derby South
Dedication Stories Ltd,75000.00,Visual arts,South West,South West,South Somerset,Somerton and Frome
Deer Shed Festival,238590.00,Combined arts,North,Yorkshire and The Humber,Harrogate,Skipton and Ripon
Delfina Foundation,70000.00,Visual arts,London,London,Westminster,Cities of London and Westminster
Derby Hospitals Charity,50000.00,Visual arts,Midlands,East Midlands,Derby,Derby North
Derby Museums,130000.00,Museums,Midlands,East Midlands,Derby,Derby South
Derby QUAD Ltd,245000.00,Visual arts,Midlands,East Midlands,Derby,Derby South
Derrick Gask,93898.00,Theatre,Midlands,West Midlands,Malvern Hills,West Worcestershire
Deus Ex Machina Productions,55845.00,Theatre,London,London,Westminster,Cities of London and Westminster
Devas Club,50000.00,Not discipline specific,London,London,Wandsworth,Battersea
DHP Family Limited,908004.00,Music,Midlands,East Midlands,Nottingham,Nottingham South
Digital,141029.00,Music,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Dina,82389.00,Visual arts,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Dirty Rascals Ltd,162411.00,Music,North,North West,Manchester,Manchester Central
Disability Arts in Shropshire,70000.00,Visual arts,Midlands,West Midlands,Shropshire,Shrewsbury and Atcham
Discover the Bluedot Ltd,245000.00,Combined arts,North,North West,Manchester,Manchester Central
DissCornHall,54950.00,Combined arts,South East,East of England,South Norfolk,South Norfolk
District 61 Jordan Street Limited,74820.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Ditchling Museum of Art + Craft,98000.00,Museums,South East,South East,Lewes,Lewes
Diverse City,275690.00,Combined arts,South West,South West,Dorset,South Dorset
DMF MUSIC LIMITED,55000.00,Music,South West,South West,Exeter,Exeter
Dock Street Events Ltd.,50000.00,Not discipline specific,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull North
Docks Academy,56248.00,Combined arts,North,Yorkshire and The Humber,North East Lincolnshire,Great Grimsby
Donmar Warehouse Projects Ltd,262241.00,Theatre,London,London,Westminster,Cities of London and Westminster
Dorchester Arts,52710.00,Theatre,South West,South West,Dorset,West Dorset
Dorset County Museum,213121.00,Museums,South West,South West,Dorset,West Dorset
dot-art Services CIC,52810.00,Visual arts,North,North West,Liverpool,"Liverpool, Riverside"
Down for the Count,67126.00,Music,Midlands,West Midlands,Warwick,Warwick and Leamington
