,Region of Residence,,ICS/STP of Residence,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,60-64,65-69,70-74,75-79,80+
,Midlands,,Birmingham and Solihull," 95,372 "," 48,626 "," 54,396 "," 63,578 "," 61,145 "," 53,470 "," 45,063 "," 43,701 "," 33,190 "," 47,739 ",," 32,911 "," 11,193 "," 12,890 "," 16,838 "," 18,900 "," 20,473 "," 35,562 "," 40,894 "," 31,401 "," 44,654 ",," 811,996 ",,71.5%,76.6%,88.0%,92.5%,98.4%,94.4%,97.7%,99.4%,90.6%,,37.7%,74.5%,91.4%,94.0%,84.8%
,Midlands,,Coventry and Warwickshire," 64,599 "," 41,097 "," 48,872 "," 58,759 "," 57,171 "," 49,519 "," 42,985 "," 44,081 "," 34,935 "," 45,972 ",," 27,431 "," 9,412 "," 11,381 "," 15,138 "," 18,197 "," 19,369 "," 36,587 "," 42,039 "," 33,525 "," 43,540 ",," 744,609 ",,76.3%,81.6%,94.2%,98.1%,100%*,96.7%,97.0%,100%*,97.3%,,39.7%,82.3%,92.5%,100%*,92.1%
,Midlands,,Herefordshire and Worcestershire," 54,549 "," 27,537 "," 40,352 "," 53,372 "," 55,204 "," 49,505 "," 46,385 "," 49,148 "," 37,043 "," 48,157 ",," 22,401 "," 7,701 "," 9,682 "," 13,677 "," 16,013 "," 18,362 "," 36,580 "," 46,916 "," 35,931 "," 46,659 ",," 715,174 ",,62.6%,77.0%,90.7%,98.4%,98.8%,94.2%,98.6%,100%*,97.6%,,36.6%,74.3%,94.2%,100%*,94.5%
,Midlands,,Joined Up Care Derbyshire," 88,180 "," 47,621 "," 57,750 "," 70,786 "," 70,476 "," 61,399 "," 54,252 "," 56,342 "," 42,210 "," 53,326 ",," 29,990 "," 9,787 "," 12,290 "," 16,157 "," 18,467 "," 20,899 "," 43,138 "," 54,105 "," 40,857 "," 51,364 ",," 899,396 ",,82.3%,81.6%,89.7%,97.3%,98.9%,95.1%,97.5%,100%*,95.9%,,33.7%,75.6%,93.6%,100%*,92.4%
,Midlands,,"Leicester, Leicestershire and Rutland"," 89,370 "," 45,458 "," 56,874 "," 69,411 "," 67,169 "," 60,333 "," 53,042 "," 53,184 "," 38,394 "," 50,695 ",," 31,820 "," 10,368 "," 12,278 "," 15,833 "," 18,175 "," 21,485 "," 40,524 "," 50,077 "," 36,659 "," 47,434 ",," 868,583 ",,72.1%,80.3%,92.7%,95.0%,100%*,95.6%,99.8%,100%*,96.0%,,35.8%,73.0%,94.0%,100%*,89.8%
,Midlands,,Lincolnshire," 51,892 "," 30,667 "," 39,738 "," 49,862 "," 53,536 "," 48,358 "," 44,681 "," 48,520 "," 36,473 "," 45,673 ",," 20,025 "," 5,960 "," 7,767 "," 10,616 "," 12,873 "," 13,682 "," 31,753 "," 45,873 "," 35,013 "," 43,889 ",," 676,851 ",,77.6%,80.9%,91.1%,96.6%,97.9%,92.7%,96.7%,100%*,98.2%,,27.7%,65.9%,91.4%,100%*,94.4%
,Midlands,,Northamptonshire," 47,159 "," 28,609 "," 40,071 "," 49,453 "," 48,111 "," 40,085 "," 35,182 "," 36,656 "," 25,985 "," 31,873 ",," 17,657 "," 6,436 "," 7,778 "," 10,799 "," 12,494 "," 12,513 "," 25,689 "," 34,666 "," 24,985 "," 30,426 ",," 566,627 ",,61.9%,77.0%,90.9%,97.3%,98.1%,93.2%,97.2%,100%*,97.4%,,30.6%,68.0%,91.9%,100%*,93.0%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 79,336 "," 39,293 "," 50,680 "," 63,145 "," 63,507 "," 54,628 "," 47,783 "," 48,967 "," 36,214 "," 47,993 ",," 32,507 "," 9,962 "," 11,687 "," 14,675 "," 15,965 "," 14,526 "," 39,205 "," 45,372 "," 34,451 "," 44,836 ",," 794,732 ",,66.7%,76.4%,89.0%,94.6%,97.2%,93.0%,97.9%,100%*,96.4%,,25.8%,76.3%,90.8%,98.6%,90.1%
,Midlands,,Shropshire and Telford and Wrekin," 34,828 "," 19,537 "," 26,097 "," 34,125 "," 35,104 "," 31,125 "," 28,564 "," 29,567 "," 22,704 "," 28,561 ",," 15,004 "," 4,664 "," 6,352 "," 8,483 "," 9,810 "," 10,177 "," 24,150 "," 28,350 "," 22,023 "," 27,432 ",," 446,657 ",,70.1%,77.0%,89.8%,95.6%,98.1%,94.2%,97.8%,100%*,99.7%,,32.1%,79.7%,93.8%,100%*,95.8%
,Midlands,,Staffordshire and Stoke on Trent," 85,024 "," 45,349 "," 60,360 "," 76,788 "," 75,779 "," 67,725 "," 60,268 "," 63,134 "," 48,574 "," 60,293 ",," 33,586 "," 10,796 "," 13,825 "," 18,154 "," 20,190 "," 21,817 "," 50,210 "," 60,136 "," 46,936 "," 58,057 ",," 977,001 ",,72.0%,78.4%,91.9%,95.8%,99.3%,94.8%,97.3%,100%*,99.1%,,32.0%,79.0%,92.7%,99.6%,95.4%
,Midlands,,The Black Country and West Birmingham," 108,138 "," 55,044 "," 65,807 "," 80,979 "," 76,275 "," 65,668 "," 56,856 "," 54,305 "," 42,815 "," 59,944 ",," 36,011 "," 12,197 "," 15,027 "," 18,987 "," 20,272 "," 20,334 "," 43,218 "," 50,378 "," 40,511 "," 56,063 ",," 978,829 ",,67.5%,73.2%,89.0%,91.9%,96.7%,94.4%,97.0%,95.1%,93.3%,,30.0%,71.8%,90.0%,90.0%,87.2%
,North East and Yorkshire,,Cumbria and North East," 222,424 "," 112,234 "," 147,492 "," 191,516 "," 205,134 "," 189,386 "," 165,997 "," 165,128 "," 113,510 "," 154,203 ",," 97,013 "," 29,681 "," 35,476 "," 49,706 "," 59,360 "," 64,567 "," 106,481 "," 156,061 "," 110,000 "," 148,107 ",," 2,523,476 ",,69.7%,77.9%,90.3%,96.2%,99.0%,97.5%,100%*,100%*,95.7%,,33.7%,62.6%,94.6%,98.7%,91.9%
,North East and Yorkshire,,"Humber, Coast and Vale"," 111,744 "," 65,031 "," 87,367 "," 112,287 "," 119,653 "," 107,637 "," 96,320 "," 101,844 "," 71,899 "," 97,835 ",," 50,997 "," 15,823 "," 20,401 "," 27,409 "," 34,097 "," 37,603 "," 61,480 "," 97,081 "," 69,654 "," 94,225 ",," 1,480,387 ",,71.0%,78.7%,90.5%,96.3%,99.2%,95.3%,99.2%,100%*,96.8%,,34.7%,60.8%,94.6%,100%*,93.3%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 130,573 "," 66,244 "," 77,013 "," 96,352 "," 95,878 "," 84,562 "," 72,870 "," 73,677 "," 54,769 "," 71,243 ",," 51,164 "," 15,266 "," 18,749 "," 26,683 "," 29,701 "," 31,838 "," 53,876 "," 69,509 "," 52,548 "," 68,161 ",," 1,240,676 ",,79.1%,78.3%,90.9%,96.0%,98.2%,95.7%,97.2%,100%*,94.8%,,37.0%,70.8%,91.7%,98.0%,90.7%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 180,967 "," 92,724 "," 118,752 "," 144,830 "," 141,172 "," 124,138 "," 106,426 "," 107,466 "," 74,690 "," 101,726 ",," 79,719 "," 25,779 "," 30,964 "," 43,844 "," 48,986 "," 52,897 "," 86,439 "," 101,909 "," 71,777 "," 96,188 ",," 1,831,393 ",,66.1%,76.2%,91.2%,95.3%,97.9%,94.3%,99.1%,100%*,94.9%,,41.7%,76.6%,94.0%,97.0%,89.8%
,North West,,Cheshire and Merseyside," 198,048 "," 92,399 "," 124,094 "," 160,009 "," 170,526 "," 151,557 "," 130,824 "," 131,577 "," 93,934 "," 128,557 ",," 84,622 "," 27,633 "," 34,033 "," 47,242 "," 57,429 "," 60,813 "," 96,626 "," 124,113 "," 89,816 "," 121,577 ",," 2,125,429 ",,66.3%,76.2%,90.3%,96.4%,100%*,95.6%,99.1%,100%*,95.0%,,40.1%,70.6%,93.4%,95.9%,89.8%
,North West,,Greater Manchester Health and Social Care Partnership," 227,752 "," 111,836 "," 137,877 "," 170,044 "," 166,269 "," 141,993 "," 120,708 "," 122,450 "," 87,174 "," 111,787 ",," 98,449 "," 32,603 "," 38,619 "," 51,484 "," 60,389 "," 61,179 "," 94,747 "," 114,117 "," 82,531 "," 104,015 ",," 2,136,023 ",,65.6%,74.9%,88.1%,94.6%,97.8%,94.4%,98.4%,100%*,94.5%,,42.1%,74.1%,91.7%,95.0%,88.0%
,North West,,Healthier Lancashire and South Cumbria," 136,572 "," 66,405 "," 84,829 "," 110,247 "," 114,482 "," 102,784 "," 89,822 "," 94,789 "," 68,578 "," 89,118 ",," 53,270 "," 17,035 "," 21,707 "," 30,051 "," 37,807 "," 42,462 "," 69,381 "," 90,398 "," 66,303 "," 85,176 ",," 1,471,216 ",,72.1%,76.1%,89.9%,95.9%,99.5%,95.0%,97.4%,100%*,96.3%,,41.1%,73.3%,92.8%,98.6%,92.1%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 111,117 "," 78,208 "," 98,083 "," 115,459 "," 112,577 "," 94,271 "," 78,801 "," 80,200 "," 60,773 "," 85,130 ",," 44,954 "," 14,489 "," 17,187 "," 21,540 "," 25,353 "," 26,897 "," 53,501 "," 76,279 "," 58,754 "," 81,215 ",," 1,334,788 ",,69.8%,82.0%,93.9%,99.5%,100%*,97.5%,98.4%,100%*,96.3%,,28.9%,66.2%,93.6%,100.0%,91.9%
,South East,,Frimley Health and Care ICS," 50,249 "," 40,255 "," 45,932 "," 49,433 "," 46,536 "," 38,226 "," 31,483 "," 30,925 "," 23,094 "," 32,711 ",," 18,949 "," 6,900 "," 8,130 "," 9,313 "," 10,309 "," 12,009 "," 25,294 "," 29,158 "," 22,197 "," 31,095 ",," 562,198 ",,74.7%,83.4%,91.7%,97.8%,100%*,98.6%,98.3%,100%*,95.9%,,31.7%,79.2%,92.7%,98.8%,91.2%
,South East,,Hampshire and the Isle of Wight," 142,525 "," 75,552 "," 96,825 "," 117,687 "," 121,687 "," 107,097 "," 93,144 "," 99,025 "," 74,640 "," 102,373 ",," 58,031 "," 17,463 "," 20,988 "," 26,317 "," 30,002 "," 32,891 "," 70,136 "," 93,962 "," 71,799 "," 97,760 ",," 1,549,904 ",,72.7%,81.7%,91.8%,97.6%,99.9%,96.3%,96.5%,100%*,96.2%,,30.7%,72.5%,91.6%,100%*,91.9%
,South East,,Kent and Medway," 122,302 "," 72,137 "," 92,946 "," 118,467 "," 118,694 "," 102,829 "," 90,631 "," 97,713 "," 71,374 "," 93,702 ",," 53,277 "," 18,638 "," 22,673 "," 29,376 "," 34,168 "," 37,101 "," 64,887 "," 91,803 "," 68,395 "," 89,029 ",," 1,490,142 ",,65.3%,74.6%,88.1%,95.6%,97.1%,94.1%,96.4%,100%*,95.7%,,35.0%,67.4%,90.5%,99.7%,90.9%
,South East,,Surrey Heartlands Health and Care Partnership," 62,789 "," 50,604 "," 64,770 "," 71,123 "," 69,714 "," 57,571 "," 48,014 "," 49,847 "," 38,081 "," 57,580 ",," 25,798 "," 9,535 "," 11,559 "," 15,413 "," 18,202 "," 22,095 "," 39,772 "," 47,257 "," 36,635 "," 55,072 ",," 851,431 ",,68.9%,85.3%,91.7%,96.8%,99.4%,95.7%,96.1%,100%*,95.0%,,38.1%,79.3%,91.1%,98.9%,90.8%
,South East,,Sussex and East Surrey Health and Care Partnership," 113,528 "," 64,740 "," 90,722 "," 111,932 "," 113,804 "," 99,728 "," 89,903 "," 98,244 "," 74,049 "," 105,703 ",," 54,259 "," 18,567 "," 23,102 "," 31,268 "," 36,381 "," 38,873 "," 65,858 "," 93,067 "," 71,144 "," 100,660 ",," 1,495,532 ",,64.7%,78.9%,89.4%,96.6%,97.8%,94.1%,95.9%,100%*,94.5%,,38.1%,69.0%,90.9%,100%*,90.0%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 57,037 "," 30,484 "," 48,753 "," 62,784 "," 63,279 "," 54,501 "," 47,358 "," 48,802 "," 36,390 "," 50,028 ",," 25,194 "," 8,077 "," 10,783 "," 13,772 "," 15,390 "," 16,068 "," 34,533 "," 46,843 "," 35,348 "," 48,290 ",," 753,714 ",,56.3%,75.5%,92.8%,98.9%,100%*,97.2%,99.6%,100%*,99.4%,,30.1%,70.9%,95.6%,100%*,96.0%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 78,749 "," 37,579 "," 49,232 "," 57,543 "," 57,057 "," 47,534 "," 41,677 "," 42,945 "," 32,840 "," 45,439 ",," 33,132 "," 9,209 "," 10,436 "," 12,944 "," 15,095 "," 15,375 "," 34,225 "," 40,690 "," 31,818 "," 43,717 ",," 737,236 ",,66.0%,83.5%,93.6%,100%*,100%*,96.8%,98.3%,100%*,96.0%,,32.7%,79.5%,93.1%,100%*,92.3%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 35,077 "," 22,015 "," 28,529 "," 37,320 "," 40,173 "," 38,099 "," 35,932 "," 39,200 "," 28,886 "," 35,797 ",," 16,079 "," 5,397 "," 6,945 "," 9,687 "," 11,994 "," 12,883 "," 27,721 "," 37,604 "," 28,040 "," 34,682 ",," 532,060 ",,73.1%,76.4%,89.2%,94.8%,96.0%,93.1%,95.9%,100%*,97.9%,,32.5%,71.8%,92.0%,100%*,94.8%
,South West,,Devon," 82,354 "," 44,421 "," 59,239 "," 78,524 "," 83,405 "," 76,714 "," 71,483 "," 77,490 "," 58,787 "," 78,747 ",," 40,771 "," 12,156 "," 14,930 "," 19,964 "," 23,015 "," 24,480 "," 37,830 "," 73,038 "," 56,787 "," 75,147 ",," 1,089,282 ",,72.0%,79.9%,92.4%,97.5%,97.9%,94.8%,97.6%,100%*,99.0%,,31.2%,50.2%,92.0%,100%*,94.5%
,South West,,Dorset," 54,128 "," 33,295 "," 40,145 "," 49,195 "," 52,406 "," 49,176 "," 45,965 "," 51,416 "," 39,087 "," 56,409 ",," 22,926 "," 7,754 "," 9,519 "," 12,528 "," 15,224 "," 17,084 "," 32,280 "," 49,048 "," 37,761 "," 54,076 ",," 729,422 ",,78.3%,81.6%,90.1%,95.3%,98.8%,93.6%,97.5%,100%*,98.0%,,34.3%,65.8%,93.0%,100%*,93.9%
,South West,,Gloucestershire," 41,050 "," 24,883 "," 35,029 "," 42,994 "," 44,882 "," 39,306 "," 34,627 "," 35,902 "," 27,242 "," 36,956 ",," 18,369 "," 5,801 "," 7,150 "," 9,467 "," 11,163 "," 13,086 "," 28,919 "," 34,165 "," 26,457 "," 35,710 ",," 553,158 ",,67.6%,80.5%,89.6%,97.7%,99.6%,93.6%,97.5%,100%*,98.8%,,33.2%,78.2%,92.8%,100%*,95.5%
,South West,,Somerset," 37,980 "," 20,188 "," 27,886 "," 38,311 "," 40,325 "," 36,682 "," 34,597 "," 37,607 "," 28,088 "," 37,587 ",," 18,573 "," 5,835 "," 7,544 "," 10,627 "," 13,099 "," 14,821 "," 24,949 "," 36,091 "," 27,353 "," 36,371 ",," 534,514 ",,69.5%,76.6%,91.3%,96.7%,97.7%,92.2%,99.8%,100%*,98.2%,,39.5%,66.5%,95.8%,100%*,95.0%
