,Region of Residence,,ICS/STP of Residence,1st dose Under 45,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 45,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,London,,South West London Health and Care Partnership," 158,768 "," 79,418 "," 86,284 "," 79,945 "," 64,526 "," 51,771 "," 49,807 "," 34,736 "," 49,798 ",," 51,370 "," 14,651 "," 18,589 "," 21,652 "," 23,677 "," 35,317 "," 43,906 "," 31,783 "," 44,965 ",," 940,963 ",,75.0%,85.6%,90.7%,93.8%,91.4%,96.7%,97.5%,90.1%
,Midlands,,Birmingham and Solihull," 135,902 "," 53,182 "," 63,332 "," 61,009 "," 53,399 "," 45,009 "," 43,675 "," 33,180 "," 47,792 ",," 35,846 "," 10,086 "," 12,537 "," 13,639 "," 14,425 "," 26,303 "," 39,364 "," 30,766 "," 43,895 ",," 763,341 ",,74.9%,87.6%,92.3%,98.3%,94.3%,97.6%,99.4%,90.7%
,Midlands,,Coventry and Warwickshire," 97,310 "," 47,753 "," 58,576 "," 57,062 "," 49,435 "," 42,903 "," 44,064 "," 34,927 "," 46,009 ",," 29,655 "," 9,082 "," 11,468 "," 13,139 "," 13,344 "," 29,768 "," 40,364 "," 32,981 "," 42,977 ",," 700,817 ",,79.8%,93.9%,97.9%,100%*,96.5%,97.0%,100%*,97.4%
,Midlands,,Herefordshire and Worcestershire," 76,361 "," 38,714 "," 53,284 "," 55,131 "," 49,462 "," 46,358 "," 49,132 "," 37,051 "," 48,229 ",," 24,802 "," 7,701 "," 10,307 "," 11,404 "," 11,906 "," 27,758 "," 44,603 "," 35,380 "," 46,373 ",," 673,956 ",,73.9%,90.5%,98.3%,98.7%,94.1%,98.6%,100%*,97.7%
,Midlands,,Joined Up Care Derbyshire," 129,770 "," 56,644 "," 70,622 "," 70,336 "," 61,310 "," 54,188 "," 56,336 "," 42,222 "," 53,403 ",," 32,960 "," 9,870 "," 12,406 "," 13,073 "," 11,403 "," 29,037 "," 52,419 "," 40,161 "," 50,354 ",," 846,514 ",,80.0%,89.5%,97.2%,98.8%,95.0%,97.5%,100%*,96.1%
,Midlands,,"Leicester, Leicestershire and Rutland"," 125,928 "," 55,566 "," 69,200 "," 67,038 "," 60,251 "," 52,986 "," 53,171 "," 38,396 "," 50,776 ",," 36,428 "," 10,382 "," 13,089 "," 14,394 "," 14,182 "," 28,088 "," 46,956 "," 36,043 "," 46,841 ",," 819,715 ",,78.5%,92.4%,94.8%,100%*,95.5%,99.8%,100%*,96.2%
,Midlands,,Lincolnshire," 77,532 "," 39,029 "," 49,719 "," 53,455 "," 48,281 "," 44,630 "," 48,500 "," 36,479 "," 45,735 ",," 22,403 "," 6,494 "," 8,650 "," 9,661 "," 8,804 "," 16,634 "," 41,329 "," 34,013 "," 43,358 ",," 634,706 ",,79.5%,90.8%,96.4%,97.7%,92.6%,96.6%,100%*,98.4%
,Midlands,,Northamptonshire," 67,380 "," 38,591 "," 49,285 "," 48,020 "," 40,047 "," 35,148 "," 36,654 "," 25,987 "," 31,908 ",," 20,244 "," 6,290 "," 7,992 "," 9,154 "," 8,420 "," 18,139 "," 32,883 "," 24,635 "," 29,988 ",," 530,765 ",,74.2%,90.6%,97.1%,98.0%,93.1%,97.2%,100%*,97.5%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 110,222 "," 49,493 "," 62,982 "," 63,386 "," 54,572 "," 47,710 "," 48,958 "," 36,216 "," 48,037 ",," 33,966 "," 8,796 "," 10,619 "," 11,025 "," 9,065 "," 19,231 "," 43,015 "," 33,713 "," 44,183 ",," 735,189 ",,74.6%,88.8%,94.5%,97.1%,92.9%,97.9%,100%*,96.5%
,Midlands,,Shropshire and Telford and Wrekin," 49,897 "," 24,292 "," 34,053 "," 35,031 "," 31,092 "," 28,537 "," 29,557 "," 22,703 "," 28,581 ",," 16,520 "," 5,074 "," 6,364 "," 7,156 "," 6,698 "," 15,526 "," 27,191 "," 21,473 "," 27,098 ",," 416,843 ",,71.7%,89.7%,95.4%,98.0%,94.1%,97.8%,100%*,99.8%
,Midlands,,Staffordshire and Stoke on Trent," 122,800 "," 58,225 "," 76,633 "," 75,680 "," 67,661 "," 60,157 "," 63,138 "," 48,589 "," 60,340 ",," 36,599 "," 11,190 "," 14,424 "," 15,446 "," 15,191 "," 35,260 "," 57,579 "," 46,326 "," 57,537 ",," 922,775 ",,75.7%,91.7%,95.7%,99.2%,94.6%,97.3%,100%*,99.2%
,Midlands,,The Black Country and West Birmingham," 150,959 "," 62,009 "," 80,603 "," 76,086 "," 65,538 "," 56,754 "," 54,288 "," 42,819 "," 60,031 ",," 38,705 "," 11,724 "," 14,221 "," 14,962 "," 14,182 "," 28,722 "," 47,357 "," 39,543 "," 55,118 ",," 913,621 ",,68.9%,88.6%,91.7%,96.5%,94.2%,97.0%,95.1%,93.4%
,North East and Yorkshire,,Cumbria and North East," 308,412 "," 142,771 "," 190,935 "," 204,728 "," 189,097 "," 165,784 "," 165,076 "," 113,522 "," 154,431 ",," 109,310 "," 29,524 "," 39,009 "," 43,469 "," 40,400 "," 71,709 "," 143,377 "," 108,354 "," 147,115 ",," 2,367,023 ",,75.4%,90.0%,96.0%,98.8%,97.4%,100%*,100%*,95.9%
,North East and Yorkshire,,"Humber, Coast and Vale"," 160,531 "," 84,299 "," 111,993 "," 119,484 "," 107,535 "," 96,271 "," 101,825 "," 71,920 "," 97,970 ",," 55,914 "," 16,269 "," 21,259 "," 25,540 "," 25,316 "," 38,375 "," 92,490 "," 68,729 "," 93,477 ",," 1,389,197 ",,75.9%,90.3%,96.2%,99.1%,95.3%,99.2%,100%*,97.0%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 185,260 "," 75,704 "," 96,092 "," 95,652 "," 84,453 "," 72,806 "," 73,655 "," 54,775 "," 71,325 ",," 55,386 "," 15,290 "," 21,118 "," 23,106 "," 23,166 "," 40,421 "," 65,797 "," 51,233 "," 67,224 ",," 1,172,463 ",,76.9%,90.6%,95.8%,98.1%,95.7%,97.2%,100%*,94.9%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 251,027 "," 114,048 "," 144,314 "," 140,850 "," 123,961 "," 106,304 "," 107,443 "," 74,693 "," 101,864 ",," 87,783 "," 25,357 "," 34,530 "," 38,735 "," 41,304 "," 69,115 "," 97,063 "," 70,714 "," 95,277 ",," 1,724,382 ",,73.2%,90.9%,95.0%,97.7%,94.2%,99.1%,100%*,95.1%
,North West,,Cheshire and Merseyside," 273,054 "," 119,187 "," 159,469 "," 170,099 "," 151,299 "," 130,613 "," 131,511 "," 93,951 "," 128,724 ",," 92,572 "," 27,201 "," 36,683 "," 43,443 "," 43,882 "," 65,593 "," 118,916 "," 88,321 "," 120,095 ",," 1,994,613 ",,73.1%,90.0%,96.1%,99.9%,95.4%,99.0%,100%*,95.1%
,North West,,Greater Manchester Health and Social Care Partnership," 315,487 "," 130,904 "," 169,168 "," 165,682 "," 141,678 "," 120,510 "," 122,380 "," 87,133 "," 111,868 ",," 108,932 "," 31,220 "," 40,284 "," 45,750 "," 46,184 "," 77,025 "," 109,834 "," 81,122 "," 102,342 ",," 2,007,503 ",,71.1%,87.7%,94.2%,97.6%,94.2%,98.4%,100%*,94.6%
,North West,,Healthier Lancashire and South Cumbria," 189,985 "," 79,641 "," 109,826 "," 114,153 "," 102,567 "," 89,666 "," 94,743 "," 68,584 "," 89,240 ",," 59,096 "," 17,936 "," 24,288 "," 29,125 "," 31,179 "," 50,573 "," 87,415 "," 65,555 "," 84,601 ",," 1,388,173 ",,71.5%,89.6%,95.6%,99.3%,94.8%,97.3%,100%*,96.5%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 164,624 "," 93,667 "," 115,202 "," 112,420 "," 94,187 "," 78,734 "," 80,138 "," 60,767 "," 85,217 ",," 50,170 "," 13,841 "," 16,270 "," 18,103 "," 17,105 "," 34,109 "," 70,555 "," 57,818 "," 80,361 ",," 1,243,288 ",,78.3%,93.7%,99.3%,100%*,97.4%,98.3%,100%*,96.4%
,South East,,Frimley Health and Care ICS," 84,983 "," 45,116 "," 49,301 "," 46,439 "," 38,174 "," 31,413 "," 30,902 "," 23,080 "," 32,750 ",," 21,863 "," 6,606 "," 7,355 "," 8,069 "," 8,534 "," 16,739 "," 27,534 "," 21,728 "," 30,812 ",," 531,398 ",,81.9%,91.4%,97.6%,100%*,98.4%,98.2%,100%*,96.0%
,South East,,Hampshire and the Isle of Wight," 201,665 "," 92,642 "," 117,395 "," 121,509 "," 106,965 "," 93,033 "," 98,975 "," 74,648 "," 102,513 ",," 64,656 "," 17,296 "," 21,250 "," 23,236 "," 21,982 "," 43,849 "," 88,270 "," 70,439 "," 96,732 ",," 1,457,055 ",,78.1%,91.6%,97.5%,99.8%,96.2%,96.5%,100%*,96.4%
,South East,,Kent and Medway," 174,504 "," 86,746 "," 118,139 "," 118,441 "," 102,710 "," 90,496 "," 97,659 "," 71,350 "," 93,767 ",," 59,564 "," 18,258 "," 22,580 "," 26,049 "," 26,308 "," 43,640 "," 84,068 "," 66,449 "," 87,484 ",," 1,388,212 ",,69.6%,87.8%,95.4%,97.0%,93.9%,96.3%,100%*,95.7%
,South East,,Surrey Heartlands Health and Care Partnership," 98,565 "," 61,848 "," 70,939 "," 69,623 "," 57,528 "," 47,967 "," 49,821 "," 38,088 "," 57,612 ",," 29,385 "," 9,304 "," 11,972 "," 13,767 "," 16,289 "," 30,534 "," 43,763 "," 35,622 "," 54,206 ",," 796,833 ",,81.4%,91.4%,96.7%,99.3%,95.7%,96.1%,100%*,95.0%
,South East,,Sussex and East Surrey Health and Care Partnership," 162,211 "," 87,837 "," 111,666 "," 113,609 "," 99,575 "," 89,784 "," 98,172 "," 74,016 "," 105,798 ",," 62,031 "," 19,429 "," 24,804 "," 27,881 "," 28,127 "," 42,405 "," 86,190 "," 69,225 "," 98,947 ",," 1,401,707 ",,76.3%,89.2%,96.4%,97.7%,94.0%,95.8%,100%*,94.6%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 78,231 "," 41,993 "," 62,619 "," 63,171 "," 54,444 "," 47,319 "," 48,798 "," 36,396 "," 50,066 ",," 27,839 "," 8,393 "," 10,302 "," 11,801 "," 11,244 "," 24,756 "," 45,175 "," 34,976 "," 47,752 ",," 705,275 ",,65.0%,92.6%,98.7%,100%*,97.1%,99.6%,100%*,99.5%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 104,152 "," 45,583 "," 57,324 "," 56,919 "," 47,471 "," 41,629 "," 42,945 "," 32,839 "," 45,513 ",," 37,191 "," 8,657 "," 10,396 "," 11,498 "," 10,664 "," 22,585 "," 38,515 "," 31,349 "," 43,372 ",," 688,602 ",,77.3%,93.2%,100%*,100%*,96.7%,98.3%,100%*,96.1%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 51,294 "," 27,230 "," 37,195 "," 40,077 "," 38,008 "," 35,873 "," 39,180 "," 28,883 "," 35,838 ",," 18,474 "," 5,855 "," 7,643 "," 8,926 "," 9,092 "," 17,817 "," 35,722 "," 27,639 "," 34,387 ",," 499,133 ",,72.9%,88.9%,94.6%,95.8%,93.0%,95.9%,100%*,98.0%
,South West,,Devon," 113,402 "," 56,666 "," 78,326 "," 83,261 "," 76,574 "," 71,397 "," 77,492 "," 58,795 "," 78,857 ",," 45,982 "," 12,480 "," 16,128 "," 17,571 "," 16,674 "," 21,060 "," 63,974 "," 55,792 "," 74,379 ",," 1,018,810 ",,76.4%,92.1%,97.3%,97.7%,94.7%,97.6%,100%*,99.2%
,South West,,Dorset," 83,175 "," 38,996 "," 49,053 "," 52,273 "," 49,084 "," 45,903 "," 51,386 "," 39,090 "," 56,501 ",," 24,862 "," 7,505 "," 9,523 "," 11,372 "," 12,456 "," 22,020 "," 45,482 "," 37,209 "," 53,579 ",," 689,469 ",,79.2%,89.8%,95.1%,98.6%,93.5%,97.4%,100%*,98.1%
,South West,,Gloucestershire," 57,295 "," 33,318 "," 42,862 "," 44,805 "," 39,258 "," 34,593 "," 35,892 "," 27,249 "," 37,004 ",," 20,419 "," 5,855 "," 7,457 "," 8,630 "," 9,317 "," 22,359 "," 32,071 "," 26,098 "," 35,474 ",," 519,956 ",,76.6%,89.4%,97.6%,99.5%,93.5%,97.5%,100%*,99.0%
,South West,,Somerset," 52,538 "," 26,705 "," 38,245 "," 40,275 "," 36,647 "," 34,550 "," 37,604 "," 28,087 "," 37,647 ",," 21,563 "," 6,420 "," 8,536 "," 9,778 "," 10,738 "," 16,723 "," 35,118 "," 27,095 "," 36,143 ",," 504,412 ",,73.4%,91.1%,96.5%,97.6%,92.1%,99.8%,100%*,98.3%
