,Region of Residence,,ICS/STP of Residence,1st dose Under 45,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 45,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,South East,,Kent and Medway," 162,631 "," 78,890 "," 117,688 "," 118,181 "," 102,574 "," 90,342 "," 97,573 "," 71,321 "," 93,816 ",," 51,866 "," 15,651 "," 18,831 "," 20,701 "," 19,632 "," 23,827 "," 65,608 "," 61,866 "," 84,714 ",," 1,295,712 ",,63.3%,87.5%,95.2%,96.9%,93.8%,96.2%,100%*,95.8%
,South East,,Surrey Heartlands Health and Care Partnership," 86,862 "," 57,788 "," 70,818 "," 69,542 "," 57,483 "," 47,928 "," 49,816 "," 38,087 "," 57,677 ",," 26,468 "," 8,294 "," 9,697 "," 10,740 "," 10,756 "," 20,447 "," 35,737 "," 32,711 "," 52,642 ",," 743,493 ",,76.1%,91.3%,96.6%,99.2%,95.6%,96.1%,100%*,95.1%
,South East,,Sussex and East Surrey Health and Care Partnership," 151,011 "," 81,506 "," 111,354 "," 113,386 "," 99,442 "," 89,614 "," 98,100 "," 73,976 "," 105,862 ",," 53,645 "," 16,507 "," 20,462 "," 23,017 "," 21,198 "," 26,663 "," 67,702 "," 65,100 "," 95,919 ",," 1,314,464 ",,70.8%,89.0%,96.3%,97.6%,93.8%,95.8%,100%*,94.7%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 74,303 "," 36,767 "," 62,478 "," 63,085 "," 54,398 "," 47,273 "," 48,760 "," 36,376 "," 50,130 ",," 23,763 "," 6,989 "," 8,350 "," 9,140 "," 7,924 "," 11,474 "," 36,614 "," 33,604 "," 46,794 ",," 658,222 ",,56.9%,92.4%,98.6%,100%*,97.0%,99.5%,100%*,99.6%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 100,796 "," 39,742 "," 57,189 "," 56,824 "," 47,421 "," 41,595 "," 42,931 "," 32,857 "," 45,583 ",," 34,663 "," 7,974 "," 9,574 "," 10,236 "," 8,520 "," 10,527 "," 31,315 "," 30,485 "," 42,705 ",," 650,937 ",,67.4%,93.0%,100%*,100%*,96.6%,98.3%,100%*,96.3%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 45,476 "," 24,598 "," 37,074 "," 39,976 "," 37,951 "," 35,831 "," 39,169 "," 28,882 "," 35,873 ",," 16,232 "," 5,078 "," 6,426 "," 7,276 "," 6,886 "," 8,270 "," 26,974 "," 26,754 "," 33,825 ",," 462,551 ",,65.9%,88.6%,94.3%,95.7%,92.9%,95.9%,100%*,98.1%
,South West,,Devon," 106,976 "," 52,512 "," 78,132 "," 83,133 "," 76,475 "," 71,327 "," 77,415 "," 58,794 "," 78,948 ",," 41,205 "," 10,939 "," 13,834 "," 14,769 "," 12,737 "," 12,611 "," 40,209 "," 52,123 "," 72,708 ",," 954,847 ",,70.8%,91.9%,97.2%,97.6%,94.6%,97.5%,100%*,99.3%
,South West,,Dorset," 79,631 "," 37,926 "," 48,922 "," 52,143 "," 49,002 "," 45,825 "," 51,338 "," 39,076 "," 56,579 ",," 21,838 "," 6,405 "," 7,933 "," 8,910 "," 8,032 "," 12,462 "," 33,802 "," 35,505 "," 52,348 ",," 647,677 ",,77.1%,89.6%,94.8%,98.4%,93.3%,97.3%,100%*,98.3%
,South West,,Gloucestershire," 54,846 "," 31,803 "," 42,769 "," 44,743 "," 39,229 "," 34,576 "," 35,871 "," 27,243 "," 37,048 ",," 17,565 "," 4,966 "," 6,210 "," 6,900 "," 6,921 "," 10,862 "," 26,340 "," 25,193 "," 34,976 ",," 488,061 ",,73.1%,89.2%,97.4%,99.4%,93.5%,97.4%,100%*,99.1%
,South West,,Somerset," 49,104 "," 22,270 "," 38,116 "," 40,169 "," 36,585 "," 34,520 "," 37,585 "," 28,096 "," 37,702 ",," 18,912 "," 5,475 "," 7,223 "," 7,949 "," 8,015 "," 10,977 "," 30,750 "," 26,587 "," 35,640 ",," 475,675 ",,61.2%,90.8%,96.3%,97.4%,92.0%,99.7%,100%*,98.5%
