,Region of Residence,,ICS/STP of Residence,1st dose Under 45,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 45,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,London,,South West London Health and Care Partnership," 137,225 "," 57,999 "," 85,186 "," 79,304 "," 64,175 "," 51,526 "," 49,646 "," 34,646 "," 49,771 ",," 37,218 "," 9,659 "," 11,198 "," 12,634 "," 12,676 "," 18,990 "," 30,829 "," 27,237 "," 41,147 ",," 811,066 ",,54.7%,84.5%,89.9%,93.3%,91.0%,96.4%,97.3%,90.0%
,Midlands,,Birmingham and Solihull," 121,617 "," 48,196 "," 62,765 "," 60,669 "," 53,226 "," 44,867 "," 43,625 "," 33,156 "," 47,864 ",," 26,808 "," 7,366 "," 8,797 "," 9,143 "," 8,948 "," 10,886 "," 26,441 "," 27,176 "," 41,273 ",," 682,823 ",,67.9%,86.9%,91.7%,97.9%,94.0%,97.5%,99.3%,90.9%
,Midlands,,Coventry and Warwickshire," 85,877 "," 41,345 "," 58,138 "," 56,802 "," 49,307 "," 42,701 "," 43,950 "," 34,904 "," 46,043 ",," 21,721 "," 6,501 "," 7,784 "," 8,120 "," 6,986 "," 8,092 "," 23,573 "," 29,226 "," 40,557 ",," 611,627 ",,69.1%,93.2%,97.4%,100%*,96.0%,96.7%,100%*,97.4%
,Midlands,,Herefordshire and Worcestershire," 68,943 "," 30,881 "," 52,919 "," 54,878 "," 49,338 "," 46,277 "," 49,059 "," 37,036 "," 48,320 ",," 18,534 "," 5,287 "," 6,838 "," 7,185 "," 6,001 "," 7,063 "," 18,052 "," 29,669 "," 43,903 ",," 580,183 ",,58.9%,89.9%,97.8%,98.4%,94.0%,98.5%,100%*,97.9%
,Midlands,,Joined Up Care Derbyshire," 114,977 "," 51,929 "," 70,192 "," 70,084 "," 61,146 "," 54,037 "," 56,255 "," 42,230 "," 53,540 ",," 24,906 "," 7,089 "," 8,703 "," 8,931 "," 6,850 "," 6,129 "," 22,725 "," 34,261 "," 47,256 ",," 741,240 ",,73.3%,89.0%,96.8%,98.5%,94.7%,97.4%,100%*,96.3%
,Midlands,,"Leicester, Leicestershire and Rutland"," 115,320 "," 49,066 "," 68,605 "," 66,695 "," 60,059 "," 52,820 "," 53,044 "," 38,380 "," 50,869 ",," 24,650 "," 6,745 "," 8,153 "," 8,365 "," 7,347 "," 7,647 "," 18,410 "," 26,845 "," 42,945 ",," 705,965 ",,69.3%,91.6%,94.3%,100%*,95.2%,99.6%,100%*,96.3%
,Midlands,,Lincolnshire," 71,763 "," 33,627 "," 49,372 "," 53,189 "," 48,137 "," 44,525 "," 48,417 "," 36,452 "," 45,838 ",," 16,629 "," 4,648 "," 5,933 "," 6,207 "," 4,864 "," 3,348 "," 13,384 "," 24,131 "," 39,058 ",," 549,522 ",,68.5%,90.2%,95.9%,97.5%,92.4%,96.5%,100%*,98.6%
,Midlands,,Northamptonshire," 62,476 "," 32,449 "," 48,998 "," 47,857 "," 39,970 "," 35,096 "," 36,603 "," 25,994 "," 31,990 ",," 14,186 "," 4,278 "," 5,252 "," 5,640 "," 4,600 "," 5,251 "," 14,716 "," 20,742 "," 28,559 ",," 464,657 ",,62.4%,90.1%,96.8%,97.8%,93.0%,97.0%,100%*,97.8%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 104,160 "," 43,079 "," 62,697 "," 63,201 "," 54,441 "," 47,626 "," 48,875 "," 36,189 "," 48,122 ",," 23,584 "," 5,692 "," 6,724 "," 6,625 "," 4,655 "," 2,300 "," 8,777 "," 22,704 "," 40,846 ",," 630,297 ",,64.9%,88.4%,94.2%,96.9%,92.7%,97.8%,100%*,96.7%
,Midlands,,Shropshire and Telford and Wrekin," 44,101 "," 19,538 "," 33,872 "," 34,900 "," 31,023 "," 28,471 "," 29,519 "," 22,686 "," 28,650 ",," 10,342 "," 3,134 "," 3,654 "," 3,939 "," 2,985 "," 2,151 "," 6,874 "," 11,726 "," 24,263 ",," 341,828 ",,57.7%,89.2%,95.1%,97.8%,93.9%,97.7%,100%*,100%*
,Midlands,,Staffordshire and Stoke on Trent," 111,625 "," 52,417 "," 76,228 "," 75,373 "," 67,523 "," 59,986 "," 63,017 "," 48,568 "," 60,437 ",," 26,521 "," 7,637 "," 9,396 "," 9,493 "," 7,522 "," 7,282 "," 24,452 "," 38,665 "," 54,595 ",," 800,737 ",,68.1%,91.2%,95.3%,99.0%,94.4%,97.1%,100%*,99.4%
,Midlands,,The Black Country and West Birmingham," 136,928 "," 52,165 "," 79,936 "," 75,707 "," 65,309 "," 56,605 "," 54,196 "," 42,792 "," 60,144 ",," 27,929 "," 8,090 "," 9,512 "," 9,588 "," 8,077 "," 9,549 "," 23,747 "," 32,689 "," 50,970 ",," 803,933 ",,58.0%,87.9%,91.2%,96.2%,94.0%,96.8%,95.0%,93.6%
,North East and Yorkshire,,Cumbria and North East," 277,733 "," 103,015 "," 188,840 "," 203,416 "," 188,330 "," 165,419 "," 164,840 "," 113,534 "," 154,822 ",," 89,706 "," 23,471 "," 29,324 "," 31,225 "," 24,812 "," 17,274 "," 56,617 "," 92,875 "," 141,638 ",," 2,066,891 ",,54.4%,89.0%,95.4%,98.4%,97.2%,99.9%,100%*,96.1%
,North East and Yorkshire,,"Humber, Coast and Vale"," 144,865 "," 68,923 "," 111,276 "," 118,974 "," 107,297 "," 96,068 "," 101,666 "," 71,927 "," 98,189 ",," 40,873 "," 11,692 "," 14,629 "," 16,468 "," 13,944 "," 11,631 "," 41,762 "," 56,682 "," 88,998 ",," 1,215,864 ",,62.1%,89.7%,95.8%,98.9%,95.1%,99.1%,100%*,97.2%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 158,270 "," 67,488 "," 95,144 "," 94,977 "," 84,147 "," 72,651 "," 73,549 "," 54,754 "," 71,499 ",," 41,746 "," 11,073 "," 14,242 "," 15,214 "," 13,368 "," 15,754 "," 34,920 "," 39,358 "," 61,598 ",," 1,019,752 ",,68.6%,89.7%,95.1%,97.7%,95.5%,97.0%,100%*,95.1%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 230,011 "," 92,311 "," 143,085 "," 140,133 "," 123,531 "," 105,938 "," 107,261 "," 74,661 "," 102,070 ",," 62,350 "," 17,246 "," 22,264 "," 24,322 "," 23,888 "," 29,442 "," 50,821 "," 59,172 "," 89,180 ",," 1,497,686 ",,59.2%,90.1%,94.6%,97.4%,93.8%,98.9%,100%*,95.3%
,North West,,Cheshire and Merseyside," 249,061 "," 93,106 "," 158,182 "," 169,139 "," 150,787 "," 130,191 "," 131,202 "," 93,871 "," 128,967 ",," 64,084 "," 18,027 "," 23,354 "," 26,638 "," 23,503 "," 22,936 "," 64,137 "," 74,454 "," 113,214 ",," 1,734,853 ",,57.1%,89.3%,95.6%,99.5%,95.1%,98.8%,100%*,95.3%
,North West,,Greater Manchester Health and Social Care Partnership," 284,028 "," 99,866 "," 167,336 "," 164,535 "," 140,966 "," 119,797 "," 122,065 "," 87,046 "," 112,030 ",," 74,737 "," 20,707 "," 25,879 "," 27,923 "," 25,586 "," 31,408 "," 72,519 "," 71,105 "," 95,521 ",," 1,743,054 ",,54.2%,86.7%,93.6%,97.1%,93.7%,98.1%,100%*,94.7%
,North West,,Healthier Lancashire and South Cumbria," 169,972 "," 64,434 "," 108,991 "," 113,580 "," 102,241 "," 89,421 "," 94,663 "," 68,576 "," 89,447 ",," 42,294 "," 12,310 "," 15,620 "," 17,338 "," 14,778 "," 18,398 "," 48,537 "," 58,553 "," 81,098 ",," 1,210,251 ",,57.8%,88.9%,95.2%,99.0%,94.5%,97.2%,100%*,96.7%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 144,714 "," 63,820 "," 114,449 "," 111,967 "," 93,990 "," 78,588 "," 80,028 "," 60,743 "," 85,363 ",," 36,567 "," 9,849 "," 11,213 "," 12,218 "," 10,011 "," 12,004 "," 28,885 "," 45,908 "," 76,055 ",," 1,076,372 ",,53.4%,93.1%,98.9%,100%*,97.2%,98.2%,100%*,96.6%
,South East,,Frimley Health and Care ICS," 73,945 "," 37,158 "," 48,970 "," 46,214 "," 38,060 "," 31,327 "," 30,810 "," 23,032 "," 32,817 ",," 15,584 "," 4,630 "," 5,043 "," 5,253 "," 4,414 "," 6,024 "," 15,473 "," 17,180 "," 29,232 ",," 465,166 ",,67.5%,90.8%,97.1%,100%*,98.1%,97.9%,100%*,96.2%
,South East,,Hampshire and the Isle of Wight," 185,404 "," 76,097 "," 116,735 "," 121,049 "," 106,694 "," 92,809 "," 98,797 "," 74,612 "," 102,703 ",," 48,331 "," 12,614 "," 14,737 "," 15,530 "," 12,620 "," 9,507 "," 28,469 "," 54,940 "," 91,673 ",," 1,263,321 ",,64.2%,91.1%,97.1%,99.5%,96.0%,96.3%,100%*,96.5%
,South East,,Kent and Medway," 159,227 "," 64,227 "," 117,249 "," 117,855 "," 102,414 "," 90,234 "," 97,441 "," 71,290 "," 93,912 ",," 44,774 "," 13,350 "," 15,688 "," 16,737 "," 14,541 "," 14,572 "," 36,972 "," 48,600 "," 79,304 ",," 1,198,387 ",,51.5%,87.2%,94.9%,96.7%,93.7%,96.1%,100%*,95.9%
,South East,,Surrey Heartlands Health and Care Partnership," 83,069 "," 43,612 "," 70,601 "," 69,367 "," 57,397 "," 47,882 "," 49,767 "," 38,075 "," 57,717 ",," 22,469 "," 6,930 "," 7,992 "," 8,567 "," 7,161 "," 7,879 "," 24,384 "," 27,873 "," 48,554 ",," 679,296 ",,57.4%,91.0%,96.3%,99.1%,95.5%,96.0%,100%*,95.2%
,South East,,Sussex and East Surrey Health and Care Partnership," 146,440 "," 61,602 "," 110,920 "," 113,034 "," 99,275 "," 89,493 "," 98,000 "," 73,932 "," 105,919 ",," 45,225 "," 13,774 "," 16,812 "," 17,972 "," 15,497 "," 14,174 "," 38,666 "," 52,404 "," 90,221 ",," 1,203,360 ",,53.5%,88.6%,96.0%,97.4%,93.7%,95.7%,100%*,94.7%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 72,559 "," 30,601 "," 62,302 "," 62,974 "," 54,359 "," 47,246 "," 48,736 "," 36,373 "," 50,172 ",," 19,481 "," 5,627 "," 6,587 "," 6,949 "," 5,565 "," 4,889 "," 18,147 "," 29,319 "," 45,168 ",," 607,054 ",,47.4%,92.1%,98.4%,100%*,96.9%,99.5%,100%*,99.7%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 98,780 "," 34,883 "," 57,043 "," 56,701 "," 47,363 "," 41,554 "," 42,886 "," 32,837 "," 45,619 ",," 31,281 "," 6,847 "," 7,906 "," 8,174 "," 6,114 "," 4,542 "," 14,767 "," 26,254 "," 41,368 ",," 604,919 ",,59.1%,92.8%,100%*,100%*,96.5%,98.2%,100%*,96.3%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 44,562 "," 19,971 "," 36,905 "," 39,863 "," 37,884 "," 35,775 "," 39,128 "," 28,862 "," 35,955 ",," 14,001 "," 4,329 "," 5,386 "," 5,652 "," 4,742 "," 3,931 "," 12,013 "," 22,300 "," 32,300 ",," 423,559 ",,53.5%,88.2%,94.1%,95.5%,92.7%,95.8%,100%*,98.3%
,South West,,Devon," 103,272 "," 44,282 "," 77,862 "," 82,942 "," 76,379 "," 71,254 "," 77,303 "," 58,732 "," 79,044 ",," 35,507 "," 9,276 "," 11,546 "," 11,913 "," 9,817 "," 7,764 "," 18,999 "," 36,009 "," 68,946 ",," 880,847 ",,59.7%,91.6%,96.9%,97.5%,94.5%,97.4%,100%*,99.4%
,South West,,Dorset," 78,362 "," 36,891 "," 48,800 "," 52,044 "," 48,920 "," 45,780 "," 51,255 "," 39,069 "," 56,613 ",," 19,355 "," 5,489 "," 6,518 "," 7,197 "," 6,380 "," 6,216 "," 16,990 "," 28,277 "," 49,981 ",," 604,137 ",,75.0%,89.3%,94.6%,98.2%,93.3%,97.1%,100%*,98.3%
,South West,,Gloucestershire," 54,060 "," 29,108 "," 42,666 "," 44,681 "," 39,173 "," 34,520 "," 35,844 "," 27,238 "," 37,068 ",," 14,685 "," 4,120 "," 5,015 "," 5,392 "," 4,825 "," 4,315 "," 14,441 "," 22,499 "," 34,008 ",," 453,658 ",,66.9%,88.9%,97.3%,99.3%,93.3%,97.4%,100%*,99.1%
,South West,,Somerset," 47,631 "," 17,794 "," 38,016 "," 40,069 "," 36,537 "," 34,493 "," 37,505 "," 28,089 "," 37,753 ",," 15,716 "," 4,424 "," 5,799 "," 6,054 "," 5,429 "," 5,261 "," 17,216 "," 23,821 "," 34,289 ",," 435,896 ",,48.9%,90.6%,96.0%,97.3%,91.9%,99.5%,100%*,98.6%
