,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,London,,South West London Health and Care Partnership," 143,422 "," 62,961 "," 69,125 "," 61,245 "," 50,561 "," 49,036 "," 34,267 "," 49,420 ",," 15,014 "," 2,978 "," 3,090 "," 2,313 "," 1,401 "," 1,353 "," 1,728 "," 14,410 ",," 562,324 ",,62.5%,78.4%,89.0%,89.3%,95.2%,96.2%,89.4%
,Midlands,,Birmingham and Solihull," 118,221 "," 51,583 "," 55,788 "," 51,191 "," 44,142 "," 43,272 "," 32,946 "," 47,609 ",," 7,213 "," 1,671 "," 1,663 "," 1,383 "," 1,118 "," 1,202 "," 2,081 "," 14,430 ",," 475,513 ",,71.4%,84.4%,94.2%,92.5%,96.7%,98.7%,90.4%
,Midlands,,Coventry and Warwickshire," 89,594 "," 46,428 "," 51,500 "," 47,829 "," 42,326 "," 43,670 "," 34,635 "," 45,903 ",," 4,828 "," 1,286 "," 1,333 ", 965 , 479 , 390 , 742 ," 10,045 ",," 421,953 ",,74.4%,88.3%,98.0%,95.2%,96.1%,100%*,97.1%
,Midlands,,Herefordshire and Worcestershire," 76,987 "," 43,073 "," 47,458 "," 48,077 "," 45,955 "," 48,892 "," 36,888 "," 48,381 ",," 5,430 "," 1,678 "," 1,755 "," 1,212 ", 598 , 639 ," 1,701 "," 15,553 ",," 424,277 ",,73.2%,84.6%,95.9%,93.3%,98.1%,100%*,98.0%
,Midlands,,Joined Up Care Derbyshire," 99,929 "," 55,570 "," 61,807 "," 58,911 "," 53,402 "," 55,945 "," 42,060 "," 53,524 ",," 6,199 "," 1,843 "," 1,899 "," 1,372 ", 526 , 348 , 405 ," 7,313 ",," 501,053 ",,70.4%,85.4%,94.9%,93.6%,96.8%,100%*,96.3%
,Midlands,,"Leicester, Leicestershire and Rutland"," 106,316 "," 43,161 "," 59,126 "," 57,551 "," 52,076 "," 52,777 "," 38,211 "," 50,931 ",," 5,732 "," 1,564 "," 1,721 "," 1,450 ", 947 ," 1,105 "," 1,987 "," 11,083 ",," 485,738 ",,57.6%,83.6%,95.9%,93.8%,99.1%,100%*,96.5%
,Midlands,,Lincolnshire," 66,307 "," 36,976 "," 45,954 "," 46,165 "," 44,017 "," 48,183 "," 36,299 "," 45,851 ",," 4,133 "," 1,241 "," 1,313 ", 955 , 370 , 215 , 212 ," 8,285 ",," 386,476 ",,67.6%,82.9%,93.5%,91.3%,96.0%,100%*,98.6%
,Midlands,,Northamptonshire," 64,130 "," 30,417 "," 38,826 "," 37,959 "," 34,548 "," 36,421 "," 25,887 "," 32,013 ",," 4,249 "," 1,241 "," 1,444 "," 1,076 ", 574 , 699 ," 1,464 "," 13,581 ",," 324,529 ",,55.9%,78.5%,92.9%,91.5%,96.6%,100%*,97.8%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 115,577 "," 49,733 "," 56,059 "," 52,126 "," 47,011 "," 48,544 "," 35,982 "," 47,677 ",," 7,655 "," 1,988 "," 2,016 "," 1,330 ", 494 , 235 , 176 ," 4,749 ",," 471,352 ",,70.1%,83.5%,92.8%,91.5%,97.1%,100%*,95.8%
,Midlands,,Shropshire and Telford and Wrekin," 49,342 "," 27,262 "," 33,079 "," 30,442 "," 28,201 "," 29,411 "," 22,620 "," 28,620 ",," 1,757 ", 470 , 539 , 368 , 153 , 112 , 335 ," 5,767 ",," 258,478 ",,71.8%,90.1%,95.9%,93.0%,97.3%,100%*,99.9%
,Midlands,,Staffordshire and Stoke on Trent," 115,196 "," 62,110 "," 68,876 "," 65,968 "," 59,504 "," 62,821 "," 48,488 "," 60,485 ",," 12,588 "," 3,599 "," 3,434 "," 2,540 "," 1,059 "," 1,203 "," 2,088 "," 17,742 ",," 587,701 ",,74.3%,87.1%,96.8%,93.6%,96.8%,100%*,99.4%
,Midlands,,The Black Country and West Birmingham," 138,276 "," 60,049 "," 67,613 "," 62,614 "," 55,517 "," 53,807 "," 42,530 "," 59,813 ",," 7,430 "," 1,999 "," 1,976 "," 1,455 ", 803 , 672 ," 1,195 "," 15,340 ",," 571,089 ",,66.0%,81.5%,92.2%,92.2%,96.1%,94.5%,93.1%
,North East and Yorkshire,,Cumbria and North East," 280,100 "," 113,303 "," 148,009 "," 163,628 "," 162,092 "," 163,932 "," 113,189 "," 154,871 ",," 32,000 "," 8,508 "," 9,118 "," 6,810 "," 2,648 "," 2,161 "," 4,722 "," 51,864 ",," 1,416,955 ",,53.4%,69.4%,85.5%,95.2%,99.4%,100%*,96.1%
,North East and Yorkshire,,"Humber, Coast and Vale"," 148,624 "," 83,989 "," 97,422 "," 101,845 "," 94,742 "," 101,324 "," 71,708 "," 98,352 ",," 8,927 "," 2,692 "," 2,952 "," 2,205 "," 1,097 "," 1,142 "," 1,549 "," 30,456 ",," 849,026 ",,67.7%,78.4%,93.9%,93.7%,98.7%,100%*,97.3%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 144,628 "," 66,970 "," 75,387 "," 77,079 "," 71,310 "," 73,127 "," 54,504 "," 71,532 ",," 11,956 "," 3,214 "," 3,344 "," 2,478 "," 1,087 ", 773 ," 1,643 "," 17,608 ",," 676,640 ",,63.2%,75.5%,89.5%,93.7%,96.5%,100%*,95.2%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 236,350 "," 103,244 "," 120,352 "," 118,460 "," 104,279 "," 106,735 "," 74,369 "," 102,090 ",," 15,414 "," 4,613 "," 5,043 "," 4,036 "," 2,538 "," 3,219 "," 4,117 "," 36,172 ",," 1,041,031 ",,65.0%,81.2%,93.4%,92.4%,98.4%,100%*,95.3%
,North West,,Cheshire and Merseyside," 257,634 "," 110,729 "," 132,030 "," 142,651 "," 128,071 "," 130,346 "," 93,300 "," 128,639 ",," 18,835 "," 5,044 "," 5,309 "," 3,846 "," 2,118 "," 2,568 "," 3,800 "," 28,104 ",," 1,193,024 ",,62.5%,74.6%,94.2%,93.6%,98.1%,99.7%,95.1%
,North West,,Greater Manchester Health and Social Care Partnership," 296,707 "," 130,640 "," 136,137 "," 133,432 "," 117,604 "," 120,987 "," 86,258 "," 111,534 ",," 17,105 "," 4,709 "," 4,910 "," 3,755 "," 2,020 "," 2,294 "," 2,905 "," 27,557 ",," 1,198,554 ",,67.7%,77.4%,91.9%,92.0%,97.3%,99.3%,94.3%
,North West,,Healthier Lancashire and South Cumbria," 169,644 "," 74,872 "," 91,618 "," 97,587 "," 87,871 "," 94,114 "," 68,343 "," 89,439 ",," 10,933 "," 3,276 "," 3,547 "," 2,660 "," 1,678 "," 1,514 "," 3,848 "," 34,382 ",," 835,326 ",,61.1%,76.8%,94.5%,92.9%,96.7%,100%*,96.7%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 155,426 "," 85,259 "," 92,757 "," 89,940 "," 77,494 "," 79,686 "," 60,510 "," 85,345 ",," 12,133 "," 2,959 "," 3,051 "," 2,147 "," 1,085 ", 852 ," 1,727 "," 19,970 ",," 770,341 ",,69.4%,82.0%,96.5%,95.9%,97.8%,100%*,96.6%
,South East,,Frimley Health and Care ICS," 68,842 "," 37,572 "," 38,301 "," 36,013 "," 30,900 "," 30,621 "," 22,895 "," 32,732 ",," 6,145 "," 1,587 "," 1,594 "," 1,140 ", 531 , 323 , 337 ," 7,382 ",," 316,915 ",,69.7%,80.5%,95.2%,96.8%,97.3%,100%*,96.0%
,South East,,Hampshire and the Isle of Wight," 181,413 "," 87,403 "," 101,647 "," 102,773 "," 91,820 "," 98,323 "," 74,318 "," 102,741 ",," 14,388 "," 3,640 "," 3,721 "," 2,795 "," 1,210 ", 976 ," 2,056 "," 37,756 ",," 906,980 ",,68.2%,81.5%,95.9%,95.0%,95.8%,100%*,96.6%
,South East,,Kent and Medway," 169,783 "," 78,232 "," 104,457 "," 97,842 "," 88,709 "," 96,863 "," 70,922 "," 93,719 ",," 17,627 "," 4,741 "," 4,857 "," 3,584 "," 1,782 "," 1,498 "," 2,941 "," 28,184 ",," 865,741 ",,58.2%,84.1%,92.4%,92.1%,95.5%,100%*,95.7%
,South East,,Surrey Heartlands Health and Care Partnership," 89,299 "," 57,587 "," 60,638 "," 54,745 "," 47,362 "," 49,462 "," 37,882 "," 57,549 ",," 7,609 "," 2,010 "," 2,089 "," 1,570 ", 759 , 530 , 438 ," 9,865 ",," 479,394 ",,74.2%,84.2%,94.5%,94.4%,95.4%,100%*,94.9%
,South East,,Sussex and East Surrey Health and Care Partnership," 161,391 "," 83,132 "," 98,822 "," 95,763 "," 88,049 "," 97,450 "," 73,553 "," 105,723 ",," 15,740 "," 4,233 "," 4,295 "," 3,358 "," 1,590 "," 1,354 "," 3,139 "," 18,750 ",," 856,342 ",,66.4%,83.9%,93.9%,92.2%,95.1%,100%*,94.6%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 77,571 "," 46,266 "," 54,291 "," 52,543 "," 46,797 "," 48,520 "," 36,248 "," 50,242 ",," 4,358 "," 1,132 "," 1,170 ", 847 , 343 , 187 , 153 ," 8,634 ",," 429,302 ",,68.4%,84.8%,98.3%,96.0%,99.0%,100%*,99.8%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 106,250 "," 43,327 "," 46,158 "," 45,568 "," 41,149 "," 42,757 "," 32,759 "," 45,704 ",," 9,587 "," 2,036 "," 2,048 "," 1,477 ", 679 , 473 , 933 ," 14,672 ",," 435,577 ",,70.5%,81.9%,96.8%,95.6%,97.9%,100%*,96.5%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 48,958 "," 28,922 "," 36,977 "," 36,919 "," 35,408 "," 38,997 "," 28,737 "," 35,941 ",," 7,620 "," 2,226 "," 2,145 "," 1,593 ", 665 , 413 , 538 ," 7,108 ",," 313,167 ",,69.1%,87.3%,93.1%,91.8%,95.4%,100%*,98.3%
,South West,,Devon," 112,490 "," 53,328 "," 70,359 "," 72,403 "," 70,333 "," 76,944 "," 58,505 "," 79,170 ",," 13,153 "," 3,284 "," 3,323 "," 2,475 "," 1,075 ", 729 , 782 ," 20,191 ",," 638,544 ",,62.7%,82.2%,92.4%,93.3%,96.9%,100%*,99.6%
,South West,,Dorset," 78,344 "," 39,686 "," 45,771 "," 47,513 "," 45,296 "," 50,994 "," 38,900 "," 56,642 ",," 4,929 "," 1,243 "," 1,419 "," 1,044 ", 560 , 351 , 254 ," 14,653 ",," 427,599 ",,72.7%,83.2%,95.4%,92.3%,96.7%,100%*,98.4%
,South West,,Gloucestershire," 59,534 "," 32,810 "," 38,760 "," 37,524 "," 34,233 "," 35,683 "," 27,165 "," 37,127 ",," 6,523 "," 1,863 "," 1,908 "," 1,448 ", 635 , 610 ," 2,549 "," 16,087 ",," 334,459 ",,68.4%,84.4%,95.1%,92.6%,96.9%,100%*,99.3%
,South West,,Somerset," 54,491 "," 31,259 "," 35,560 "," 35,613 "," 34,125 "," 37,359 "," 28,003 "," 37,754 ",," 3,436 "," 1,009 "," 1,016 ", 772 , 357 , 244 , 267 ," 9,113 ",," 310,378 ",,74.5%,85.2%,94.8%,90.9%,99.1%,100%*,98.6%
