,Region of Residence,,ICS/STP of Residence,1st dose Under 30,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 30,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,Midlands,,Joined Up Care Derbyshire," 48,488 "," 38,747 "," 46,512 "," 50,948 "," 59,294 "," 71,418 "," 71,349 "," 61,973 "," 54,371 "," 56,351 "," 42,177 "," 53,066 ",," 21,977 "," 12,856 "," 14,627 "," 19,030 "," 27,030 "," 42,220 "," 45,126 "," 54,527 "," 52,264 "," 55,318 "," 41,524 "," 51,961 ",," 1,093,154 ",,61.6%,76.1%,88.1%,83.7%,90.5%,98.6%,99.9%,95.3%,97.5%,100%*,95.5%,,53.5%,62.3%,87.9%,91.6%,95.7%,100%*,93.5%
,Midlands,,"Leicester, Leicestershire and Rutland"," 51,574 "," 34,923 "," 49,490 "," 56,690 "," 61,420 "," 70,528 "," 68,530 "," 61,017 "," 53,240 "," 53,254 "," 38,409 "," 50,492 ",," 24,399 "," 13,991 "," 16,627 "," 19,364 "," 25,001 "," 36,354 "," 43,146 "," 51,935 "," 50,426 "," 51,899 "," 37,432 "," 48,155 ",," 1,068,296 ",,50.9%,72.2%,89.9%,86.7%,94.2%,96.9%,100%*,95.9%,99.9%,100%*,95.6%,,48.5%,61.0%,86.5%,90.9%,97.4%,100%*,91.2%
,Midlands,,Lincolnshire," 26,321 "," 23,625 "," 30,699 "," 34,587 "," 41,186 "," 50,407 "," 54,104 "," 49,006 "," 44,856 "," 48,575 "," 36,432 "," 45,501 ",," 15,642 "," 8,666 "," 9,514 "," 10,606 "," 14,848 "," 27,884 "," 33,217 "," 41,679 "," 42,946 "," 47,618 "," 35,767 "," 44,597 ",," 818,283 ",,55.3%,72.5%,87.6%,83.9%,92.1%,97.6%,99.2%,93.1%,96.8%,100%*,97.8%,,50.9%,59.9%,84.4%,89.1%,94.9%,100%*,95.9%
,Midlands,,Northamptonshire," 23,495 "," 21,002 "," 32,232 "," 39,467 "," 43,650 "," 50,193 "," 48,704 "," 40,732 "," 35,311 "," 36,701 "," 25,970 "," 31,766 ",," 13,161 "," 8,225 "," 9,468 "," 11,363 "," 15,205 "," 28,484 "," 28,419 "," 34,291 "," 33,280 "," 35,905 "," 25,492 "," 30,957 ",," 703,473 ",,44.3%,64.8%,85.3%,83.9%,92.3%,98.5%,99.6%,93.5%,97.3%,100%*,97.1%,,52.4%,57.5%,83.9%,88.1%,95.2%,100%*,94.6%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 39,321 "," 35,143 "," 45,008 "," 49,038 "," 53,825 "," 63,863 "," 64,281 "," 55,242 "," 47,902 "," 49,011 "," 36,212 "," 47,879 ",," 26,532 "," 14,484 "," 16,444 "," 18,331 "," 22,921 "," 31,725 "," 40,082 "," 48,406 "," 45,947 "," 47,771 "," 35,233 "," 45,834 ",," 980,435 ",,52.5%,70.2%,83.2%,81.1%,90.0%,95.8%,98.3%,93.3%,98.0%,100%*,96.2%,,44.7%,59.7%,86.1%,89.5%,95.6%,100%*,92.1%
,Midlands,,Shropshire and Telford and Wrekin," 18,974 "," 12,980 "," 18,196 "," 22,779 "," 27,548 "," 34,398 "," 35,558 "," 31,414 "," 28,626 "," 29,582 "," 22,692 "," 28,440 ",," 11,117 "," 6,536 "," 7,107 "," 8,045 "," 10,947 "," 22,150 "," 24,474 "," 28,125 "," 27,657 "," 29,074 "," 22,355 "," 27,837 ",," 536,611 ",,44.0%,62.2%,81.7%,81.3%,90.6%,96.9%,99.0%,94.4%,97.9%,100%*,99.3%,,58.3%,66.7%,88.6%,91.2%,96.2%,100%*,97.2%
,Midlands,,Staffordshire and Stoke on Trent," 41,622 "," 38,973 "," 49,803 "," 54,699 "," 63,499 "," 77,607 "," 76,933 "," 68,315 "," 60,444 "," 63,194 "," 48,553 "," 60,081 ",," 25,080 "," 15,499 "," 17,482 "," 19,763 "," 29,790 "," 51,757 "," 51,015 "," 61,396 "," 58,283 "," 61,941 "," 47,676 "," 58,762 ",," 1,202,167 ",,55.5%,72.9%,86.9%,82.5%,92.9%,97.3%,100%*,95.1%,97.4%,100%*,98.8%,,61.9%,64.5%,90.1%,91.7%,95.4%,100%*,96.6%
,Midlands,,The Black Country and West Birmingham," 52,868 "," 42,425 "," 57,151 "," 65,943 "," 71,272 "," 82,352 "," 77,447 "," 66,410 "," 57,107 "," 54,373 "," 42,817 "," 59,731 ",," 26,701 "," 17,172 "," 20,281 "," 22,892 "," 28,637 "," 44,671 "," 48,721 "," 56,651 "," 53,269 "," 52,586 "," 41,575 "," 57,439 ",," 1,200,491 ",,43.0%,61.1%,80.8%,79.2%,90.5%,93.3%,97.8%,94.8%,97.2%,95.1%,92.9%,,49.1%,58.7%,83.5%,88.5%,94.0%,92.3%,89.4%
,North East and Yorkshire,,Cumbria and North East," 116,543 "," 92,337 "," 129,820 "," 142,508 "," 158,609 "," 194,027 "," 207,292 "," 191,233 "," 166,544 "," 165,217 "," 113,404 "," 153,490 ",," 65,236 "," 39,440 "," 43,881 "," 47,850 "," 59,866 "," 107,131 "," 128,555 "," 138,953 "," 156,595 "," 161,822 "," 111,570 "," 149,336 ",," 3,041,259 ",,49.7%,72.8%,88.5%,83.8%,91.5%,97.2%,99.9%,97.8%,100%*,100%*,95.3%,,50.5%,60.3%,72.6%,92.0%,98.1%,100%*,92.7%
,North East and Yorkshire,,"Humber, Coast and Vale"," 59,972 "," 49,500 "," 68,954 "," 79,158 "," 92,846 "," 113,605 "," 120,789 "," 108,744 "," 96,618 "," 101,889 "," 71,855 "," 97,398 ",," 34,281 "," 20,299 "," 21,931 "," 24,417 "," 33,573 "," 65,795 "," 77,226 "," 89,669 "," 91,639 "," 100,119 "," 70,738 "," 95,182 ",," 1,786,197 ",,48.8%,71.4%,86.4%,83.6%,91.6%,97.3%,100%*,95.6%,99.3%,100%*,96.4%,,53.1%,62.2%,82.7%,90.7%,97.6%,100%*,94.2%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 71,694 "," 60,793 "," 69,523 "," 72,033 "," 80,083 "," 97,573 "," 96,896 "," 85,372 "," 73,114 "," 73,696 "," 54,714 "," 70,996 ",," 35,363 "," 19,684 "," 21,621 "," 24,966 "," 33,046 "," 60,660 "," 62,465 "," 66,442 "," 68,980 "," 72,128 "," 53,709 "," 69,098 ",," 1,494,649 ",,60.4%,74.0%,86.0%,81.4%,92.0%,97.1%,99.2%,96.1%,97.2%,100%*,94.5%,,57.2%,62.6%,77.2%,90.6%,95.1%,100%*,91.9%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 94,418 "," 78,446 "," 109,821 "," 119,291 "," 128,767 "," 147,141 "," 142,909 "," 125,542 "," 106,874 "," 107,568 "," 74,688 "," 101,332 ",," 53,074 "," 31,247 "," 36,543 "," 42,034 "," 53,789 "," 93,713 "," 93,758 "," 110,211 "," 101,654 "," 105,154 "," 73,086 "," 97,586 ",," 2,228,646 ",,49.6%,69.8%,85.1%,82.6%,92.6%,96.4%,99.0%,94.7%,99.2%,100%*,94.6%,,59.0%,63.3%,86.9%,90.1%,96.9%,98.8%,91.1%
,North West,,Cheshire and Merseyside," 103,156 "," 78,645 "," 107,373 "," 117,993 "," 133,613 "," 162,275 "," 172,563 "," 152,891 "," 131,223 "," 131,665 "," 93,881 "," 128,098 ",," 59,149 "," 35,509 "," 40,882 "," 45,281 "," 56,926 "," 98,789 "," 108,685 "," 126,823 "," 124,322 "," 128,258 "," 91,682 "," 123,679 ",," 2,553,361 ",,49.8%,70.6%,84.6%,82.0%,91.6%,97.5%,100%*,95.9%,99.1%,100%*,94.7%,,55.8%,61.4%,83.7%,90.8%,96.6%,97.9%,91.4%
,North West,,Greater Manchester Health and Social Care Partnership," 138,972 "," 104,393 "," 136,874 "," 144,607 "," 151,814 "," 173,687 "," 168,843 "," 144,149 "," 121,368 "," 122,653 "," 87,174 "," 111,373 ",," 64,642 "," 40,637 "," 47,199 "," 52,626 "," 63,572 "," 113,291 "," 114,647 "," 119,229 "," 113,443 "," 118,521 "," 84,454 "," 106,191 ",," 2,644,359 ",,49.3%,69.4%,84.8%,82.4%,90.0%,96.0%,99.3%,94.9%,98.6%,100%*,94.2%,,58.7%,65.2%,82.1%,88.7%,95.3%,97.2%,89.8%
,North West,,Healthier Lancashire and South Cumbria," 86,809 "," 57,014 "," 71,902 "," 78,869 "," 91,062 "," 112,015 "," 116,276 "," 103,660 "," 90,175 "," 94,836 "," 68,542 "," 88,776 ",," 38,399 "," 23,033 "," 26,400 "," 29,777 "," 39,475 "," 70,218 "," 73,835 "," 88,396 "," 85,859 "," 92,818 "," 67,307 "," 86,079 ",," 1,781,532 ",,57.2%,73.2%,85.7%,81.7%,91.4%,97.4%,100%*,95.3%,97.4%,100%*,96.0%,,57.3%,61.9%,85.6%,90.8%,95.3%,100%*,93.1%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 55,425 "," 48,265 "," 82,508 "," 101,684 "," 106,723 "," 116,694 "," 113,424 "," 95,106 "," 79,062 "," 80,280 "," 60,771 "," 84,861 ",," 33,236 "," 19,892 "," 22,968 "," 27,425 "," 34,614 "," 71,277 "," 69,788 "," 78,920 "," 75,238 "," 78,636 "," 59,632 "," 82,340 ",," 1,678,769 ",,46.7%,72.5%,90.8%,89.2%,94.9%,100%*,100%*,97.8%,98.5%,100%*,96.0%,,58.0%,61.7%,84.7%,93.1%,96.5%,100%*,93.2%
,South East,,Frimley Health and Care ICS," 26,055 "," 29,261 "," 40,807 "," 46,788 "," 48,149 "," 50,049 "," 46,994 "," 38,551 "," 31,601 "," 30,981 "," 23,099 "," 32,609 ",," 13,076 "," 8,638 "," 10,163 "," 13,046 "," 17,724 "," 30,335 "," 29,185 "," 30,832 "," 30,147 "," 30,111 "," 22,573 "," 31,419 ",," 712,193 ",,60.3%,74.3%,86.8%,87.5%,92.8%,98.7%,100%*,99.0%,98.5%,100%*,95.6%,,56.3%,61.3%,81.5%,94.4%,95.7%,100%*,92.1%
,South East,,Hampshire and the Isle of Wight," 74,180 "," 57,394 "," 81,235 "," 93,637 "," 102,123 "," 118,708 "," 122,589 "," 107,897 "," 93,376 "," 99,091 "," 74,604 "," 101,963 ",," 39,796 "," 23,839 "," 25,537 "," 31,275 "," 40,010 "," 66,179 "," 73,045 "," 92,396 "," 89,524 "," 97,001 "," 73,200 "," 98,759 ",," 1,877,358 ",,53.0%,75.0%,90.1%,86.1%,92.6%,98.3%,100%*,96.6%,96.6%,100%*,95.8%,,51.6%,58.6%,86.2%,92.6%,94.5%,100%*,92.8%
,South East,,Kent and Medway," 58,401 "," 49,639 "," 75,889 "," 94,219 "," 103,164 "," 120,098 "," 120,769 "," 104,060 "," 90,985 "," 97,830 "," 71,403 "," 93,434 ",," 35,460 "," 21,774 "," 24,980 "," 29,512 "," 37,131 "," 63,287 "," 70,465 "," 86,535 "," 85,834 "," 95,480 "," 69,916 "," 90,567 ",," 1,790,832 ",,43.3%,65.4%,85.3%,82.8%,89.3%,97.3%,98.3%,94.5%,96.5%,100%*,95.4%,,47.1%,56.7%,81.7%,89.1%,94.2%,100%*,92.5%
,South East,,Surrey Heartlands Health and Care Partnership," 30,540 "," 34,158 "," 52,249 "," 64,173 "," 68,560 "," 71,841 "," 70,718 "," 58,217 "," 48,162 "," 49,932 "," 38,109 "," 57,378 ",," 18,364 "," 11,288 "," 13,373 "," 16,947 "," 20,999 "," 44,953 "," 45,808 "," 49,314 "," 46,289 "," 48,855 "," 37,354 "," 55,855 ",," 1,053,436 ",,58.8%,76.7%,87.4%,90.3%,92.6%,98.2%,100%*,96.0%,96.3%,100%*,94.6%,,57.9%,63.6%,85.1%,92.3%,94.2%,100%*,92.1%
,South East,,Sussex and East Surrey Health and Care Partnership," 58,422 "," 48,881 "," 72,511 "," 86,373 "," 96,952 "," 113,246 "," 114,970 "," 100,767 "," 90,283 "," 98,377 "," 74,070 "," 105,360 ",," 35,755 "," 21,484 "," 24,293 "," 29,758 "," 38,172 "," 72,031 "," 69,856 "," 88,825 "," 86,079 "," 96,289 "," 72,647 "," 102,561 ",," 1,797,962 ",,50.2%,70.8%,86.3%,84.3%,90.5%,97.6%,98.9%,94.5%,96.0%,100%*,94.2%,,57.6%,59.3%,87.1%,90.1%,94.0%,100%*,91.7%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 28,194 "," 18,558 "," 35,927 "," 48,025 "," 55,387 "," 63,515 "," 64,010 "," 55,156 "," 47,555 "," 48,844 "," 36,367 "," 49,820 ",," 18,561 "," 10,801 "," 11,858 "," 13,439 "," 17,809 "," 40,442 "," 40,694 "," 46,821 "," 45,834 "," 48,073 "," 35,901 "," 48,844 ",," 930,435 ",,33.4%,63.7%,88.6%,85.8%,93.9%,100%*,100%*,97.6%,99.7%,100%*,99.0%,,59.8%,63.6%,87.6%,94.0%,98.1%,100%*,97.1%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 41,378 "," 30,030 "," 43,591 "," 52,945 "," 53,197 "," 58,153 "," 57,762 "," 48,223 "," 41,786 "," 43,001 "," 32,840 "," 45,233 ",," 24,994 "," 14,398 "," 15,425 "," 17,388 "," 21,041 "," 36,906 "," 35,701 "," 41,053 "," 40,164 "," 42,130 "," 32,327 "," 44,249 ",," 913,915 ",,41.3%,66.5%,93.0%,90.2%,94.6%,100%*,100%*,97.1%,98.4%,100%*,95.5%,,60.0%,63.4%,87.2%,93.3%,96.4%,100%*,93.4%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 16,595 "," 13,830 "," 21,529 "," 25,789 "," 30,228 "," 37,650 "," 40,833 "," 38,675 "," 36,041 "," 39,213 "," 28,862 "," 35,638 ",," 11,154 "," 6,596 "," 7,365 "," 8,410 "," 11,143 "," 23,471 "," 25,354 "," 34,349 "," 34,701 "," 38,524 "," 28,415 "," 34,911 ",," 629,276 ",,49.0%,71.1%,85.6%,81.0%,90.0%,96.3%,97.5%,93.4%,96.0%,100%*,97.4%,,56.1%,59.8%,86.6%,89.9%,94.3%,100%*,95.5%
,South West,,Devon," 41,715 "," 31,649 "," 48,313 "," 55,539 "," 63,559 "," 79,290 "," 84,288 "," 78,183 "," 71,775 "," 77,548 "," 58,779 "," 78,421 ",," 28,797 "," 16,043 "," 17,181 "," 19,073 "," 24,513 "," 50,855 "," 54,030 "," 63,842 "," 68,682 "," 76,110 "," 57,836 "," 76,242 ",," 1,322,263 ",,48.0%,73.7%,90.0%,85.7%,93.3%,98.5%,99.8%,95.2%,97.7%,100%*,98.6%,,59.8%,63.2%,81.5%,91.1%,95.9%,100%*,95.9%
,South West,,Dorset," 27,381 "," 21,472 "," 30,680 "," 37,316 "," 41,583 "," 49,672 "," 53,266 "," 49,730 "," 46,124 "," 51,468 "," 39,074 "," 56,190 ",," 15,429 "," 9,263 "," 10,970 "," 15,508 "," 19,975 "," 30,340 "," 37,053 "," 42,435 "," 44,300 "," 50,425 "," 38,364 "," 54,782 ",," 872,800 ",,51.8%,69.8%,87.7%,84.5%,90.9%,96.9%,99.9%,94.0%,97.6%,100%*,97.6%,,55.5%,67.4%,85.2%,90.2%,95.6%,100%*,95.1%
,South West,,Gloucestershire," 19,896 "," 18,178 "," 28,958 "," 32,533 "," 36,669 "," 43,331 "," 45,185 "," 39,592 "," 34,696 "," 35,920 "," 27,241 "," 36,799 ",," 12,782 "," 7,687 "," 8,459 "," 10,855 "," 14,780 "," 26,660 "," 31,426 "," 33,309 "," 33,584 "," 35,260 "," 26,786 "," 35,927 ",," 676,513 ",,49.3%,75.5%,88.4%,84.3%,90.3%,98.4%,100%*,93.8%,97.6%,100%*,98.4%,,55.6%,68.4%,84.4%,90.8%,95.8%,100%*,96.1%
,South West,,Somerset," 20,149 "," 13,015 "," 20,477 "," 25,728 "," 30,569 "," 38,725 "," 40,937 "," 37,120 "," 34,734 "," 37,631 "," 28,082 "," 37,410 ",," 12,974 "," 7,720 "," 8,322 "," 9,375 "," 12,265 "," 28,452 "," 27,411 "," 32,175 "," 33,271 "," 36,918 "," 27,708 "," 36,763 ",," 637,931 ",,42.7%,69.0%,88.6%,84.0%,92.3%,98.1%,98.9%,92.6%,99.9%,100%*,97.7%,,67.8%,65.7%,85.7%,88.7%,98.0%,100%*,96.0
