,Region of Residence,,ICS/STP of Residence,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 177,948 "," 70,849 "," 79,343 "," 97,141 "," 96,452 "," 84,974 "," 73,010 "," 73,687 "," 54,726 "," 71,069 ",," 69,252 "," 21,119 "," 26,712 "," 44,599 "," 48,673 "," 53,612 "," 67,057 "," 71,704 "," 53,517 "," 68,892 ",," 1,404,336 ",,84.6%,80.6%,91.6%,96.6%,98.7%,95.9%,97.2%,100%*,94.6%,,42.1%,48.8%,62.3%,88.1%,94.6%,99.8%,91.7%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 242,574 "," 115,488 "," 126,782 "," 146,384 "," 142,128 "," 124,751 "," 106,700 "," 107,539 "," 74,679 "," 101,431 ",," 106,841 "," 36,126 "," 45,512 "," 75,081 "," 75,896 "," 91,015 "," 99,348 "," 104,505 "," 72,760 "," 97,239 ",," 2,092,779 ",,82.3%,81.3%,92.2%,95.9%,98.3%,94.5%,99.1%,100%*,94.7%,,47.3%,51.2%,71.7%,88.0%,96.3%,98.4%,90.8%
,North West,,Cheshire and Merseyside," 260,199 "," 114,066 "," 131,949 "," 161,665 "," 171,973 "," 152,387 "," 131,118 "," 131,647 "," 93,910 "," 128,251 ",," 121,244 "," 40,207 "," 50,346 "," 77,668 "," 90,193 "," 106,091 "," 121,505 "," 127,560 "," 91,365 "," 123,320 ",," 2,426,664 ",,81.8%,81.0%,91.3%,97.2%,100%*,95.8%,99.1%,100%*,94.8%,,43.9%,51.0%,70.0%,88.8%,96.0%,97.6%,91.1%
,North West,,Greater Manchester Health and Social Care Partnership," 331,832 "," 138,426 "," 148,653 "," 172,615 "," 168,058 "," 143,245 "," 121,195 "," 122,595 "," 87,182 "," 111,508 ",," 135,198 "," 46,540 "," 56,424 "," 85,601 "," 95,393 "," 99,238 "," 110,660 "," 117,714 "," 84,098 "," 105,794 ",," 2,481,969 ",,81.2%,80.7%,89.5%,95.6%,98.7%,94.8%,98.6%,100%*,94.3%,,44.4%,54.3%,68.4%,86.5%,94.6%,96.8%,89.5%
,North West,,Healthier Lancashire and South Cumbria," 189,853 "," 76,535 "," 89,742 "," 111,458 "," 115,362 "," 103,280 "," 90,054 "," 94,824 "," 68,553 "," 88,894 ",," 76,493 "," 25,367 "," 32,926 "," 53,681 "," 58,523 "," 72,580 "," 83,802 "," 92,308 "," 67,106 "," 85,920 ",," 1,677,261 ",,83.1%,80.5%,90.9%,96.6%,100.0%,95.2%,97.4%,100%*,96.1%,,43.8%,49.0%,70.3%,88.6%,94.8%,99.8%,92.9%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 152,989 "," 97,855 "," 105,142 "," 116,231 "," 113,029 "," 94,637 "," 78,954 "," 80,273 "," 60,768 "," 84,940 ",," 65,907 "," 23,488 "," 28,850 "," 46,192 "," 50,365 "," 59,436 "," 72,593 "," 78,188 "," 59,443 "," 82,159 ",," 1,551,439 ",,87.3%,87.9%,94.5%,99.9%,100%*,97.7%,98.5%,100%*,96.1%,,37.6%,44.5%,63.8%,89.8%,95.9%,100%*,93.0%
,South East,,Frimley Health and Care ICS," 78,763 "," 45,808 "," 47,631 "," 49,836 "," 46,826 "," 38,406 "," 31,570 "," 30,950 "," 23,098 "," 32,647 ",," 27,489 "," 10,526 "," 12,865 "," 20,380 "," 22,067 "," 24,518 "," 29,705 "," 29,931 "," 22,488 "," 31,356 ",," 656,860 ",,85.0%,86.5%,92.4%,98.4%,100%*,98.9%,98.4%,100%*,95.7%,,37.8%,46.4%,64.8%,93.1%,95.1%,100%*,91.9%
,South East,,Hampshire and the Isle of Wight," 184,887 "," 91,461 "," 101,198 "," 118,371 "," 122,200 "," 107,462 "," 93,311 "," 99,064 "," 74,622 "," 102,091 ",," 78,207 "," 25,777 "," 31,719 "," 47,866 "," 54,631 "," 72,437 "," 87,509 "," 96,551 "," 72,982 "," 98,626 ",," 1,760,972 ",,88.0%,85.3%,92.4%,98.0%,100%*,96.5%,96.6%,100%*,96.0%,,37.4%,43.8%,67.6%,90.5%,94.1%,100%*,92.7%
,South East,,Kent and Medway," 158,555 "," 91,627 "," 101,597 "," 119,601 "," 119,530 "," 103,317 "," 90,864 "," 97,806 "," 71,407 "," 93,535 ",," 73,893 "," 26,192 "," 31,942 "," 49,318 "," 55,030 "," 71,157 "," 83,172 "," 94,900 "," 69,652 "," 90,287 ",," 1,693,382 ",,83.0%,81.5%,88.9%,96.3%,97.6%,94.3%,96.5%,100%*,95.5%,,36.7%,44.3%,67.2%,86.3%,93.6%,100%*,92.2%
,South East,,Surrey Heartlands Health and Care Partnership," 95,906 "," 62,368 "," 67,811 "," 71,625 "," 70,243 "," 57,848 "," 48,118 "," 49,895 "," 38,095 "," 57,450 ",," 38,050 "," 14,867 "," 18,334 "," 33,144 "," 34,383 "," 39,742 "," 45,463 "," 48,557 "," 37,195 "," 55,710 ",," 984,804 ",,84.9%,89.3%,92.3%,97.6%,99.9%,96.0%,96.2%,100%*,94.7%,,42.7%,47.8%,68.6%,90.7%,93.6%,100%*,91.9%
,South East,,Sussex and East Surrey Health and Care Partnership," 153,191 "," 84,326 "," 95,936 "," 112,779 "," 114,471 "," 100,176 "," 90,160 "," 98,340 "," 74,073 "," 105,473 ",," 74,023 "," 26,753 "," 34,110 "," 58,434 "," 57,540 "," 72,616 "," 83,520 "," 95,833 "," 72,386 "," 102,282 ",," 1,706,422 ",,84.3%,83.4%,90.1%,97.2%,98.3%,94.4%,96.0%,100%*,94.3%,,46.7%,48.8%,71.2%,87.5%,93.6%,100%*,91.5%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 68,391 "," 45,717 "," 54,274 "," 63,257 "," 63,654 "," 54,830 "," 47,513 "," 48,847 "," 36,378 "," 49,889 ",," 37,849 "," 12,407 "," 16,366 "," 27,241 "," 32,321 "," 39,527 "," 44,906 "," 47,933 "," 35,810 "," 48,775 ",," 875,885 ",,84.4%,84.0%,93.5%,99.5%,100%*,97.5%,99.7%,100%*,99.1%,,40.3%,50.5%,74.0%,92.1%,97.8%,100%*,96.9%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 96,541 "," 51,215 "," 52,472 "," 57,958 "," 57,410 "," 47,730 "," 41,749 "," 42,986 "," 32,835 "," 45,301 ",," 47,398 "," 14,663 "," 16,999 "," 24,439 "," 27,428 "," 32,749 "," 39,332 "," 41,928 "," 32,233 "," 44,186 ",," 847,552 ",,90.0%,89.0%,94.3%,100%*,100%*,97.0%,98.4%,100%*,95.7%,,39.7%,48.7%,69.6%,91.4%,96.0%,100%*,93.3%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 43,809 "," 25,218 "," 29,939 "," 37,548 "," 40,459 "," 38,275 "," 36,008 "," 39,215 "," 28,874 "," 35,691 ",," 23,108 "," 7,792 "," 10,290 "," 18,018 "," 20,262 "," 27,710 "," 33,867 "," 38,467 "," 28,385 "," 34,917 ",," 597,852 ",,83.7%,80.2%,89.7%,95.5%,96.5%,93.3%,96.0%,100%*,97.6%,,43.1%,47.8%,69.8%,87.8%,94.2%,100%*,95.5%
,South West,,Devon," 105,838 "," 54,590 "," 63,012 "," 79,078 "," 83,901 "," 77,144 "," 71,692 "," 77,530 "," 58,793 "," 78,527 ",," 56,032 "," 17,281 "," 21,544 "," 37,348 "," 41,582 "," 49,386 "," 66,120 "," 75,608 "," 57,666 "," 76,085 ",," 1,248,757 ",,88.4%,85.0%,93.0%,98.1%,98.4%,95.1%,97.7%,100%*,98.7%,,43.9%,48.6%,63.0%,87.7%,95.2%,100%*,95.7%
,South West,,Dorset," 71,416 "," 36,696 "," 41,259 "," 49,509 "," 52,826 "," 49,423 "," 46,081 "," 51,463 "," 39,079 "," 56,283 ",," 31,687 "," 11,522 "," 14,990 "," 22,011 "," 26,838 "," 33,985 "," 43,334 "," 50,226 "," 38,262 "," 54,702 ",," 821,592 ",,86.3%,83.8%,90.6%,96.1%,99.3%,93.9%,97.5%,100%*,97.7%,,40.3%,48.8%,68.3%,88.3%,95.2%,100%*,95.0%
,South West,,Gloucestershire," 56,896 "," 31,842 "," 36,382 "," 43,253 "," 45,059 "," 39,444 "," 34,678 "," 35,914 "," 27,243 "," 36,849 ",," 26,126 "," 9,281 "," 11,970 "," 16,975 "," 22,261 "," 27,546 "," 33,165 "," 35,132 "," 26,723 "," 35,893 ",," 632,632 ",,86.5%,83.6%,90.2%,98.1%,100.0%,93.8%,97.6%,100%*,98.6%,,35.4%,48.5%,69.8%,89.7%,95.4%,100%*,96.0%
,South West,,Somerset," 49,028 "," 25,146 "," 30,179 "," 38,565 "," 40,604 "," 36,855 "," 34,656 "," 37,624 "," 28,091 "," 37,475 ",," 26,042 "," 8,287 "," 10,785 "," 19,910 "," 21,027 "," 27,399 "," 32,353 "," 36,800 "," 27,660 "," 36,700 ",," 605,186 ",,86.6%,82.9%,91.9%,97.3%,98.2%,92.4%,99.8%,100%*,97.9%,,47.4%,50.4%,73.0%,86.2%,97.7%,100%*,95.8%
