Region of Residence,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+
 London , South West London Health and Care Partnership ," 69,525 "," 87,143 "," 95,194 "," 96,475 "," 98,141 "," 92,228 "," 90,341 "," 83,538 "," 66,548 "," 52,479 "," 50,120 "," 34,904 "," 49,473 ",," 18,788 "," 24,883 "," 29,834 "," 35,707 "," 56,403 "," 67,678 "," 83,359 "," 77,489 "," 62,803 "," 50,567 "," 48,759 "," 33,956 "," 47,430 "
 Midlands , Birmingham and Solihull ," 58,465 "," 43,933 "," 53,380 "," 57,983 "," 59,209 "," 60,216 "," 66,163 "," 63,251 "," 54,582 "," 45,471 "," 43,807 "," 33,186 "," 47,292 ",," 18,675 "," 17,186 "," 23,088 "," 28,853 "," 40,306 "," 48,597 "," 60,433 "," 58,811 "," 51,840 "," 43,939 "," 42,845 "," 32,566 "," 46,079 "
 Midlands , Coventry and Warwickshire ," 50,848 "," 38,997 "," 47,989 "," 49,321 "," 50,020 "," 53,086 "," 60,386 "," 58,972 "," 50,397 "," 43,188 "," 44,123 "," 34,934 "," 45,535 ",," 14,334 "," 12,300 "," 16,127 "," 19,181 "," 34,344 "," 43,283 "," 57,055 "," 56,051 "," 48,762 "," 42,315 "," 43,491 "," 34,380 "," 44,401 "
 Midlands , Herefordshire and Worcestershire ," 36,694 "," 29,126 "," 35,443 "," 37,148 "," 39,309 "," 44,852 "," 54,604 "," 56,335 "," 50,210 "," 46,606 "," 49,133 "," 36,957 "," 47,599 ",," 11,694 "," 10,481 "," 13,246 "," 15,368 "," 23,370 "," 32,574 "," 52,052 "," 54,072 "," 48,764 "," 45,913 "," 48,572 "," 36,574 "," 46,989 "
 Midlands , Joined Up Care Derbyshire ," 56,047 "," 45,272 "," 49,807 "," 51,767 "," 52,702 "," 60,473 "," 72,055 "," 71,980 "," 62,220 "," 54,430 "," 56,315 "," 42,098 "," 52,597 ",," 17,061 "," 16,724 "," 21,039 "," 27,156 "," 42,097 "," 53,142 "," 69,211 "," 69,345 "," 60,628 "," 53,656 "," 55,735 "," 41,677 "," 51,881 "
 Midlands ," Leicester, Leicestershire and Rutland "," 67,112 "," 46,639 "," 53,510 "," 58,426 "," 59,678 "," 63,332 "," 71,451 "," 69,253 "," 61,395 "," 53,402 "," 53,262 "," 38,361 "," 50,173 ",," 20,995 "," 18,029 "," 23,072 "," 30,072 "," 40,956 "," 51,570 "," 67,439 "," 65,643 "," 59,284 "," 52,224 "," 52,473 "," 37,763 "," 48,387 "
 Midlands , Lincolnshire ," 40,784 "," 29,699 "," 33,489 "," 34,656 "," 35,794 "," 42,005 "," 50,945 "," 54,499 "," 49,311 "," 45,006 "," 48,570 "," 36,341 "," 45,157 ",," 11,597 "," 10,301 "," 12,616 "," 14,856 "," 26,318 "," 34,936 "," 48,771 "," 52,717 "," 47,844 "," 44,279 "," 48,065 "," 35,941 "," 44,556 "
 Midlands , Northamptonshire ," 35,045 "," 29,152 "," 36,260 "," 39,068 "," 41,468 "," 44,924 "," 50,767 "," 49,224 "," 40,935 "," 35,381 "," 36,687 "," 25,917 "," 31,519 ",," 9,559 "," 9,072 "," 11,943 "," 14,942 "," 23,441 "," 34,079 "," 48,047 "," 47,054 "," 39,432 "," 34,686 "," 36,216 "," 25,608 "," 30,986 "
 Midlands , Nottingham and Nottinghamshire Health and Care ," 63,552 "," 43,930 "," 49,972 "," 51,293 "," 51,335 "," 55,372 "," 64,604 "," 64,892 "," 55,560 "," 47,975 "," 49,051 "," 36,211 "," 47,584 ",," 18,940 "," 15,613 "," 18,754 "," 21,643 "," 30,937 "," 44,537 "," 61,608 "," 62,299 "," 53,752 "," 47,099 "," 48,354 "," 35,668 "," 46,482 "
 Midlands , Shropshire and Telford and Wrekin ," 23,350 "," 18,700 "," 22,308 "," 23,203 "," 23,695 "," 28,219 "," 34,689 "," 35,851 "," 31,614 "," 28,667 "," 29,567 "," 22,658 "," 28,255 ",," 8,095 "," 7,267 "," 9,106 "," 9,953 "," 14,061 "," 20,880 "," 33,334 "," 34,549 "," 30,706 "," 28,262 "," 29,245 "," 22,442 "," 27,819 "
 Midlands , Staffordshire and Stoke on Trent ," 55,908 "," 45,727 "," 55,705 "," 57,993 "," 57,429 "," 65,173 "," 78,421 "," 77,509 "," 68,548 "," 60,536 "," 63,174 "," 48,457 "," 59,635 ",," 18,046 "," 16,980 "," 21,846 "," 25,443 "," 38,132 "," 54,593 "," 74,937 "," 74,421 "," 66,690 "," 59,521 "," 62,377 "," 47,905 "," 58,808 "
 Midlands , The Black Country and West Birmingham ," 61,008 "," 52,115 "," 63,945 "," 69,316 "," 70,495 "," 74,306 "," 83,751 "," 78,399 "," 66,896 "," 57,269 "," 54,387 "," 42,774 "," 59,364 ",," 21,037 "," 20,507 "," 26,713 "," 32,608 "," 43,511 "," 55,746 "," 77,550 "," 73,864 "," 64,051 "," 55,638 "," 53,389 "," 41,999 "," 57,992 "
 North East and Yorkshire , Cumbria and North East ," 151,757 "," 121,962 "," 141,001 "," 150,273 "," 148,818 "," 162,751 "," 196,022 "," 208,906 "," 192,079 "," 166,756 "," 165,140 "," 113,139 "," 152,289 ",," 47,762 "," 45,517 "," 56,766 "," 65,999 "," 94,156 "," 123,799 "," 185,487 "," 200,551 "," 186,091 "," 163,877 "," 163,217 "," 111,936 "," 149,065 "
 North East and Yorkshire ," Humber, Coast and Vale "," 82,735 "," 67,210 "," 78,535 "," 81,641 "," 82,475 "," 94,874 "," 114,646 "," 121,587 "," 109,357 "," 96,788 "," 101,854 "," 71,766 "," 96,669 ",," 24,522 "," 22,635 "," 28,436 "," 33,467 "," 53,105 "," 74,512 "," 109,410 "," 117,508 "," 106,231 "," 95,255 "," 100,843 "," 71,058 "," 95,102 "
 North East and Yorkshire , South Yorkshire and Bassetlaw ," 88,639 "," 67,746 "," 75,834 "," 76,460 "," 74,698 "," 81,884 "," 98,687 "," 97,644 "," 85,765 "," 73,248 "," 73,681 "," 54,582 "," 70,469 ",," 26,385 "," 24,516 "," 34,330 "," 41,495 "," 57,059 "," 68,167 "," 93,384 "," 93,630 "," 83,117 "," 71,903 "," 72,847 "," 54,034 "," 69,119 "
 North East and Yorkshire , West Yorkshire and Harrogate (Health and Care Partnership) ," 124,500 "," 100,387 "," 118,223 "," 126,110 "," 125,815 "," 133,002 "," 149,240 "," 144,270 "," 126,221 "," 107,183 "," 107,573 "," 74,547 "," 100,582 ",," 40,133 "," 36,481 "," 49,185 "," 61,012 "," 78,693 "," 102,659 "," 140,028 "," 137,959 "," 121,840 "," 104,884 "," 106,177 "," 73,463 "," 97,723 "
 North West , Cheshire and Merseyside ," 123,002 "," 98,579 "," 116,072 "," 124,497 "," 124,225 "," 137,812 "," 164,391 "," 174,147 "," 153,698 "," 131,496 "," 131,669 "," 93,731 "," 127,181 ",," 42,669 "," 40,189 "," 50,484 "," 60,626 "," 77,877 "," 105,853 "," 154,752 "," 165,915 "," 148,520 "," 128,686 "," 129,560 "," 92,272 "," 124,059 "
 North West , Greater Manchester Health and Social Care Partnership ," 151,776 "," 127,322 "," 149,768 "," 157,804 "," 153,771 "," 157,867 "," 176,759 "," 170,901 "," 145,300 "," 121,819 "," 122,705 "," 87,074 "," 110,540 ",," 49,817 "," 47,686 "," 62,078 "," 73,808 "," 93,449 "," 115,404 "," 162,157 "," 160,187 "," 138,056 "," 117,988 "," 120,135 "," 85,233 "," 106,845 "
 North West , Healthier Lancashire and South Cumbria ," 92,958 "," 65,019 "," 76,801 "," 81,612 "," 82,716 "," 93,767 "," 113,474 "," 117,442 "," 104,364 "," 90,404 "," 94,839 "," 68,426 "," 88,070 ",," 32,909 "," 28,143 "," 36,093 "," 42,799 "," 56,790 "," 73,669 "," 106,706 "," 111,768 "," 101,019 "," 88,603 "," 93,633 "," 67,618 "," 85,972 "
 South East ," Buckinghamshire, Oxfordshire and Berkshire West "," 94,039 "," 79,229 "," 93,113 "," 101,276 "," 106,911 "," 109,678 "," 117,923 "," 114,319 "," 95,529 "," 79,311 "," 80,362 "," 60,713 "," 84,285 ",," 23,582 "," 22,468 "," 28,159 "," 34,534 "," 61,199 "," 76,691 "," 112,570 "," 110,329 "," 92,878 "," 77,904 "," 79,310 "," 59,975 "," 82,491 "
 South East , Frimley Health and Care ICS ," 41,328 "," 32,009 "," 40,698 "," 46,029 "," 48,891 "," 49,345 "," 50,682 "," 47,359 "," 38,755 "," 31,654 "," 30,985 "," 23,084 "," 32,449 ",," 9,959 "," 9,397 "," 13,836 "," 18,992 "," 36,743 "," 41,057 "," 48,205 "," 45,545 "," 37,496 "," 30,996 "," 30,449 "," 22,756 "," 31,516 "
 South East , Hampshire and the Isle of Wight ," 94,768 "," 76,919 "," 91,049 "," 95,185 "," 97,189 "," 104,208 "," 119,840 "," 123,313 "," 108,390 "," 93,497 "," 99,098 "," 74,463 "," 101,257 ",," 30,831 "," 28,610 "," 36,039 "," 40,217 "," 63,519 "," 85,882 "," 114,875 "," 119,402 "," 105,486 "," 92,048 "," 97,839 "," 73,642 "," 98,709 "
 South East , Kent and Medway ," 83,546 "," 69,221 "," 84,992 "," 93,094 "," 98,827 "," 106,153 "," 121,433 "," 121,787 "," 104,590 "," 91,159 "," 97,780 "," 71,263 "," 92,829 ",," 25,959 "," 24,875 "," 32,573 "," 39,397 "," 58,631 "," 77,309 "," 114,959 "," 116,084 "," 101,046 "," 89,312 "," 96,390 "," 70,347 "," 90,924 "
 South East , Surrey Heartlands Health and Care Partnership ," 53,879 "," 41,795 "," 50,803 "," 59,146 "," 66,796 "," 70,101 "," 72,453 "," 71,307 "," 58,531 "," 48,297 "," 49,948 "," 38,099 "," 57,004 ",," 13,330 "," 12,173 "," 15,670 "," 19,800 "," 41,873 "," 56,826 "," 69,592 "," 68,413 "," 56,587 "," 47,395 "," 49,303 "," 37,659 "," 55,983 "
 South East , Sussex and East Surrey Health and Care Partnership ," 83,964 "," 66,135 "," 79,377 "," 84,644 "," 90,087 "," 99,343 "," 114,278 "," 115,931 "," 101,371 "," 90,564 "," 98,457 "," 74,015 "," 104,656 ",," 24,815 "," 22,589 "," 28,451 "," 33,768 "," 54,109 "," 75,311 "," 109,023 "," 111,446 "," 98,209 "," 88,890 "," 97,150 "," 73,117 "," 102,821 "
 South West ," Bath and North East Somerset, Swindon and Wiltshire "," 48,312 "," 38,890 "," 46,805 "," 49,237 "," 51,023 "," 57,014 "," 64,131 "," 64,468 "," 55,399 "," 47,649 "," 48,866 "," 36,308 "," 49,505 ",," 13,222 "," 11,227 "," 14,083 "," 15,888 "," 24,370 "," 38,944 "," 61,476 "," 62,283 "," 53,880 "," 46,890 "," 48,402 "," 36,010 "," 48,835 "
 South West ," Bristol, North Somerset and South Gloucestershire "," 61,764 "," 52,462 "," 59,090 "," 58,252 "," 55,413 "," 54,570 "," 58,812 "," 58,215 "," 48,523 "," 41,871 "," 42,997 "," 32,788 "," 44,899 ",," 17,509 "," 16,015 "," 19,011 "," 21,919 "," 31,352 "," 41,082 "," 56,011 "," 55,827 "," 46,746 "," 41,116 "," 42,479 "," 32,475 "," 44,209 "
 South West , Cornwall and the Isles of Scilly Health and Social Care Partnership ," 28,886 "," 20,559 "," 24,341 "," 25,709 "," 27,310 "," 31,339 "," 38,327 "," 41,281 "," 38,906 "," 36,122 "," 39,209 "," 28,835 "," 35,377 ",," 7,629 "," 6,957 "," 8,605 "," 10,031 "," 16,515 "," 23,211 "," 36,628 "," 39,519 "," 37,626 "," 35,554 "," 38,742 "," 28,489 "," 34,831 "
 South West , Devon ," 66,384 "," 47,168 "," 54,580 "," 56,722 "," 57,759 "," 65,079 "," 80,026 "," 84,965 "," 78,718 "," 71,938 "," 77,559 "," 58,696 "," 77,780 ",," 19,421 "," 16,508 "," 19,868 "," 21,951 "," 34,421 "," 49,093 "," 76,616 "," 81,869 "," 75,629 "," 70,677 "," 76,655 "," 58,082 "," 76,022 "
 South West , Dorset ," 37,226 "," 28,383 "," 33,476 "," 36,277 "," 38,528 "," 42,381 "," 50,165 "," 53,673 "," 50,052 "," 46,285 "," 51,469 "," 39,020 "," 55,756 ",," 11,257 "," 10,400 "," 14,518 "," 18,428 "," 29,651 "," 37,267 "," 48,045 "," 51,472 "," 48,613 "," 45,515 "," 50,853 "," 38,598 "," 54,711 "
 South West , Gloucestershire ," 34,287 "," 27,396 "," 31,533 "," 33,241 "," 33,802 "," 37,343 "," 43,766 "," 45,523 "," 39,762 "," 34,764 "," 35,902 "," 27,196 "," 36,530 ",," 8,818 "," 7,882 "," 10,500 "," 12,064 "," 21,582 "," 31,204 "," 41,988 "," 44,071 "," 38,759 "," 34,283 "," 35,544 "," 26,897 "," 35,875 "
 South West , Somerset ," 28,309 "," 22,271 "," 25,803 "," 26,316 "," 27,026 "," 31,478 "," 39,195 "," 41,340 "," 37,346 "," 34,821 "," 37,659 "," 28,046 "," 37,136 ",," 9,095 "," 8,382 "," 10,689 "," 11,465 "," 16,216 "," 22,655 "," 37,577 "," 39,732 "," 36,284 "," 34,173 "," 37,135 "," 27,790 "," 36,696 "
