,Region of Residence,,ICS/STP of Residence,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,60-64,65-69,70-74,75-79,80+
,London,,South West London Health and Care Partnership," 129,515 "," 82,644 "," 85,421 "," 87,312 "," 80,749 "," 64,905 "," 52,002 "," 49,888 "," 34,792 "," 49,741 ",," 56,367 "," 19,888 "," 22,701 "," 30,324 "," 35,641 "," 38,137 "," 45,793 "," 47,065 "," 32,958 "," 46,288 ",," 1,092,131 ",,70.9%,80.6%,86.6%,91.6%,94.3%,91.8%,96.8%,97.7%,90.0%,,55.4%,80.9%,91.4%,92.5%,83.7%
,Midlands,,Birmingham and Solihull," 100,813 "," 50,796 "," 55,160 "," 63,824 "," 61,315 "," 53,584 "," 45,130 "," 43,717 "," 33,200 "," 47,664 ",," 41,138 "," 14,218 "," 16,555 "," 21,905 "," 25,635 "," 30,635 "," 39,280 "," 41,494 "," 31,784 "," 45,130 ",," 862,977 ",,74.7%,77.7%,88.3%,92.7%,98.6%,94.6%,97.7%,99.4%,90.5%,,56.4%,82.3%,92.7%,95.2%,85.7%
,Midlands,,Coventry and Warwickshire," 76,404 "," 44,657 "," 49,992 "," 59,070 "," 57,374 "," 49,628 "," 43,034 "," 44,109 "," 34,944 "," 45,943 ",," 35,395 "," 12,443 "," 15,457 "," 21,062 "," 23,957 "," 27,289 "," 39,719 "," 42,641 "," 33,911 "," 43,931 ",," 800,960 ",,82.9%,83.5%,94.7%,98.4%,100%*,96.8%,97.1%,100%*,97.2%,,55.9%,89.3%,93.9%,100%*,93.0%
,Midlands,,Herefordshire and Worcestershire," 63,735 "," 32,388 "," 41,986 "," 53,572 "," 55,347 "," 49,588 "," 46,447 "," 49,154 "," 37,028 "," 48,097 ",," 27,471 "," 9,494 "," 12,128 "," 17,311 "," 21,750 "," 25,080 "," 42,578 "," 47,651 "," 36,180 "," 46,915 ",," 763,900 ",,73.7%,80.1%,91.0%,98.6%,98.9%,94.3%,98.7%,100%*,97.4%,,50.0%,86.4%,95.6%,100%*,95.0%
,Midlands,,Joined Up Care Derbyshire," 98,359 "," 49,188 "," 58,324 "," 70,982 "," 70,626 "," 61,509 "," 54,287 "," 56,356 "," 42,200 "," 53,247 ",," 36,942 "," 12,216 "," 15,397 "," 22,447 "," 25,928 "," 32,334 "," 48,657 "," 54,731 "," 41,209 "," 51,693 ",," 956,632 ",,85.0%,82.4%,90.0%,97.6%,99.1%,95.1%,97.5%,100%*,95.8%,,52.1%,85.3%,94.7%,100%*,93.0%
,Midlands,,"Leicester, Leicestershire and Rutland"," 97,955 "," 50,758 "," 58,697 "," 69,750 "," 67,380 "," 60,517 "," 53,097 "," 53,219 "," 38,399 "," 50,648 ",," 38,695 "," 12,894 "," 15,584 "," 20,832 "," 24,116 "," 31,655 "," 47,237 "," 51,129 "," 37,033 "," 47,837 ",," 927,432 ",,80.5%,82.9%,93.1%,95.3%,100%*,95.7%,99.9%,100%*,95.9%,,52.7%,85.1%,96.0%,100%*,90.6%
,Midlands,,Lincolnshire," 59,826 "," 32,890 "," 40,378 "," 50,027 "," 53,672 "," 48,449 "," 44,729 "," 48,556 "," 36,470 "," 45,637 ",," 25,099 "," 7,596 "," 10,179 "," 14,181 "," 17,405 "," 20,915 "," 39,127 "," 46,900 "," 35,424 "," 44,327 ",," 721,787 ",,83.3%,82.3%,91.4%,96.8%,98.1%,92.8%,96.7%,100%*,98.1%,,42.3%,81.2%,93.4%,100%*,95.3%
,Midlands,,Northamptonshire," 52,000 "," 34,113 "," 41,788 "," 49,670 "," 48,266 "," 40,218 "," 35,238 "," 36,673 "," 25,978 "," 31,843 ",," 23,677 "," 8,669 "," 10,647 "," 14,706 "," 17,310 "," 19,189 "," 30,201 "," 35,234 "," 25,235 "," 30,707 ",," 611,362 ",,73.8%,80.3%,91.3%,97.6%,98.4%,93.3%,97.2%,100%*,97.3%,,46.9%,80.0%,93.4%,100%*,93.8%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 81,339 "," 44,031 "," 51,826 "," 63,310 "," 63,620 "," 54,685 "," 47,815 "," 48,977 "," 36,203 "," 47,958 ",," 45,028 "," 14,227 "," 17,221 "," 22,316 "," 25,305 "," 26,780 "," 43,331 "," 46,480 "," 34,779 "," 45,322 ",," 860,553 ",,74.7%,78.1%,89.2%,94.8%,97.3%,93.1%,98.0%,100%*,96.4%,,47.7%,84.4%,93.0%,99.6%,91.1%
,Midlands,,Shropshire and Telford and Wrekin," 37,152 "," 21,289 "," 26,872 "," 34,227 "," 35,163 "," 31,167 "," 28,578 "," 29,572 "," 22,704 "," 28,523 ",," 18,427 "," 5,793 "," 7,984 "," 11,280 "," 12,624 "," 15,906 "," 26,348 "," 28,805 "," 22,200 "," 27,643 ",," 472,257 ",,76.4%,79.3%,90.1%,95.8%,98.2%,94.3%,97.8%,100%*,99.6%,,50.1%,86.9%,95.3%,100%*,96.5%
,Midlands,,Staffordshire and Stoke on Trent," 96,702 "," 50,101 "," 61,705 "," 77,040 "," 75,960 "," 67,831 "," 60,322 "," 63,139 "," 48,568 "," 60,241 ",," 42,266 "," 14,000 "," 18,131 "," 24,694 "," 28,808 "," 34,927 "," 55,214 "," 61,159 "," 47,311 "," 58,451 ",," 1,046,570 ",,79.6%,80.2%,92.2%,96.1%,99.5%,94.9%,97.3%,100%*,99.0%,,51.2%,86.9%,94.2%,100%*,96.1%
,Midlands,,The Black Country and West Birmingham," 118,708 "," 59,776 "," 68,098 "," 81,379 "," 76,562 "," 65,843 "," 56,924 "," 54,332 "," 42,813 "," 59,872 ",," 46,297 "," 16,172 "," 19,857 "," 25,759 "," 27,730 "," 31,415 "," 49,388 "," 51,564 "," 41,051 "," 56,769 ",," 1,050,309 ",,73.3%,75.7%,89.5%,92.2%,97.0%,94.5%,97.1%,95.1%,93.2%,,46.3%,82.0%,92.1%,91.2%,88.3%
,North East and Yorkshire,,Cumbria and North East," 251,596 "," 132,272 "," 153,490 "," 192,452 "," 205,726 "," 189,770 "," 166,227 "," 165,151 "," 113,479 "," 153,979 ",," 112,997 "," 35,133 "," 42,728 "," 61,160 "," 74,778 "," 82,701 "," 134,192 "," 159,233 "," 110,772 "," 148,756 ",," 2,686,592 ",,82.1%,81.1%,90.7%,96.5%,99.2%,97.7%,100%*,100%*,95.6%,,43.2%,78.8%,96.5%,99.4%,92.3%
,North East and Yorkshire,,"Humber, Coast and Vale"," 126,899 "," 73,732 "," 90,405 "," 112,720 "," 119,932 "," 107,792 "," 96,417 "," 101,861 "," 71,883 "," 97,670 ",," 61,076 "," 19,043 "," 24,949 "," 35,183 "," 43,545 "," 51,600 "," 80,040 "," 98,704 "," 70,179 "," 94,714 ",," 1,578,344 ",,80.5%,81.4%,90.9%,96.6%,99.4%,95.4%,99.3%,100%*,96.7%,,47.6%,79.2%,96.2%,100%*,93.7%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 148,162 "," 68,723 "," 78,148 "," 96,695 "," 96,152 "," 84,768 "," 72,941 "," 73,687 "," 54,745 "," 71,168 ",," 60,417 "," 18,182 "," 22,602 "," 32,728 "," 36,715 "," 40,749 "," 63,598 "," 70,908 "," 53,122 "," 68,639 ",," 1,312,849 ",,82.1%,79.4%,91.2%,96.3%,98.4%,95.8%,97.2%,100%*,94.7%,,47.3%,83.6%,93.5%,99.1%,91.3%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 207,574 "," 108,453 "," 123,691 "," 145,575 "," 141,604 "," 124,425 "," 106,552 "," 107,487 "," 74,685 "," 101,561 ",," 92,753 "," 30,515 "," 37,068 "," 55,592 "," 60,971 "," 70,999 "," 95,693 "," 103,535 "," 72,367 "," 96,756 ",," 1,957,856 ",,77.3%,79.3%,91.7%,95.6%,98.1%,94.4%,99.1%,100%*,94.8%,,56.0%,84.8%,95.5%,97.8%,90.3%
,North West,,Cheshire and Merseyside," 222,908 "," 106,839 "," 128,971 "," 160,853 "," 171,204 "," 152,007 "," 130,992 "," 131,630 "," 93,929 "," 128,399 ",," 103,517 "," 34,197 "," 42,515 "," 60,596 "," 74,072 "," 82,524 "," 114,721 "," 126,371 "," 90,793 "," 122,683 ",," 2,279,721 ",,76.6%,79.1%,90.8%,96.8%,100%*,95.7%,99.1%,100%*,94.9%,,54.5%,83.8%,95.1%,97.0%,90.7%
,North West,,Greater Manchester Health and Social Care Partnership," 263,676 "," 128,492 "," 143,682 "," 171,173 "," 167,094 "," 142,481 "," 120,932 "," 122,521 "," 87,179 "," 111,683 ",," 116,932 "," 39,649 "," 47,983 "," 65,861 "," 76,797 "," 79,397 "," 105,310 "," 116,550 "," 83,574 "," 105,259 ",," 2,296,225 ",,75.3%,78.0%,88.7%,95.0%,98.2%,94.6%,98.5%,100%*,94.5%,,54.7%,82.3%,93.7%,96.2%,89.0%
,North West,,Healthier Lancashire and South Cumbria," 156,753 "," 72,609 "," 87,607 "," 110,765 "," 114,841 "," 103,000 "," 89,934 "," 94,796 "," 68,549 "," 89,015 ",," 64,716 "," 21,015 "," 27,177 "," 39,891 "," 46,861 "," 54,008 "," 80,213 "," 91,608 "," 66,804 "," 85,728 ",," 1,565,890 ",,78.9%,78.6%,90.3%,96.2%,99.7%,95.1%,97.4%,100%*,96.2%,,52.3%,84.8%,94.1%,99.4%,92.7%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 122,811 "," 89,725 "," 102,399 "," 115,793 "," 112,760 "," 94,397 "," 78,877 "," 80,240 "," 60,780 "," 85,040 ",," 54,699 "," 18,643 "," 22,594 "," 29,634 "," 36,001 "," 40,921 "," 67,466 "," 77,480 "," 59,195 "," 81,874 ",," 1,431,329 ",,80.1%,85.6%,94.2%,99.6%,100%*,97.6%,98.5%,100%*,96.2%,,43.9%,83.5%,95.1%,100%*,92.6%
,South East,,Frimley Health and Care ICS," 59,387 "," 43,800 "," 46,861 "," 49,624 "," 46,664 "," 38,304 "," 31,524 "," 30,936 "," 23,094 "," 32,678 ",," 23,156 "," 8,661 "," 10,302 "," 12,579 "," 14,516 "," 17,868 "," 28,621 "," 29,655 "," 22,382 "," 31,236 ",," 601,848 ",,81.3%,85.1%,92.0%,98.0%,100%*,98.8%,98.3%,100%*,95.8%,,47.2%,89.7%,94.3%,99.6%,91.6%
,South East,,Hampshire and the Isle of Wight," 157,975 "," 86,042 "," 99,432 "," 118,020 "," 121,945 "," 107,265 "," 93,255 "," 99,064 "," 74,636 "," 102,216 ",," 68,811 "," 21,309 "," 25,888 "," 33,852 "," 42,326 "," 49,767 "," 83,033 "," 95,789 "," 72,654 "," 98,345 ",," 1,651,624 ",,82.8%,83.8%,92.1%,97.8%,100%*,96.4%,96.6%,100%*,96.1%,,46.4%,85.9%,93.4%,100%*,92.4%
,South East,,Kent and Medway," 134,973 "," 85,697 "," 98,676 "," 119,016 "," 119,072 "," 103,041 "," 90,764 "," 97,766 "," 71,389 "," 93,639 ",," 64,532 "," 22,697 "," 27,542 "," 37,580 "," 43,211 "," 53,037 "," 77,660 "," 93,925 "," 69,280 "," 89,807 ",," 1,593,304 ",,77.6%,79.2%,88.5%,95.9%,97.3%,94.2%,96.4%,100%*,95.6%,,50.1%,80.6%,92.6%,100%*,91.7%
,South East,,Surrey Heartlands Health and Care Partnership," 73,785 "," 56,953 "," 66,324 "," 71,320 "," 69,833 "," 57,643 "," 48,051 "," 49,875 "," 38,087 "," 57,511 ",," 32,300 "," 12,495 "," 15,420 "," 20,969 "," 24,744 "," 30,626 "," 44,003 "," 48,189 "," 37,003 "," 55,468 ",," 910,599 ",,77.5%,87.3%,91.9%,97.0%,99.5%,95.8%,96.2%,100%*,94.8%,,52.9%,87.7%,92.9%,99.9%,91.5%
,South East,,Sussex and East Surrey Health and Care Partnership," 128,011 "," 78,560 "," 93,631 "," 112,330 "," 114,096 "," 99,919 "," 90,042 "," 98,286 "," 74,071 "," 105,596 ",," 64,246 "," 22,716 "," 28,897 "," 41,162 "," 45,512 "," 54,421 "," 78,539 "," 94,959 "," 71,932 "," 101,637 ",," 1,598,563 ",,78.5%,81.4%,89.8%,96.9%,98.0%,94.3%,96.0%,100%*,94.4%,,53.4%,82.2%,92.7%,100%*,90.9%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 60,552 "," 39,103 "," 51,993 "," 63,034 "," 63,432 "," 54,598 "," 47,411 "," 48,833 "," 36,384 "," 49,949 ",," 33,078 "," 10,852 "," 14,361 "," 19,068 "," 22,250 "," 27,443 "," 42,338 "," 47,623 "," 35,669 "," 48,659 ",," 816,630 ",,72.2%,80.5%,93.2%,99.1%,100%*,97.3%,99.7%,100%*,99.3%,,51.4%,86.9%,97.2%,100%*,96.7%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 83,758 "," 46,417 "," 51,303 "," 57,744 "," 57,217 "," 47,633 "," 41,711 "," 42,968 "," 32,832 "," 45,370 ",," 39,383 "," 11,584 "," 13,429 "," 16,909 "," 20,604 "," 23,859 "," 37,722 "," 41,512 "," 32,073 "," 43,994 ",," 788,022 ",,81.6%,87.0%,93.9%,100%*,100%*,96.9%,98.4%,100%*,95.8%,,50.7%,87.6%,95.0%,100%*,92.9%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 38,917 "," 24,137 "," 29,413 "," 37,439 "," 40,289 "," 38,181 "," 35,973 "," 39,206 "," 28,879 "," 35,745 ",," 19,977 "," 6,694 "," 8,840 "," 12,946 "," 15,404 "," 20,308 "," 32,165 "," 38,202 "," 28,275 "," 34,825 ",," 565,815 ",,80.1%,78.8%,89.5%,95.1%,96.2%,93.2%,96.0%,100%*,97.7%,,51.2%,83.4%,93.5%,100%*,95.2%
,South West,,Devon," 89,137 "," 51,875 "," 61,820 "," 78,816 "," 83,667 "," 76,894 "," 71,596 "," 77,510 "," 58,788 "," 78,642 ",," 48,104 "," 14,626 "," 18,225 "," 25,340 "," 30,070 "," 33,901 "," 58,014 "," 74,847 "," 57,344 "," 75,753 ",," 1,164,969 ",,84.0%,83.4%,92.7%,97.8%,98.1%,94.9%,97.6%,100%*,98.9%,,43.3%,76.9%,94.3%,100%*,95.3%
,South West,,Dorset," 60,421 "," 35,326 "," 40,818 "," 49,334 "," 52,574 "," 49,283 "," 46,022 "," 51,434 "," 39,086 "," 56,345 ",," 27,797 "," 9,472 "," 11,816 "," 16,197 "," 20,586 "," 23,422 "," 40,487 "," 49,907 "," 38,120 "," 54,511 ",," 772,958 ",,83.0%,82.9%,90.3%,95.6%,99.0%,93.8%,97.5%,100%*,97.9%,,47.0%,82.5%,94.6%,100%*,94.7%
,South West,,Gloucestershire," 45,308 "," 29,715 "," 35,877 "," 43,155 "," 44,974 "," 39,353 "," 34,649 "," 35,902 "," 27,229 "," 36,903 ",," 22,558 "," 7,330 "," 9,419 "," 13,202 "," 16,293 "," 19,134 "," 32,300 "," 34,807 "," 26,605 "," 35,813 ",," 590,526 ",,80.7%,82.5%,90.0%,97.9%,99.7%,93.7%,97.5%,100%*,98.7%,,48.5%,87.3%,94.5%,100%*,95.8%
,South West,,Somerset," 42,903 "," 23,833 "," 29,597 "," 38,413 "," 40,411 "," 36,726 "," 34,635 "," 37,625 "," 28,090 "," 37,533 ",," 22,794 "," 7,282 "," 9,530 "," 14,490 "," 16,985 "," 20,892 "," 30,424 "," 36,557 "," 27,561 "," 36,593 ",," 572,874 ",,82.0%,81.3%,91.5%,96.9%,97.8%,92.3%,99.8%,100%*,98.0%,,55.6%,81.1%,97.0%,100%*,95.6%
