,Region of Residence,,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,London,,South West London Health and Care Partnership," 31,987 "," 56,298 "," 85,519 "," 91,326 "," 95,518 "," 90,456 "," 89,390 "," 82,866 "," 66,151 "," 52,370 "," 50,047 "," 34,882 "," 49,639 ",," 15,784 "," 21,196 "," 23,914 "," 26,327 "," 33,060 "," 41,326 "," 74,641 "," 73,103 "," 60,969 "," 49,916 "," 48,398 "," 33,759 "," 47,349 ",," 1,426,191 ",,49.3%,66.1%,69.1%,82.0%,85.4%,88.7%,94.0%,96.1%,92.5%,97.2%,97.9%,89.8%,,74.0%,82.9%,88.6%,88.1%,94.0%,94.8%,85.6%
,Midlands,,Birmingham and Solihull," 28,578 "," 30,661 "," 47,807 "," 53,975 "," 57,053 "," 58,806 "," 65,455 "," 62,869 "," 54,332 "," 45,372 "," 43,780 "," 33,190 "," 47,462 ",," 15,404 "," 14,045 "," 18,067 "," 21,698 "," 27,564 "," 37,342 "," 55,347 "," 56,014 "," 50,392 "," 43,343 "," 42,607 "," 32,438 "," 45,947 ",," 1,089,548 ",,33.3%,59.7%,71.2%,83.9%,82.9%,90.6%,95.1%,100.0%,95.1%,97.8%,99.4%,90.1%,,76.6%,84.7%,92.7%,90.8%,95.2%,97.1%,87.2%
,Midlands,,Coventry and Warwickshire," 20,359 "," 21,506 "," 41,494 "," 46,409 "," 48,949 "," 52,320 "," 60,024 "," 58,694 "," 50,290 "," 43,148 "," 44,124 "," 34,935 "," 45,726 ",," 12,388 "," 10,824 "," 13,743 "," 15,567 "," 22,316 "," 32,115 "," 52,336 "," 53,792 "," 47,863 "," 42,029 "," 43,332 "," 34,285 "," 44,356 ",," 992,924 ",,28.7%,63.8%,78.0%,90.9%,87.4%,96.2%,100%*,100%*,97.0%,97.1%,100%*,96.8%,,83.9%,92.3%,98.1%,94.5%,95.4%,100%*,93.9%
,Midlands,,Herefordshire and Worcestershire," 16,263 "," 17,484 "," 30,418 "," 34,647 "," 38,275 "," 44,277 "," 54,280 "," 56,136 "," 50,085 "," 46,563 "," 49,162 "," 36,988 "," 47,802 ",," 10,163 "," 9,284 "," 11,584 "," 13,342 "," 16,668 "," 25,017 "," 48,551 "," 51,270 "," 47,860 "," 45,555 "," 48,471 "," 36,524 "," 47,084 ",," 933,753 ",,39.2%,68.3%,75.9%,87.1%,84.5%,92.2%,100%*,99.9%,94.5%,98.7%,100%*,96.8%,,82.5%,91.4%,95.5%,92.5%,97.3%,100%*,95.4%
,Midlands,,Joined Up Care Derbyshire," 31,771 "," 34,983 "," 45,897 "," 49,569 "," 51,695 "," 59,751 "," 71,681 "," 71,669 "," 62,101 "," 54,400 "," 56,344 "," 42,136 "," 52,859 ",," 14,542 "," 14,625 "," 17,188 "," 19,354 "," 31,665 "," 44,178 "," 65,498 "," 66,713 "," 59,632 "," 53,264 "," 55,584 "," 41,630 "," 51,948 ",," 1,220,677 ",,54.7%,73.0%,81.1%,89.4%,84.4%,90.9%,99.0%,100%*,95.3%,97.5%,100%*,95.1%,,83.0%,92.1%,96.1%,93.3%,96.2%,100%*,93.5%
,Midlands,,"Leicester, Leicestershire and Rutland"," 38,394 "," 31,796 "," 45,966 "," 54,391 "," 58,231 "," 62,396 "," 71,024 "," 68,967 "," 61,224 "," 53,334 "," 53,258 "," 38,377 "," 50,351 ",," 17,135 "," 15,273 "," 18,384 "," 22,262 "," 27,750 "," 39,048 "," 60,373 "," 62,615 "," 57,963 "," 51,753 "," 52,261 "," 37,626 "," 48,317 ",," 1,198,469 ",,41.5%,67.0%,79.3%,92.3%,88.1%,94.8%,97.6%,100%*,96.1%,100.0%,100%*,95.4%,,80.6%,88.6%,96.6%,93.3%,98.1%,100%*,91.5%
,Midlands,,Lincolnshire," 15,273 "," 18,519 "," 30,252 "," 32,983 "," 35,151 "," 41,545 "," 50,822 "," 54,281 "," 49,169 "," 44,924 "," 48,577 "," 36,393 "," 45,362 ",," 10,193 "," 9,246 "," 10,829 "," 12,280 "," 15,843 "," 24,367 "," 44,974 "," 49,984 "," 46,829 "," 43,915 "," 47,895 "," 35,877 "," 44,618 ",," 900,101 ",,44.0%,70.8%,77.9%,89.0%,84.6%,92.9%,97.9%,99.5%,93.2%,96.8%,100%*,97.5%,,82.2%,90.2%,94.8%,91.1%,95.4%,100%*,95.9%
,Midlands,,Northamptonshire," 16,062 "," 17,809 "," 30,964 "," 36,112 "," 40,427 "," 44,215 "," 50,486 "," 48,977 "," 40,854 "," 35,326 "," 36,684 "," 25,949 "," 31,660 ",," 8,310 "," 8,017 "," 10,131 "," 11,824 "," 14,736 "," 20,620 "," 41,904 "," 44,331 "," 38,544 "," 34,339 "," 36,092 "," 25,583 "," 31,018 ",," 780,974 ",,41.3%,65.3%,72.6%,87.4%,85.0%,92.8%,99.0%,99.9%,93.6%,97.3%,100%*,96.7%,,77.0%,89.6%,94.3%,91.0%,95.7%,100%*,94.8%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 24,618 "," 29,049 "," 45,667 "," 49,060 "," 50,294 "," 54,655 "," 64,185 "," 64,596 "," 55,374 "," 47,936 "," 49,035 "," 36,217 "," 47,755 ",," 17,289 "," 14,606 "," 17,284 "," 19,774 "," 25,381 "," 31,961 "," 59,078 "," 60,463 "," 52,911 "," 46,809 "," 48,160 "," 35,520 "," 46,284 ",," 1,093,961 ",,37.5%,68.3%,76.5%,85.4%,82.4%,90.5%,96.3%,98.5%,93.3%,98.1%,100%*,96.0%,,83.3%,90.1%,94.1%,91.1%,96.3%,100%*,93.0%
,Midlands,,Shropshire and Telford and Wrekin," 10,840 "," 11,329 "," 18,443 "," 21,201 "," 23,175 "," 27,805 "," 34,515 "," 35,721 "," 31,552 "," 28,654 "," 29,587 "," 22,669 "," 28,363 ",," 6,984 "," 6,490 "," 7,887 "," 8,603 "," 9,838 "," 13,716 "," 31,678 "," 33,769 "," 30,419 "," 28,125 "," 29,217 "," 22,415 "," 27,855 ",," 580,850 ",,40.3%,62.6%,72.5%,83.1%,82.1%,90.9%,97.3%,99.4%,94.5%,97.9%,100%*,99.0%,,83.4%,92.0%,95.9%,92.8%,96.7%,100%*,97.3%
,Midlands,,Staffordshire and Stoke on Trent," 25,611 "," 27,321 "," 49,590 "," 54,676 "," 55,952 "," 64,217 "," 77,889 "," 77,234 "," 68,430 "," 60,488 "," 63,202 "," 48,511 "," 59,874 ",," 15,582 "," 14,889 "," 18,779 "," 21,262 "," 26,183 "," 42,119 "," 70,013 "," 71,686 "," 65,676 "," 59,115 "," 62,209 "," 47,821 "," 58,835 ",," 1,307,164 ",,37.7%,70.7%,80.1%,88.8%,83.5%,93.2%,97.7%,100%*,95.2%,97.4%,100%*,98.4%,,83.8%,90.7%,96.3%,93.0%,95.9%,100%*,96.7%
,Midlands,,The Black Country and West Birmingham," 30,216 "," 34,817 "," 56,392 "," 64,273 "," 68,184 "," 72,748 "," 82,978 "," 77,941 "," 66,668 "," 57,196 "," 54,393 "," 42,805 "," 59,572 ",," 17,411 "," 17,403 "," 22,180 "," 26,366 "," 30,238 "," 39,776 "," 70,360 "," 69,816 "," 62,373 "," 54,920 "," 53,085 "," 41,843 "," 57,798 ",," 1,331,752 ",,35.3%,57.2%,68.7%,83.6%,80.9%,91.2%,93.9%,98.2%,95.0%,97.2%,95.1%,92.7%,,77.4%,84.1%,91.9%,91.2%,94.9%,92.9%,89.9%
,North East and Yorkshire,,Cumbria and North East," 70,854 "," 75,834 "," 125,131 "," 141,900 "," 145,518 "," 160,484 "," 194,870 "," 208,048 "," 191,693 "," 166,626 "," 165,164 "," 113,289 "," 152,978 ",," 40,254 "," 39,937 "," 47,897 "," 53,421 "," 61,298 "," 78,950 "," 161,197 "," 179,880 "," 178,866 "," 162,089 "," 162,654 "," 111,805 "," 149,297 ",," 3,339,934 ",,38.3%,67.3%,79.5%,90.3%,84.8%,91.9%,97.6%,100%*,97.9%,100%*,100%*,95.0%,,76.0%,84.4%,93.5%,95.2%,98.6%,100%*,92.7%
,North East and Yorkshire,,"Humber, Coast and Vale"," 35,705 "," 41,748 "," 70,031 "," 77,018 "," 80,733 "," 93,776 "," 114,070 "," 121,187 "," 109,099 "," 96,692 "," 101,860 "," 71,816 "," 97,085 ",," 21,230 "," 19,887 "," 24,201 "," 26,841 "," 36,903 "," 52,479 "," 98,620 "," 109,805 "," 103,618 "," 94,327 "," 100,541 "," 70,945 "," 95,270 ",," 1,965,487 ",,40.3%,69.1%,79.8%,88.2%,84.4%,92.0%,97.6%,100%*,95.7%,99.3%,100%*,96.1%,,79.5%,88.4%,95.5%,93.3%,98.0%,100%*,94.3%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 46,736 "," 51,620 "," 70,506 "," 73,436 "," 73,301 "," 80,889 "," 98,070 "," 97,274 "," 85,566 "," 73,182 "," 73,691 "," 54,667 "," 70,753 ",," 21,932 "," 20,533 "," 23,958 "," 27,257 "," 39,517 "," 51,415 "," 84,246 "," 83,864 "," 80,126 "," 71,041 "," 72,565 "," 53,936 "," 69,177 ",," 1,649,258 ",,45.7%,70.0%,78.2%,87.5%,82.2%,92.5%,97.4%,99.4%,96.2%,97.2%,100%*,94.1%,,79.5%,84.0%,93.1%,93.3%,95.7%,100%*,92.0%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 62,177 "," 68,962 "," 108,010 "," 120,019 "," 122,812 "," 130,881 "," 148,125 "," 143,600 "," 125,921 "," 107,046 "," 107,586 "," 74,630 "," 101,010 ",," 33,341 "," 30,629 "," 37,942 "," 45,453 "," 53,925 "," 73,155 "," 127,473 "," 131,070 "," 118,918 "," 103,759 "," 105,748 "," 73,326 "," 97,709 ",," 2,453,227 ",,41.5%,68.3%,76.3%,87.6%,84.0%,93.3%,96.9%,99.3%,94.8%,99.2%,100%*,94.3%,,80.3%,88.4%,93.7%,91.9%,97.5%,99.1%,91.2%
,North West,,Cheshire and Merseyside," 58,865 "," 64,930 "," 102,408 "," 116,765 "," 120,952 "," 135,446 "," 163,104 "," 173,250 "," 153,263 "," 131,362 "," 131,680 "," 93,802 "," 127,682 ",," 35,710 "," 34,099 "," 41,334 "," 47,671 "," 54,495 "," 70,710 "," 135,419 "," 151,011 "," 144,009 "," 127,182 "," 129,017 "," 92,022 "," 124,009 ",," 2,760,197 ",,39.8%,64.9%,76.8%,86.7%,83.1%,92.1%,97.9%,100%*,96.0%,99.1%,100%*,94.3%,,76.5%,85.4%,95.1%,92.9%,97.1%,98.3%,91.6%
,North West,,Greater Manchester Health and Social Care Partnership," 92,734 "," 93,500 "," 135,174 "," 148,983 "," 148,925 "," 154,551 "," 175,148 "," 169,820 "," 144,766 "," 121,570 "," 122,672 "," 87,137 "," 111,033 ",," 38,105 "," 38,426 "," 47,685 "," 55,534 "," 62,725 "," 78,413 "," 145,583 "," 148,585 "," 133,570 "," 116,207 "," 119,460 "," 84,873 "," 106,664 ",," 2,881,843 ",,42.7%,63.9%,75.5%,87.3%,83.9%,90.8%,96.6%,99.7%,95.1%,98.6%,100%*,93.9%,,75.4%,84.5%,92.0%,90.9%,96.0%,97.7%,90.2%
,North West,,Healthier Lancashire and South Cumbria," 57,555 "," 49,060 "," 70,013 "," 77,479 "," 80,829 "," 92,379 "," 112,684 "," 116,919 "," 104,109 "," 90,292 "," 94,851 "," 68,497 "," 88,480 ",," 25,142 "," 22,551 "," 28,349 "," 32,666 "," 39,020 "," 51,731 "," 95,413 "," 103,174 "," 98,495 "," 87,685 "," 93,310 "," 67,488 "," 86,121 ",," 1,934,292 ",,47.1%,70.2%,78.8%,87.8%,82.9%,91.9%,97.9%,100%*,95.5%,97.4%,100%*,95.7%,,77.8%,86.4%,95.4%,92.7%,95.8%,100%*,93.1%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 34,207 "," 41,248 "," 81,698 "," 95,350 "," 104,441 "," 108,081 "," 117,189 "," 113,848 "," 95,310 "," 79,177 "," 80,318 "," 60,738 "," 84,594 ",," 20,223 "," 19,804 "," 23,867 "," 27,713 "," 35,768 "," 47,038 "," 100,898 "," 103,278 "," 90,733 "," 77,097 "," 79,035 "," 59,820 "," 82,457 ",," 1,863,930 ",,40.1%,79.1%,83.8%,93.2%,90.4%,95.3%,100%*,100%*,98.0%,98.6%,100%*,95.7%,,82.1%,91.2%,97.3%,95.4%,97.0%,100%*,93.3%
,South East,,Frimley Health and Care ICS," 20,222 "," 22,000 "," 36,109 "," 43,801 "," 47,769 "," 48,695 "," 50,304 "," 47,155 "," 38,661 "," 31,604 "," 30,979 "," 23,097 "," 32,540 ",," 8,302 "," 8,037 "," 10,665 "," 12,882 "," 20,719 "," 28,800 "," 44,445 "," 42,185 "," 36,429 "," 30,666 "," 30,287 "," 22,665 "," 31,473 ",," 800,491 ",,52.8%,74.4%,79.8%,88.7%,88.4%,93.3%,99.1%,100%*,99.0%,98.5%,100%*,95.4%,,82.4%,88.6%,96.3%,96.1%,96.3%,100%*,92.3%
,South East,,Hampshire and the Isle of Wight," 43,222 "," 46,884 "," 76,501 "," 88,913 "," 95,200 "," 103,011 "," 119,130 "," 122,906 "," 108,179 "," 93,447 "," 99,093 "," 74,535 "," 101,622 ",," 25,713 "," 24,493 "," 30,124 "," 32,626 "," 41,426 "," 59,696 "," 105,895 "," 112,014 "," 103,207 "," 91,245 "," 97,489 "," 73,476 "," 98,763 ",," 2,068,810 ",,40.6%,70.6%,82.1%,91.6%,86.9%,93.0%,98.6%,100%*,96.6%,96.6%,100%*,95.5%,,82.6%,89.9%,96.3%,94.4%,95.0%,100%*,92.8%
,South East,,Kent and Medway," 36,153 "," 41,779 "," 73,223 "," 86,847 "," 96,496 "," 104,603 "," 120,696 "," 121,252 "," 104,347 "," 91,072 "," 97,832 "," 71,344 "," 93,181 ",," 22,487 "," 21,682 "," 27,110 "," 31,253 "," 38,104 "," 49,857 "," 101,533 "," 110,990 "," 98,591 "," 88,436 "," 96,090 "," 70,209 "," 90,892 ",," 1,986,059 ",,37.0%,63.9%,74.8%,87.4%,83.9%,89.7%,97.6%,98.5%,94.5%,96.5%,100%*,95.1%,,75.5%,89.4%,93.1%,91.8%,94.8%,100%*,92.8%
,South East,,Surrey Heartlands Health and Care Partnership," 22,301 "," 29,000 "," 46,507 "," 56,563 "," 65,514 "," 69,299 "," 72,098 "," 71,096 "," 58,453 "," 48,226 "," 49,952 "," 38,110 "," 57,231 ",," 11,427 "," 10,730 "," 13,455 "," 16,060 "," 20,545 "," 29,064 "," 64,431 "," 64,894 "," 55,404 "," 47,015 "," 49,120 "," 37,540 "," 55,980 ",," 1,160,015 ",,51.3%,80.1%,83.0%,89.2%,91.2%,92.9%,98.7%,100%*,96.2%,96.3%,100%*,94.4%,,83.1%,90.1%,95.6%,93.8%,94.7%,100%*,92.3%
,South East,,Sussex and East Surrey Health and Care Partnership," 37,917 "," 38,608 "," 69,548 "," 79,389 "," 88,154 "," 98,004 "," 113,668 "," 115,393 "," 101,064 "," 90,392 "," 98,419 "," 74,033 "," 105,072 ",," 21,345 "," 20,000 "," 24,497 "," 27,914 "," 34,888 "," 47,701 "," 97,799 "," 105,366 "," 96,218 "," 87,853 "," 96,794 "," 72,923 "," 102,775 ",," 1,945,734 ",,38.9%,71.4%,77.6%,88.1%,85.2%,90.8%,98.0%,99.1%,94.6%,96.1%,100%*,94.0%,,78.2%,89.4%,94.4%,92.0%,94.5%,100%*,91.9%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 16,625 "," 16,463 "," 33,772 "," 43,119 "," 49,409 "," 56,112 "," 63,762 "," 64,203 "," 55,285 "," 47,600 "," 48,848 "," 36,338 "," 49,687 ",," 11,565 "," 10,155 "," 12,656 "," 13,949 "," 16,175 "," 23,239 "," 57,495 "," 59,770 "," 53,168 "," 46,658 "," 48,279 "," 35,989 "," 48,893 ",," 1,019,214 ",,30.4%,60.8%,76.5%,91.2%,86.9%,94.3%,100%*,100%*,97.7%,99.7%,100%*,98.7%,,85.0%,93.4%,99.5%,95.7%,98.5%,100%*,97.2%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 27,946 "," 28,340 "," 48,848 "," 53,131 "," 54,153 "," 53,886 "," 58,407 "," 57,973 "," 48,401 "," 41,815 "," 43,002 "," 32,821 "," 45,099 ",," 15,315 "," 14,622 "," 17,052 "," 18,276 "," 21,844 "," 28,867 "," 51,592 "," 52,621 "," 45,797 "," 40,824 "," 42,347 "," 32,436 "," 44,297 ",," 1,019,712 ",,35.6%,67.3%,81.1%,95.2%,91.4%,95.0%,100%*,100%*,97.1%,98.4%,100%*,95.2%,,83.9%,93.4%,97.3%,94.8%,96.9%,100%*,93.5%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 9,349 "," 11,189 "," 20,647 "," 23,734 "," 26,368 "," 30,639 "," 37,854 "," 41,018 "," 38,778 "," 36,065 "," 39,215 "," 28,852 "," 35,536 ",," 6,811 "," 6,223 "," 7,706 "," 8,539 "," 9,943 "," 13,719 "," 34,510 "," 38,409 "," 37,118 "," 35,326 "," 38,665 "," 28,460 "," 34,900 ",," 679,573 ",,40.1%,73.1%,78.3%,87.5%,82.1%,90.5%,96.8%,97.7%,93.5%,96.0%,100%*,97.2%,,82.5%,90.6%,93.6%,91.5%,94.6%,100%*,95.4%
,South West,,Devon," 24,874 "," 27,403 "," 47,294 "," 53,091 "," 56,489 "," 64,203 "," 79,624 "," 84,605 "," 78,547 "," 71,852 "," 77,559 "," 58,738 "," 78,171 ",," 17,272 "," 15,111 "," 17,939 "," 19,283 "," 22,090 "," 30,204 "," 70,179 "," 78,307 "," 74,175 "," 70,096 "," 76,442 "," 57,984 "," 76,230 ",," 1,427,762 ",,39.5%,71.7%,81.0%,91.5%,86.6%,93.7%,98.9%,100%*,95.3%,97.7%,100%*,98.3%,,82.5%,91.5%,94.6%,93.0%,96.3%,100%*,95.9%
,South West,,Dorset," 18,536 "," 19,122 "," 29,066 "," 34,157 "," 37,953 "," 41,987 "," 49,934 "," 53,502 "," 49,899 "," 46,194 "," 51,465 "," 39,067 "," 56,042 ",," 9,487 "," 8,835 "," 11,384 "," 14,028 "," 24,183 "," 32,892 "," 45,340 "," 49,078 "," 47,806 "," 45,170 "," 50,680 "," 38,529 "," 54,827 ",," 959,163 ",,48.4%,70.1%,77.7%,89.2%,85.3%,91.4%,97.3%,100%*,94.1%,97.5%,100%*,97.3%,,83.0%,89.3%,96.0%,92.0%,96.1%,100%*,95.2%
,South West,,Gloucestershire," 13,476 "," 19,620 "," 28,229 "," 31,678 "," 33,244 "," 37,036 "," 43,547 "," 45,404 "," 39,715 "," 34,714 "," 35,908 "," 27,221 "," 36,673 ",," 7,768 "," 7,200 "," 9,102 "," 10,093 "," 14,390 "," 24,910 "," 39,411 "," 42,253 "," 38,137 "," 34,070 "," 35,450 "," 26,859 "," 35,930 ",," 752,038 ",,56.4%,76.6%,82.6%,90.3%,85.1%,90.8%,98.9%,100%*,93.9%,97.5%,100%*,98.1%,,82.2%,92.0%,96.6%,92.1%,96.3%,100%*,96.1%
,South West,,Somerset," 12,248 "," 12,619 "," 21,767 "," 24,245 "," 26,265 "," 30,912 "," 38,864 "," 41,112 "," 37,234 "," 34,775 "," 37,660 "," 28,077 "," 37,299 ",," 7,698 "," 6,989 "," 8,895 "," 9,516 "," 11,370 "," 15,172 "," 35,479 "," 38,238 "," 35,755 "," 33,918 "," 37,056 "," 27,767 "," 36,764 ",," 687,694 ",,44.2%,71.5%,81.6%,90.4%,84.9%,92.6%,98.5%,99.2%,92.7%,99.9%,100%*,97.4%,,84.5%,91.7%,95.2%,90.4%,98.3%,100%*,96.0%
