,Region of Residence,,ICS/STP of Residence,1st dose Under 60,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 60,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,60-64,65-69,70-74,75-79,80+
,Midlands,,Staffordshire and Stoke on Trent," 153,977 "," 55,842 "," 58,300 "," 62,543 "," 48,354 "," 60,381 ",," 5,843 ", 850 , 372 , 324 , 465 ," 12,932 ",," 460,183 ",,81.9%,91.7%,96.4%,100%*,99.3%
,Midlands,,The Black Country and West Birmingham," 167,601 "," 50,874 "," 53,543 "," 53,370 "," 42,308 "," 59,629 ",," 6,032 ", 884 , 444 , 324 , 417 ," 9,472 ",," 444,898 ",,74.9%,88.9%,95.4%,94.0%,92.8%
,North East and Yorkshire,,Cumbria and North East," 359,974 "," 99,835 "," 149,968 "," 162,951 "," 112,867 "," 154,696 ",," 16,868 "," 2,605 ", 886 , 484 , 543 ," 24,782 ",," 1,086,459 ",,52.2%,88.1%,98.8%,100%*,96.0%
,North East and Yorkshire,,"Humber, Coast and Vale"," 205,803 "," 70,715 "," 89,074 "," 100,865 "," 71,475 "," 98,297 ",," 4,597 ", 682 , 323 , 210 , 178 ," 16,460 ",," 658,679 ",,65.2%,88.1%,98.3%,100%*,97.3%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 177,805 "," 47,876 "," 67,363 "," 72,656 "," 54,294 "," 71,394 ",," 5,455 "," 1,089 ", 501 , 276 , 439 ," 8,172 ",," 507,320 ",,55.6%,88.5%,95.8%,100%*,95.0%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 289,935 "," 93,422 "," 100,436 "," 105,931 "," 74,084 "," 101,867 ",," 12,868 "," 1,882 "," 1,066 ", 946 ," 1,328 "," 19,033 ",," 802,798 ",,73.6%,89.0%,97.7%,100%*,95.1%
,North West,,Cheshire and Merseyside," 353,548 "," 108,346 "," 124,096 "," 129,546 "," 92,882 "," 128,272 ",," 12,029 "," 1,567 ", 785 , 651 ," 1,086 "," 21,105 ",," 973,913 ",,71.5%,90.7%,97.5%,99.2%,94.8%
,North West,,Greater Manchester Health and Social Care Partnership," 402,325 "," 102,609 "," 113,800 "," 120,225 "," 85,848 "," 110,965 ",," 12,429 "," 1,913 "," 1,074 ", 782 , 797 ," 17,677 ",," 970,444 ",,70.7%,89.0%,96.7%,98.8%,93.8%
,North West,,Healthier Lancashire and South Cumbria," 211,436 "," 74,680 "," 84,763 "," 93,523 "," 68,140 "," 89,336 ",," 7,047 "," 1,028 ", 426 , 374 , 372 ," 15,639 ",," 646,764 ",,72.3%,89.6%,96.1%,100%*,96.6%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 187,453 "," 61,226 "," 73,399 "," 79,279 "," 60,331 "," 85,276 ",," 10,360 "," 1,262 ", 608 , 436 , 641 ," 10,617 ",," 570,888 ",,65.7%,90.8%,97.3%,100%*,96.5%
,South East,,Frimley Health and Care ICS," 78,102 "," 24,684 "," 30,261 "," 30,419 "," 22,830 "," 32,682 ",," 4,564 ", 524 , 244 , 93 , 122 ," 4,399 ",," 228,924 ",,65.2%,94.8%,96.7%,100%*,95.8%
,South East,,Hampshire and the Isle of Wight," 219,336 "," 76,624 "," 88,929 "," 97,885 "," 74,087 "," 102,635 ",," 6,788 ", 993 , 405 , 254 , 435 ," 24,179 ",," 692,550 ",,71.5%,92.0%,95.4%,100%*,96.5%
,South East,,Kent and Medway," 216,957 "," 74,052 "," 84,469 "," 96,112 "," 70,657 "," 93,687 ",," 12,459 "," 1,672 ", 789 , 489 , 804 ," 18,687 ",," 670,834 ",,69.9%,87.7%,94.8%,100%*,95.7%
,South East,,Surrey Heartlands Health and Care Partnership," 120,990 "," 42,548 "," 46,454 "," 49,237 "," 37,766 "," 57,477 ",," 5,288 ", 766 , 377 , 219 , 168 ," 6,270 ",," 367,560 ",,73.4%,92.6%,95.0%,100%*,94.8%
,South East,,Sussex and East Surrey Health and Care Partnership," 221,268 "," 76,270 "," 84,466 "," 96,931 "," 73,283 "," 105,457 ",," 6,496 ", 822 , 366 , 252 , 404 ," 9,864 ",," 675,879 ",,74.8%,88.4%,94.6%,100%*,94.3%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 112,759 "," 38,665 "," 45,735 "," 48,377 "," 36,174 "," 50,230 ",," 3,110 ", 380 , 137 , 73 , 60 ," 6,329 ",," 342,029 ",,72.4%,93.8%,98.7%,100%*,99.8%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 120,699 "," 34,048 "," 40,140 "," 42,585 "," 32,681 "," 45,747 ",," 5,874 ", 682 , 296 , 157 , 152 ," 8,734 ",," 331,795 ",,72.3%,93.2%,97.5%,100%*,96.6%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 72,828 "," 27,862 "," 34,326 "," 38,858 "," 28,702 "," 35,942 ",," 6,646 ", 924 , 348 , 168 , 236 ," 5,996 ",," 252,836 ",,70.2%,89.0%,95.1%,100%*,98.3%
,South West,,Devon," 158,189 "," 46,588 "," 67,578 "," 76,647 "," 58,369 "," 79,151 ",," 7,407 ", 926 , 402 , 236 , 239 ," 12,168 ",," 507,900 ",,59.4%,89.6%,96.5%,100%*,99.5%
,South West,,Dorset," 100,402 "," 35,191 "," 44,317 "," 50,769 "," 38,794 "," 56,596 ",," 2,380 ", 348 , 169 , 121 , 89 ," 8,587 ",," 337,763 ",,70.7%,90.3%,96.2%,100%*,98.3%
,South West,,Gloucestershire," 75,847 "," 25,091 "," 33,746 "," 35,562 "," 27,104 "," 37,119 ",," 4,475 ", 667 , 246 , 190 , 225 ," 7,075 ",," 247,347 ",,63.6%,91.2%,96.6%,100%*,99.3%
,South West,,Somerset," 80,442 "," 28,762 "," 33,025 "," 37,266 "," 27,955 "," 37,811 ",," 3,315 ", 436 , 160 , 89 , 72 ," 6,135 ",," 255,468 ",,76.6%,88.0%,98.9%,100%*,98.8%
