Region of Residence,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+
 Midlands ," Leicester, Leicestershire and Rutland "," 71,436 "," 47,980 "," 54,387 "," 59,041 "," 59,980 "," 63,533 "," 71,583 "," 69,367 "," 61,435 "," 53,439 "," 53,281 "," 38,355 "," 50,097 "," 22,066 "," 19,257 "," 24,656 "," 33,397 "," 44,284 "," 54,606 "," 67,874 "," 65,918 "," 59,422 "," 52,293 "," 52,515 "," 37,756 "," 48,323 "
 Midlands , Lincolnshire ," 43,823 "," 30,524 "," 33,973 "," 34,987 "," 35,942 "," 42,131 "," 51,084 "," 54,550 "," 49,365 "," 45,035 "," 48,571 "," 36,318 "," 45,087 "," 11,875 "," 10,572 "," 13,377 "," 17,099 "," 27,774 "," 37,583 "," 49,033 "," 52,883 "," 47,951 "," 44,338 "," 48,080 "," 35,929 "," 44,505 "
 Midlands , Northamptonshire ," 37,831 "," 30,236 "," 37,002 "," 39,621 "," 41,705 "," 45,091 "," 50,873 "," 49,295 "," 40,973 "," 35,409 "," 36,688 "," 25,905 "," 31,480 "," 9,959 "," 9,598 "," 13,194 "," 17,583 "," 27,356 "," 37,505 "," 48,405 "," 47,266 "," 39,576 "," 34,754 "," 36,241 "," 25,612 "," 30,972 "
 Midlands , Nottingham and Nottinghamshire Health and Care ," 68,728 "," 45,069 "," 50,665 "," 51,740 "," 51,542 "," 55,547 "," 64,692 "," 64,944 "," 55,596 "," 47,969 "," 49,037 "," 36,194 "," 47,510 "," 19,254 "," 15,833 "," 19,039 "," 22,383 "," 33,839 "," 47,197 "," 61,817 "," 62,448 "," 53,849 "," 47,139 "," 48,373 "," 35,690 "," 46,481 "
 Midlands , Shropshire and Telford and Wrekin ," 26,278 "," 19,497 "," 22,835 "," 23,523 "," 23,827 "," 28,330 "," 34,753 "," 35,887 "," 31,641 "," 28,666 "," 29,551 "," 22,647 "," 28,205 "," 8,386 "," 7,454 "," 9,404 "," 10,462 "," 16,434 "," 23,718 "," 33,482 "," 34,672 "," 30,789 "," 28,278 "," 29,245 "," 22,440 "," 27,785 "
 Midlands , Staffordshire and Stoke on Trent ," 59,884 "," 46,992 "," 56,387 "," 58,398 "," 57,617 "," 65,335 "," 78,523 "," 77,564 "," 68,574 "," 60,559 "," 63,166 "," 48,442 "," 59,521 "," 18,600 "," 17,472 "," 23,487 "," 28,795 "," 42,052 "," 57,383 "," 75,370 "," 74,670 "," 66,827 "," 59,593 "," 62,394 "," 47,908 "," 58,728 "
 Midlands , The Black Country and West Birmingham ," 65,419 "," 53,909 "," 65,146 "," 70,214 "," 71,036 "," 74,692 "," 83,988 "," 78,506 "," 66,960 "," 57,302 "," 54,383 "," 42,741 "," 59,299 "," 21,681 "," 21,074 "," 28,232 "," 35,260 "," 47,503 "," 59,712 "," 78,133 "," 74,191 "," 64,241 "," 55,741 "," 53,437 "," 42,004 "," 57,978 "
 North East and Yorkshire , Cumbria and North East ," 166,700 "," 126,732 "," 143,774 "," 152,028 "," 149,655 "," 163,420 "," 196,329 "," 209,136 "," 192,195 "," 166,771 "," 165,122 "," 113,087 "," 152,024 "," 49,687 "," 47,275 "," 60,177 "," 75,154 "," 108,109 "," 137,089 "," 186,979 "," 201,650 "," 186,714 "," 164,099 "," 163,304 "," 111,936 "," 148,875 "
 North East and Yorkshire ," Humber, Coast and Vale "," 94,009 "," 70,350 "," 80,104 "," 82,665 "," 82,873 "," 95,157 "," 114,819 "," 121,702 "," 109,436 "," 96,786 "," 101,838 "," 71,737 "," 96,511 "," 25,389 "," 23,758 "," 31,021 "," 38,041 "," 60,350 "," 82,369 "," 110,045 "," 117,902 "," 106,480 "," 95,347 "," 100,879 "," 71,059 "," 94,993 "
 North East and Yorkshire , South Yorkshire and Bassetlaw ," 93,376 "," 69,399 "," 76,799 "," 77,117 "," 75,046 "," 82,132 "," 98,858 "," 97,747 "," 85,791 "," 73,263 "," 73,659 "," 54,546 "," 70,344 "," 28,678 "," 27,277 "," 40,011 "," 47,900 "," 60,989 "," 73,078 "," 94,121 "," 94,101 "," 83,352 "," 72,012 "," 72,855 "," 54,032 "," 69,033 "
 North East and Yorkshire , West Yorkshire and Harrogate (Health and Care Partnership) ," 133,541 "," 103,322 "," 119,934 "," 127,232 "," 126,533 "," 133,444 "," 149,499 "," 144,401 "," 126,300 "," 107,211 "," 107,573 "," 74,503 "," 100,379 "," 42,455 "," 38,600 "," 51,989 "," 67,196 "," 91,121 "," 111,670 "," 140,996 "," 138,562 "," 122,185 "," 105,044 "," 106,228 "," 73,467 "," 97,603 "
 North West , Cheshire and Merseyside ," 131,451 "," 101,635 "," 118,027 "," 125,872 "," 124,969 "," 138,366 "," 164,681 "," 174,331 "," 153,791 "," 131,534 "," 131,658 "," 93,687 "," 126,986 "," 44,604 "," 42,412 "," 54,187 "," 67,547 "," 88,445 "," 115,900 "," 155,730 "," 166,617 "," 148,903 "," 128,845 "," 129,628 "," 92,287 "," 123,961 "
 North West , Greater Manchester Health and Social Care Partnership ," 159,803 "," 131,003 "," 152,149 "," 159,559 "," 154,775 "," 158,557 "," 177,154 "," 171,126 "," 145,420 "," 121,859 "," 122,695 "," 87,020 "," 110,358 "," 53,344 "," 51,192 "," 69,144 "," 84,511 "," 105,418 "," 126,777 "," 163,921 "," 161,299 "," 138,640 "," 118,230 "," 120,237 "," 85,270 "," 106,817 "
 North West ,Healthier Lancashire and South Cumbria," 97,360 "," 66,489 "," 77,775 "," 82,281 "," 83,117 "," 94,043 "," 113,654 "," 117,578 "," 104,410 "," 90,442 "," 94,813 "," 68,380 "," 87,898 "," 35,121 "," 29,794 "," 38,275 "," 46,356 "," 61,551 "," 79,266 "," 107,442 "," 112,237 "," 101,243 "," 88,712 "," 93,660 "," 67,615 "," 85,847 "
 South East ," Buckinghamshire, Oxfordshire and Berkshire West "," 105,747 "," 82,570 "," 94,978 "," 102,468 "," 107,483 "," 110,035 "," 118,108 "," 114,406 "," 95,549 "," 79,321 "," 80,378 "," 60,706 "," 84,134 "," 24,417 "," 23,339 "," 29,715 "," 39,233 "," 71,439 "," 86,963 "," 113,147 "," 110,658 "," 93,014 "," 77,942 "," 79,347 "," 59,982 "," 82,385 "
 South East , Frimley Health and Care ICS ," 44,241 "," 33,081 "," 41,399 "," 46,485 "," 49,142 "," 49,518 "," 50,768 "," 47,385 "," 38,780 "," 31,656 "," 30,999 "," 23,077 "," 32,421 "," 10,401 "," 9,847 "," 15,112 "," 22,565 "," 40,196 "," 44,076 "," 48,531 "," 45,702 "," 37,587 "," 31,040 "," 30,487 "," 22,755 "," 31,500 "
 South East , Hampshire and the Isle of Wight ," 108,067 "," 80,546 "," 93,023 "," 96,372 "," 97,631 "," 104,506 "," 119,997 "," 123,425 "," 108,450 "," 93,550 "," 99,097 "," 74,443 "," 101,089 "," 31,698 "," 29,380 "," 37,936 "," 45,066 "," 70,739 "," 91,552 "," 115,482 "," 119,811 "," 105,711 "," 92,202 "," 97,885 "," 73,659 "," 98,625 "
 South East , Kent and Medway ," 94,181 "," 72,374 "," 86,951 "," 94,329 "," 99,457 "," 106,553 "," 121,660 "," 121,931 "," 104,653 "," 91,159 "," 97,787 "," 71,238 "," 92,673 "," 26,770 "," 25,638 "," 34,257 "," 43,249 "," 69,270 "," 87,162 "," 115,834 "," 116,593 "," 101,318 "," 89,419 "," 96,453 "," 70,362 "," 90,829 "
 South East , Surrey Heartlands Health and Care Partnership ," 58,625 "," 43,042 "," 51,590 "," 59,731 "," 67,108 "," 70,296 "," 72,539 "," 71,380 "," 58,545 "," 48,286 "," 49,945 "," 38,084 "," 56,922 "," 13,923 "," 12,679 "," 16,547 "," 24,287 "," 49,672 "," 61,582 "," 69,922 "," 68,640 "," 56,669 "," 47,431 "," 49,327 "," 37,669 "," 55,931 "
 South East ,Sussex and East Surrey Health and Care Partnership," 92,788 "," 69,029 "," 81,093 "," 85,703 "," 90,636 "," 99,698 "," 114,475 "," 116,068 "," 101,446 "," 90,623 "," 98,454 "," 73,996 "," 104,491 "," 25,887 "," 23,435 "," 29,806 "," 38,274 "," 64,819 "," 83,866 "," 109,644 "," 111,853 "," 98,419 "," 89,005 "," 97,202 "," 73,140 "," 102,705 "
 South West ," Bath and North East Somerset, Swindon and Wiltshire "," 56,077 "," 40,874 "," 47,886 "," 49,879 "," 51,323 "," 57,204 "," 64,252 "," 64,531 "," 55,456 "," 47,674 "," 48,861 "," 36,287 "," 49,432 "," 13,607 "," 11,523 "," 14,492 "," 16,801 "," 29,874 "," 43,815 "," 61,805 "," 62,490 "," 53,987 "," 46,947 "," 48,416 "," 36,007 "," 48,780 "
 South West ," Bristol, North Somerset and South Gloucestershire "," 67,154 "," 54,556 "," 60,234 "," 58,961 "," 55,685 "," 54,756 "," 58,893 "," 58,277 "," 48,545 "," 41,876 "," 42,997 "," 32,775 "," 44,846 "," 17,908 "," 16,420 "," 19,893 "," 24,504 "," 38,252 "," 44,167 "," 56,322 "," 56,012 "," 46,838 "," 41,160 "," 42,497 "," 32,478 "," 44,177 "
 South West , Cornwall and the Isles of Scilly Health and Social Care Partnership ," 30,928 "," 21,238 "," 24,786 "," 25,966 "," 27,465 "," 31,450 "," 38,403 "," 41,349 "," 38,938 "," 36,141 "," 39,202 "," 28,834 "," 35,293 "," 7,852 "," 7,086 "," 8,859 "," 11,042 "," 18,993 "," 26,115 "," 36,834 "," 39,686 "," 37,707 "," 35,595 "," 38,749 "," 28,497 "," 34,765 "
 South West , Devon ," 72,759 "," 49,037 "," 55,602 "," 57,424 "," 58,081 "," 65,351 "," 80,184 "," 85,075 "," 78,815 "," 71,966 "," 77,555 "," 58,666 "," 77,627 "," 20,011 "," 17,000 "," 20,561 "," 24,794 "," 40,933 "," 55,085 "," 77,036 "," 82,142 "," 75,832 "," 70,774 "," 76,683 "," 58,080 "," 75,913 "
 South West , Dorset ," 41,014 "," 29,392 "," 34,068 "," 36,701 "," 38,703 "," 42,500 "," 50,247 "," 53,732 "," 50,120 "," 46,314 "," 51,481 "," 39,017 "," 55,665 "," 11,619 "," 10,734 "," 15,261 "," 20,195 "," 31,322 "," 38,181 "," 48,252 "," 51,618 "," 48,715 "," 45,569 "," 50,884 "," 38,610 "," 54,645 "
 South West , Gloucestershire ," 36,756 "," 28,085 "," 31,896 "," 33,472 "," 33,927 "," 37,413 "," 43,813 "," 45,552 "," 39,770 "," 34,769 "," 35,904 "," 27,178 "," 36,464 "," 9,062 "," 8,112 "," 11,324 "," 14,420 "," 26,183 "," 33,531 "," 42,231 "," 44,223 "," 38,827 "," 34,317 "," 35,558 "," 26,890 "," 35,821 "
 South West , Somerset ," 30,349 "," 22,980 "," 26,234 "," 26,567 "," 27,166 "," 31,576 "," 39,252 "," 41,397 "," 37,356 "," 34,830 "," 37,662 "," 28,037 "," 37,088 "," 9,423 "," 8,630 "," 11,020 "," 12,085 "," 18,494 "," 24,934 "," 37,777 "," 39,874 "," 36,355 "," 34,203 "," 37,145 "," 27,788 "," 36,660 "
