,Region of Residence,,ICS/STP of Residence,1st dose Under 70,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 70,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,Cumulative Total Doses to Date,,,,,
,North East and Yorkshire,,"Humber, Coast and Vale"," 117,886 "," 74,310 "," 68,143 "," 95,538 ",," 2,459 ", 62 , 63 ," 13,679 ",," 372,140 ",," 1,132,740 "," 102,626 "," 69,247 "," 101,037 "
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 111,302 "," 53,593 "," 50,443 "," 68,702 ",," 2,407 ", 103 , 310 ," 7,392 ",," 294,252 ",," 1,037,161 "," 75,813 "," 53,611 "," 75,152 "
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 164,453 "," 80,058 "," 70,086 "," 98,384 ",," 5,621 ", 119 , 136 ," 14,339 ",," 433,196 ",," 1,606,660 "," 108,468 "," 73,961 "," 107,139 "
,North West,,Cheshire and Merseyside," 210,453 "," 108,320 "," 88,927 "," 124,140 ",," 9,615 ", 281 , 653 ," 18,593 ",," 560,982 ",," 1,679,148 "," 132,827 "," 93,612 "," 135,334 "
,North West,,Greater Manchester Health and Social Care Partnership," 238,525 "," 105,448 "," 82,153 "," 105,696 ",," 8,204 ", 378 , 537 ," 15,319 ",," 556,260 ",," 1,952,039 "," 124,386 "," 86,854 "," 118,241 "
,North West,,Healthier Lancashire and South Cumbria," 140,995 "," 80,216 "," 65,828 "," 87,049 ",," 2,908 ", 148 , 111 ," 9,914 ",," 387,169 ",," 1,122,874 "," 97,364 "," 67,229 "," 92,501 "
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 104,545 "," 50,128 "," 56,554 "," 82,840 ",," 3,303 ", 152 , 331 ," 7,611 ",," 305,464 ",," 1,142,448 "," 81,494 "," 58,760 "," 88,381 "
,South East,,Frimley Health and Care ICS," 44,391 "," 23,164 "," 21,691 "," 31,850 ",," 2,092 ", 37 , 24 ," 3,019 ",," 126,268 ",," 498,988 "," 31,460 "," 22,473 "," 34,113 "
,South East,,Hampshire and the Isle of Wight," 134,757 "," 70,952 "," 70,629 "," 100,579 ",," 3,175 ", 98 , 150 ," 17,487 ",," 397,827 ",," 1,215,263 "," 102,600 "," 70,771 "," 106,379 "
,South East,,Kent and Medway," 124,823 "," 68,334 "," 64,836 "," 88,794 ",," 6,644 ", 203 , 278 ," 16,377 ",," 370,289 ",," 1,225,528 "," 101,394 "," 68,600 "," 97,936 "
,South East,,Surrey Heartlands Health and Care Partnership," 68,332 "," 39,195 "," 35,390 "," 55,200 ",," 2,491 ", 84 , 63 ," 4,690 ",," 205,445 ",," 690,431 "," 51,850 "," 37,027 "," 60,642 "
,South East,,Sussex and East Surrey Health and Care Partnership," 131,459 "," 68,868 "," 68,674 "," 100,911 ",," 4,295 ", 102 , 104 ," 7,918 ",," 382,331 ",," 1,123,772 "," 102,425 "," 70,996 "," 111,804 "
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 56,211 "," 37,278 "," 34,066 "," 48,329 ",," 1,782 ", 43 , 24 ," 5,648 ",," 183,381 ",," 614,288 "," 49,002 "," 34,272 "," 50,326 "
,South West,,"Bristol, North Somerset and South Gloucestershire"," 70,308 "," 34,446 "," 31,410 "," 44,844 ",," 2,607 ", 54 , 45 ," 7,267 ",," 190,981 ",," 662,511 "," 43,688 "," 31,584 "," 47,355 "
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 38,863 "," 26,820 "," 27,162 "," 34,957 ",," 1,392 ", 37 , 152 ," 5,490 ",," 134,873 ",," 370,074 "," 40,857 "," 27,029 "," 36,571 "
,South West,,Devon," 98,551 "," 42,785 "," 54,074 "," 76,193 ",," 1,685 ", 71 , 86 ," 10,897 ",," 284,342 ",," 785,114 "," 79,389 "," 55,021 "," 79,525 "
,South West,,Dorset," 60,311 "," 39,286 "," 37,434 "," 55,269 ",," 1,719 ", 25 , 19 ," 7,148 ",," 201,211 ",," 498,729 "," 52,759 "," 36,918 "," 57,579 "
,South West,,Gloucestershire," 42,790 "," 25,778 "," 26,148 "," 36,646 ",," 1,702 ", 52 , 40 ," 1,384 ",," 134,540 ",," 421,525 "," 36,815 "," 26,321 "," 37,389 "
,South West,,Somerset," 44,046 "," 31,610 "," 27,164 "," 36,879 ",," 1,648 ", 23 , 16 ," 4,993 ",," 146,379 ",," 360,845 "," 37,683 "," 26,420 "," 38,289 "
