,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,London,,South West London Health and Care Partnership," 176,636 "," 84,511 "," 78,884 "," 63,931 "," 51,386 "," 49,552 "," 34,592 "," 49,755 ",," 37,338 "," 8,384 "," 9,102 "," 8,305 "," 8,927 "," 18,504 "," 22,134 "," 37,878 ",," 739,819 ",,83.8%,89.4%,92.9%,90.7%,96.2%,97.1%,90.0%
,Midlands,,Birmingham and Solihull," 159,363 "," 62,318 "," 60,419 "," 53,105 "," 44,774 "," 43,570 "," 33,127 "," 47,884 ",," 26,672 "," 6,776 "," 6,968 "," 6,484 "," 6,850 "," 15,048 "," 21,042 "," 38,619 ",," 633,019 ",,86.2%,91.4%,97.7%,93.8%,97.4%,99.2%,90.9%
,Midlands,,Coventry and Warwickshire," 118,759 "," 57,691 "," 56,556 "," 49,155 "," 42,649 "," 43,846 "," 34,815 "," 46,031 ",," 21,199 "," 5,709 "," 5,934 "," 4,859 "," 4,670 "," 11,277 "," 22,012 "," 37,425 ",," 562,587 ",,92.5%,97.0%,100%*,95.9%,96.5%,100%*,97.4%
,Midlands,,Herefordshire and Worcestershire," 94,294 "," 52,700 "," 54,769 "," 49,276 "," 46,244 "," 49,029 "," 36,990 "," 48,357 ",," 19,656 "," 5,595 "," 5,810 "," 4,680 "," 4,334 "," 8,163 "," 18,862 "," 41,290 ",," 540,049 ",,89.5%,97.6%,98.3%,93.9%,98.4%,100%*,98.0%
,Midlands,,Joined Up Care Derbyshire," 156,156 "," 69,830 "," 69,854 "," 61,020 "," 53,983 "," 56,212 "," 42,213 "," 53,567 ",," 24,463 "," 6,665 "," 6,679 "," 4,885 "," 2,845 "," 9,868 "," 21,352 "," 43,350 ",," 682,942 ",,88.5%,96.5%,98.3%,94.6%,97.3%,100%*,96.4%
,Midlands,,"Leicester, Leicestershire and Rutland"," 156,120 "," 68,238 "," 66,445 "," 59,949 "," 52,753 "," 53,005 "," 38,355 "," 50,911 ",," 23,458 "," 6,022 "," 6,140 "," 5,275 "," 4,074 "," 7,668 "," 14,037 "," 38,356 ",," 650,806 ",,91.1%,94.0%,99.9%,95.1%,99.5%,100%*,96.4%
,Midlands,,Lincolnshire," 100,245 "," 49,178 "," 53,012 "," 48,057 "," 44,476 "," 48,381 "," 36,417 "," 45,855 ",," 16,338 "," 4,537 "," 4,676 "," 3,541 "," 1,998 "," 4,513 "," 12,862 "," 34,194 ",," 508,280 ",,89.9%,95.6%,97.3%,92.3%,96.4%,100%*,98.6%
,Midlands,,Northamptonshire," 85,154 "," 48,690 "," 47,706 "," 39,877 "," 35,055 "," 36,570 "," 25,968 "," 32,010 ",," 14,134 "," 4,106 "," 4,354 "," 3,462 "," 2,911 "," 8,060 "," 16,421 "," 27,221 ",," 431,699 ",,89.5%,96.5%,97.6%,92.8%,97.0%,100%*,97.8%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 137,997 "," 62,397 "," 63,019 "," 54,335 "," 47,581 "," 48,827 "," 36,151 "," 48,084 ",," 22,873 "," 5,342 "," 5,249 "," 3,659 "," 1,586 "," 1,678 "," 5,638 "," 34,650 ",," 579,066 ",,87.9%,93.9%,96.7%,92.6%,97.7%,100%*,96.6%
,Midlands,,Shropshire and Telford and Wrekin," 57,888 "," 33,778 "," 34,828 "," 30,972 "," 28,448 "," 29,510 "," 22,681 "," 28,668 ",," 7,986 "," 2,125 "," 2,307 "," 1,656 ", 894 ," 1,388 "," 3,409 "," 17,981 ",," 304,519 ",,88.9%,94.9%,97.6%,93.8%,97.6%,100%*,100%*
,Midlands,,Staffordshire and Stoke on Trent," 156,189 "," 75,951 "," 75,167 "," 67,436 "," 59,943 "," 62,975 "," 48,542 "," 60,483 ",," 28,727 "," 7,820 "," 7,767 "," 5,903 "," 4,215 "," 12,082 "," 25,556 "," 50,550 ",," 749,306 ",,90.9%,95.1%,98.9%,94.3%,97.0%,100%*,99.4%
,Midlands,,The Black Country and West Birmingham," 177,394 "," 79,385 "," 75,395 "," 65,166 "," 56,510 "," 54,143 "," 42,755 "," 60,160 ",," 27,052 "," 7,119 "," 7,061 "," 5,703 "," 5,056 "," 11,549 "," 22,616 "," 47,088 ",," 744,152 ",,87.3%,90.8%,96.0%,93.8%,96.7%,94.9%,93.6%
,North East and Yorkshire,,Cumbria and North East," 349,894 "," 186,557 "," 202,047 "," 187,731 "," 165,157 "," 164,706 "," 113,475 "," 155,012 ",," 93,447 "," 24,340 "," 25,756 "," 19,846 "," 11,892 "," 30,352 "," 62,118 "," 133,004 ",," 1,925,334 ",,87.9%,94.8%,98.1%,97.0%,99.8%,100%*,96.2%
,North East and Yorkshire,,"Humber, Coast and Vale"," 198,010 "," 110,655 "," 118,600 "," 107,118 "," 95,957 "," 101,606 "," 71,873 "," 98,292 ",," 40,409 "," 11,253 "," 12,461 "," 9,940 "," 7,097 "," 20,398 "," 34,413 "," 81,945 ",," 1,120,027 ",,89.2%,95.5%,98.7%,94.9%,99.0%,100%*,97.3%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 212,615 "," 94,408 "," 94,574 "," 83,938 "," 72,539 "," 73,501 "," 54,732 "," 71,587 ",," 44,244 "," 11,818 "," 12,185 "," 10,139 "," 7,915 "," 21,196 "," 28,667 "," 55,842 ",," 949,900 ",,89.0%,94.7%,97.5%,95.3%,97.0%,100%*,95.3%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 300,796 "," 142,253 "," 139,640 "," 123,234 "," 105,805 "," 107,180 "," 74,604 "," 102,174 ",," 59,755 "," 17,195 "," 18,764 "," 17,158 "," 18,374 "," 32,278 "," 42,881 "," 81,527 ",," 1,383,618 ",,89.6%,94.2%,97.1%,93.7%,98.8%,100%*,95.4%
,North West,,Cheshire and Merseyside," 322,316 "," 157,551 "," 168,659 "," 150,500 "," 130,039 "," 131,040 "," 93,754 "," 129,027 ",," 63,577 "," 17,433 "," 19,547 "," 16,311 "," 13,358 "," 32,877 "," 47,731 "," 101,047 ",," 1,594,767 ",,89.0%,95.3%,99.3%,95.0%,98.7%,100%*,95.3%
,North West,,Greater Manchester Health and Social Care Partnership," 360,289 "," 166,207 "," 163,777 "," 140,542 "," 119,552 "," 121,822 "," 86,948 "," 111,997 ",," 70,856 "," 18,813 "," 19,893 "," 17,258 "," 16,266 "," 42,702 "," 55,489 "," 87,528 ",," 1,599,939 ",,86.1%,93.2%,96.8%,93.5%,97.9%,100%*,94.7%
,North West,,Healthier Lancashire and South Cumbria," 222,739 "," 108,461 "," 113,276 "," 102,110 "," 89,349 "," 94,581 "," 68,583 "," 89,517 ",," 42,178 "," 12,183 "," 13,234 "," 10,526 "," 11,307 "," 26,365 "," 45,518 "," 76,249 ",," 1,126,176 ",,88.5%,94.9%,98.9%,94.5%,97.1%,100%*,96.8%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 190,334 "," 113,972 "," 111,671 "," 93,869 "," 78,479 "," 79,990 "," 60,708 "," 85,421 ",," 36,524 "," 8,776 "," 9,377 "," 7,442 "," 6,776 "," 16,416 "," 32,734 "," 68,449 ",," 1,000,938 ",,92.7%,98.7%,100%*,97.1%,98.2%,100%*,96.7%
,South East,,Frimley Health and Care ICS," 99,537 "," 48,707 "," 46,045 "," 37,978 "," 31,271 "," 30,782 "," 23,013 "," 32,824 ",," 16,573 "," 4,102 "," 4,182 "," 3,264 "," 2,283 "," 8,528 "," 13,220 "," 26,299 ",," 428,608 ",,90.3%,96.7%,100%*,98.0%,97.8%,100%*,96.2%
,South East,,Hampshire and the Isle of Wight," 247,330 "," 116,297 "," 120,721 "," 106,524 "," 92,754 "," 98,728 "," 74,538 "," 102,798 ",," 50,109 "," 12,046 "," 12,365 "," 9,648 "," 5,815 "," 13,133 "," 32,065 "," 83,774 ",," 1,178,645 ",,90.8%,96.8%,99.4%,95.9%,96.2%,100%*,96.6%
,South East,,Kent and Medway," 208,106 "," 116,668 "," 117,504 "," 102,271 "," 90,139 "," 97,324 "," 71,235 "," 93,946 ",," 48,620 "," 12,800 "," 13,535 "," 11,084 "," 9,719 "," 19,500 "," 30,241 "," 67,968 ",," 1,110,660 ",,86.8%,94.6%,96.6%,93.6%,96.0%,100%*,95.9%
,South East,,Surrey Heartlands Health and Care Partnership," 110,361 "," 70,308 "," 69,197 "," 57,301 "," 47,837 "," 49,709 "," 38,026 "," 57,717 ",," 23,309 "," 6,061 "," 6,471 "," 5,111 "," 3,336 "," 11,833 "," 20,063 "," 41,258 ",," 617,898 ",,90.6%,96.1%,98.9%,95.4%,95.9%,100%*,95.2%
,South East,,Sussex and East Surrey Health and Care Partnership," 191,292 "," 110,436 "," 112,651 "," 99,066 "," 89,351 "," 97,908 "," 73,886 "," 105,989 ",," 46,893 "," 13,227 "," 13,845 "," 11,488 "," 8,123 "," 18,809 "," 32,880 "," 79,980 ",," 1,105,824 ",,88.3%,95.6%,97.2%,93.6%,95.6%,100%*,94.8%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 93,224 "," 61,891 "," 62,724 "," 54,206 "," 47,190 "," 48,698 "," 36,339 "," 50,226 ",," 19,692 "," 5,135 "," 5,334 "," 4,148 "," 2,543 "," 6,409 "," 16,971 "," 41,948 ",," 556,678 ",,91.5%,98.0%,100%*,96.8%,99.4%,100%*,99.8%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 129,852 "," 56,781 "," 56,534 "," 47,276 "," 41,525 "," 42,871 "," 32,826 "," 45,686 ",," 30,681 "," 6,240 "," 6,412 "," 4,763 "," 2,497 "," 5,453 "," 15,865 "," 37,972 ",," 563,234 ",,92.3%,100%*,100%*,96.4%,98.1%,100%*,96.5%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 58,413 "," 36,718 "," 39,707 "," 37,804 "," 35,720 "," 39,110 "," 28,859 "," 35,987 ",," 15,244 "," 4,447 "," 4,481 "," 3,671 "," 2,381 "," 6,344 "," 11,990 "," 26,858 ",," 387,734 ",,87.7%,93.7%,95.3%,92.6%,95.7%,100%*,98.4%
,South West,,Devon," 131,922 "," 77,364 "," 82,619 "," 76,175 "," 71,154 "," 77,231 "," 58,692 "," 79,104 ",," 36,626 "," 9,272 "," 9,442 "," 7,425 "," 4,007 "," 8,288 "," 14,435 "," 55,096 ",," 798,852 ",,91.0%,96.6%,97.2%,94.4%,97.3%,100%*,99.5%
,South West,,Dorset," 112,533 "," 48,631 "," 51,906 "," 48,833 "," 45,733 "," 51,202 "," 39,029 "," 56,643 ",," 19,660 "," 5,121 "," 5,569 "," 4,493 "," 3,008 "," 6,493 "," 13,814 "," 43,459 ",," 556,127 ",,89.0%,94.4%,98.1%,93.2%,97.0%,100%*,98.4%
,South West,,Gloucestershire," 80,266 "," 42,523 "," 44,590 "," 39,113 "," 34,481 "," 35,817 "," 27,209 "," 37,093 ",," 14,751 "," 3,936 "," 4,123 "," 3,492 "," 2,387 "," 7,128 "," 17,281 "," 32,549 ",," 426,739 ",,88.7%,97.1%,99.1%,93.2%,97.3%,100%*,99.2%
,South West,,Somerset," 62,693 "," 37,896 "," 39,962 "," 36,471 "," 34,454 "," 37,439 "," 28,051 "," 37,777 ",," 15,523 "," 4,371 "," 4,636 "," 3,845 "," 2,464 "," 6,965 "," 13,124 "," 30,620 ",," 396,291 ",,90.3%,95.8%,97.1%,91.8%,99.4%,100%*,98.7%
