,Region of Residence,,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,Midlands,,Nottingham and Nottinghamshire Health and Care," 38,175 "," 37,765 "," 47,899 "," 50,043 "," 50,662 "," 54,912 "," 64,304 "," 64,687 "," 55,419 "," 47,959 "," 49,036 "," 36,214 "," 47,705 ",," 18,244 "," 15,185 "," 18,024 "," 20,604 "," 26,308 "," 34,815 "," 60,678 "," 61,658 "," 53,366 "," 46,953 "," 48,260 "," 35,611 "," 46,464 ",," 1,130,950 ",,48.7%,71.6%,78.1%,86.0%,82.8%,90.6%,96.4%,98.6%,93.4%,98.1%,100%*,95.9%,,85.5%,91.9%,95.0%,91.4%,96.5%,100%*,93.4%
,Midlands,,Shropshire and Telford and Wrekin," 13,601 "," 15,567 "," 21,039 "," 22,479 "," 23,406 "," 27,999 "," 34,575 "," 35,788 "," 31,577 "," 28,661 "," 29,583 "," 22,671 "," 28,330 ",," 7,483 "," 6,842 "," 8,328 "," 9,081 "," 10,345 "," 15,247 "," 32,744 "," 34,234 "," 30,567 "," 28,201 "," 29,237 "," 22,440 "," 27,857 ",," 597,882 ",,55.4%,71.4%,76.9%,83.9%,82.6%,91.0%,97.5%,99.5%,94.5%,97.9%,100%*,98.9%,,86.2%,93.3%,96.3%,93.0%,96.7%,100%*,97.3%
,Midlands,,Staffordshire and Stoke on Trent," 33,752 "," 37,833 "," 52,659 "," 55,994 "," 56,444 "," 64,526 "," 78,078 "," 77,339 "," 68,477 "," 60,508 "," 63,196 "," 48,496 "," 59,795 ",," 16,850 "," 15,976 "," 20,161 "," 22,923 "," 28,772 "," 45,523 "," 73,133 "," 73,378 "," 66,226 "," 59,296 "," 62,287 "," 47,851 "," 58,846 ",," 1,348,319 ",,52.2%,75.0%,82.0%,89.6%,83.9%,93.4%,97.8%,100%*,95.2%,97.4%,100%*,98.3%,,87.5%,92.8%,97.1%,93.3%,96.0%,100%*,96.7%
,Midlands,,The Black Country and West Birmingham," 40,421 "," 44,113 "," 60,166 "," 66,637 "," 69,073 "," 73,382 "," 83,250 "," 78,094 "," 66,745 "," 57,234 "," 54,389 "," 42,808 "," 59,508 ",," 19,348 "," 19,084 "," 24,409 "," 29,061 "," 33,576 "," 45,395 "," 74,890 "," 72,332 "," 63,281 "," 55,287 "," 53,219 "," 41,931 "," 57,892 ",," 1,385,525 ",,44.8%,61.0%,71.3%,84.7%,81.6%,91.5%,94.1%,98.3%,95.0%,97.2%,95.1%,92.6%,,82.3%,87.1%,93.2%,91.8%,95.1%,93.1%,90.1%
,North East and Yorkshire,,Cumbria and North East," 90,767 "," 100,170 "," 132,802 "," 145,590 "," 146,852 "," 161,378 "," 195,241 "," 208,349 "," 191,829 "," 166,656 "," 165,162 "," 113,247 "," 152,738 ",," 43,705 "," 42,609 "," 51,732 "," 57,774 "," 69,434 "," 92,497 "," 175,225 "," 192,108 "," 182,904 "," 162,926 "," 162,895 "," 111,886 "," 149,228 ",," 3,465,704 ",,50.6%,71.4%,81.6%,91.2%,85.3%,92.0%,97.7%,100%*,97.9%,100%*,100%*,94.8%,,82.6%,90.1%,95.6%,95.7%,98.7%,100%*,92.6%
,North East and Yorkshire,,"Humber, Coast and Vale"," 47,889 "," 53,960 "," 73,956 "," 78,914 "," 81,321 "," 94,118 "," 114,260 "," 121,324 "," 109,185 "," 96,722 "," 101,849 "," 71,795 "," 96,937 ",," 22,991 "," 21,200 "," 25,964 "," 29,263 "," 41,206 "," 58,670 "," 106,528 "," 115,427 "," 105,338 "," 94,832 "," 100,702 "," 71,003 "," 95,203 ",," 2,030,557 ",,52.1%,73.0%,81.7%,88.8%,84.7%,92.1%,97.7%,100%*,95.7%,99.2%,100%*,95.9%,,85.9%,92.9%,97.1%,93.8%,98.1%,100%*,94.2%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 63,363 "," 59,263 "," 72,670 "," 74,614 "," 73,801 "," 81,256 "," 98,290 "," 97,402 "," 85,631 "," 73,187 "," 73,693 "," 54,646 "," 70,667 ",," 23,806 "," 21,872 "," 26,319 "," 30,470 "," 44,370 "," 56,563 "," 89,487 "," 90,584 "," 81,863 "," 71,443 "," 72,671 "," 53,984 "," 69,180 ",," 1,711,095 ",,52.4%,72.2%,79.4%,88.1%,82.6%,92.7%,97.6%,99.5%,96.2%,97.2%,100%*,94.0%,,84.4%,90.7%,95.1%,93.9%,95.9%,100%*,92.1%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 81,944 "," 86,036 "," 112,545 "," 122,488 "," 123,943 "," 131,646 "," 148,532 "," 143,858 "," 126,025 "," 107,095 "," 107,592 "," 74,616 "," 100,860 ",," 35,954 "," 32,751 "," 41,214 "," 50,516 "," 60,330 "," 81,698 "," 135,529 "," 135,285 "," 120,524 "," 104,286 "," 105,937 "," 73,379 "," 97,734 ",," 2,542,317 ",,51.7%,71.2%,77.8%,88.4%,84.5%,93.5%,97.1%,99.3%,94.9%,99.2%,100%*,94.1%,,85.3%,91.3%,95.0%,92.4%,97.7%,99.2%,91.2%
,North West,,Cheshire and Merseyside," 72,586 "," 80,478 "," 108,436 "," 119,807 "," 122,116 "," 136,258 "," 163,595 "," 173,575 "," 153,382 "," 131,384 "," 131,681 "," 93,773 "," 127,522 ",," 38,813 "," 36,849 "," 44,805 "," 52,341 "," 59,608 "," 81,053 "," 149,071 "," 161,609 "," 146,680 "," 127,913 "," 129,244 "," 92,125 "," 124,075 ",," 2,858,779 ",,49.4%,68.7%,78.8%,87.6%,83.6%,92.4%,98.1%,100%*,96.0%,99.1%,100%*,94.2%,,84.2%,91.3%,96.8%,93.4%,97.3%,98.4%,91.7%
,North West,,Greater Manchester Health and Social Care Partnership," 112,778 "," 111,145 "," 142,088 "," 152,557 "," 150,815 "," 155,818 "," 175,739 "," 170,231 "," 144,963 "," 121,673 "," 122,705 "," 87,141 "," 110,880 ",," 42,193 "," 41,872 "," 51,948 "," 60,854 "," 71,093 "," 89,490 "," 156,280 "," 156,503 "," 136,132 "," 117,089 "," 119,772 "," 85,057 "," 106,808 ",," 2,993,624 ",,50.8%,67.1%,77.3%,88.4%,84.6%,91.1%,96.8%,99.9%,95.1%,98.6%,100%*,93.8%,,81.0%,89.0%,93.8%,91.5%,96.3%,97.9%,90.3%
,North West,,Healthier Lancashire and South Cumbria," 69,191 "," 57,784 "," 73,323 "," 79,339 "," 81,608 "," 92,952 "," 112,985 "," 117,133 "," 104,205 "," 90,352 "," 94,868 "," 68,480 "," 88,363 ",," 28,203 "," 24,757 "," 31,507 "," 36,648 "," 43,351 "," 59,777 "," 102,819 "," 108,997 "," 99,993 "," 88,159 "," 93,510 "," 67,567 "," 86,140 ",," 2,002,011 ",,55.5%,73.5%,80.7%,88.6%,83.4%,92.1%,98.1%,100%*,95.5%,97.4%,100%*,95.5%,,83.9%,91.3%,96.8%,93.2%,96.0%,100%*,93.1%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 49,101 "," 59,827 "," 87,323 "," 97,905 "," 105,326 "," 108,628 "," 117,371 "," 113,985 "," 95,367 "," 79,218 "," 80,337 "," 60,751 "," 84,486 ",," 22,055 "," 21,213 "," 25,748 "," 29,883 "," 39,567 "," 55,138 "," 109,632 "," 108,482 "," 92,069 "," 77,506 "," 79,162 "," 59,906 "," 82,502 ",," 1,942,488 ",,58.2%,84.5%,86.0%,94.0%,90.8%,95.5%,100%*,100%*,98.0%,98.6%,100%*,95.6%,,89.2%,95.8%,98.8%,95.9%,97.1%,100%*,93.3%
,South East,,Frimley Health and Care ICS," 29,449 "," 27,554 "," 38,548 "," 44,748 "," 48,212 "," 48,937 "," 50,432 "," 47,244 "," 38,689 "," 31,619 "," 30,987 "," 23,091 "," 32,509 ",," 9,033 "," 8,654 "," 11,562 "," 14,263 "," 26,221 "," 33,831 "," 46,824 "," 44,524 "," 37,067 "," 30,842 "," 30,351 "," 22,705 "," 31,497 ",," 839,393 ",,66.1%,79.4%,81.5%,89.5%,88.9%,93.5%,99.3%,100%*,99.1%,98.5%,100%*,95.3%,,86.9%,93.5%,98.0%,96.6%,96.5%,100%*,92.3%
,South East,,Hampshire and the Isle of Wight," 57,261 "," 59,313 "," 84,671 "," 91,780 "," 95,820 "," 103,359 "," 119,314 "," 123,034 "," 108,257 "," 93,483 "," 99,085 "," 74,493 "," 101,482 ",," 28,403 "," 26,741 "," 32,991 "," 35,808 "," 46,304 "," 68,250 "," 112,377 "," 117,458 "," 104,594 "," 91,688 "," 97,637 "," 73,523 "," 98,736 ",," 2,145,862 ",,51.4%,78.1%,84.8%,92.2%,87.2%,93.1%,98.7%,100%*,96.7%,96.6%,100%*,95.4%,,87.7%,94.2%,97.6%,94.8%,95.2%,100%*,92.8%
,South East,,Kent and Medway," 49,866 "," 56,501 "," 79,543 "," 89,858 "," 97,412 "," 105,170 "," 120,944 "," 121,430 "," 104,438 "," 91,101 "," 97,810 "," 71,313 "," 93,034 ",," 24,278 "," 23,305 "," 29,382 "," 33,931 "," 42,522 "," 57,467 "," 111,377 "," 114,250 "," 100,064 "," 88,907 "," 96,213 "," 70,273 "," 90,881 ",," 2,061,270 ",,50.0%,69.4%,77.4%,88.2%,84.4%,89.9%,97.8%,98.6%,94.6%,96.5%,100%*,95.0%,,82.8%,92.0%,94.5%,92.3%,94.9%,100%*,92.8%
,South East,,Surrey Heartlands Health and Care Partnership," 33,319 "," 35,821 "," 48,420 "," 57,591 "," 65,987 "," 69,586 "," 72,224 "," 71,168 "," 58,467 "," 48,252 "," 49,951 "," 38,102 "," 57,148 ",," 12,356 "," 11,472 "," 14,372 "," 17,419 "," 23,031 "," 38,758 "," 67,993 "," 67,215 "," 56,123 "," 47,196 "," 49,210 "," 37,580 "," 55,996 ",," 1,204,757 ",,63.4%,83.4%,84.5%,89.8%,91.6%,93.1%,98.8%,100%*,96.2%,96.3%,100%*,94.2%,,87.6%,93.4%,96.9%,94.1%,94.9%,100%*,92.3%
,South East,,Sussex and East Surrey Health and Care Partnership," 52,017 "," 51,792 "," 74,278 "," 81,712 "," 88,852 "," 98,500 "," 113,840 "," 115,573 "," 101,148 "," 90,430 "," 98,426 "," 74,029 "," 104,938 ",," 22,987 "," 21,239 "," 26,102 "," 30,225 "," 38,675 "," 56,806 "," 106,582 "," 109,541 "," 97,410 "," 88,392 "," 96,958 "," 73,018 "," 102,857 ",," 2,016,327 ",,52.1%,76.2%,79.8%,88.8%,85.6%,91.0%,98.1%,99.2%,94.7%,96.1%,100%*,93.9%,,85.2%,93.0%,95.6%,92.6%,94.7%,100%*,92.0%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 21,680 "," 27,189 "," 42,886 "," 47,085 "," 50,283 "," 56,534 "," 63,915 "," 64,301 "," 55,333 "," 47,622 "," 48,856 "," 36,332 "," 49,621 ",," 12,301 "," 10,687 "," 13,299 "," 14,641 "," 17,296 "," 25,815 "," 59,872 "," 61,463 "," 53,533 "," 46,761 "," 48,321 "," 35,994 "," 48,880 ",," 1,060,500 ",,50.2%,77.2%,83.5%,92.8%,87.5%,94.5%,100%*,100%*,97.7%,99.7%,100%*,98.6%,,88.5%,96.1%,100%*,95.9%,98.6%,100%*,97.1%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 36,788 "," 38,651 "," 54,727 "," 55,772 "," 54,617 "," 54,160 "," 58,559 "," 58,063 "," 48,431 "," 41,844 "," 42,996 "," 32,812 "," 45,044 ",," 16,438 "," 15,399 "," 17,951 "," 19,284 "," 23,708 "," 31,832 "," 54,465 "," 54,854 "," 46,340 "," 40,980 "," 42,408 "," 32,461 "," 44,288 ",," 1,062,872 ",,48.6%,75.4%,85.1%,96.0%,91.8%,95.2%,100%*,100%*,97.2%,98.4%,100%*,95.1%,,88.6%,97.4%,98.5%,95.2%,97.1%,100%*,93.5%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 15,484 "," 16,770 "," 22,547 "," 24,625 "," 26,727 "," 30,883 "," 37,982 "," 41,130 "," 38,817 "," 36,081 "," 39,212 "," 28,840 "," 35,476 ",," 7,242 "," 6,652 "," 8,218 "," 9,224 "," 10,833 "," 15,980 "," 35,875 "," 39,071 "," 37,407 "," 35,435 "," 38,709 "," 28,464 "," 34,874 ",," 702,558 ",,60.2%,79.8%,81.3%,88.7%,82.7%,90.8%,97.1%,97.8%,93.5%,96.0%,100%*,97.0%,,85.7%,92.2%,94.3%,91.8%,94.7%,100%*,95.4%
,South West,,Devon," 35,398 "," 38,604 "," 51,349 "," 54,908 "," 57,037 "," 64,523 "," 79,756 "," 84,739 "," 78,626 "," 71,882 "," 77,563 "," 58,721 "," 78,028 ",," 18,431 "," 15,914 "," 18,952 "," 20,458 "," 25,319 "," 35,858 "," 75,300 "," 80,981 "," 75,171 "," 70,429 "," 76,535 "," 58,045 "," 76,178 ",," 1,478,705 ",,55.7%,77.8%,83.8%,92.4%,87.0%,93.8%,99.0%,100%*,95.3%,97.7%,100%*,98.1%,,88.6%,94.7%,95.9%,93.4%,96.4%,100%*,95.8%
,South West,,Dorset," 26,085 "," 24,110 "," 31,616 "," 35,204 "," 38,204 "," 42,191 "," 50,016 "," 53,561 "," 49,957 "," 46,237 "," 51,474 "," 39,054 "," 55,923 ",," 10,163 "," 9,389 "," 12,505 "," 15,869 "," 25,815 "," 34,678 "," 47,087 "," 50,780 "," 48,235 "," 45,336 "," 50,752 "," 38,571 "," 54,778 ",," 987,590 ",,61.0%,76.3%,80.1%,89.8%,85.7%,91.6%,97.4%,100%*,94.2%,97.6%,100%*,97.1%,,86.2%,92.4%,96.9%,92.4%,96.2%,100%*,95.1%
,South West,,Gloucestershire," 22,202 "," 23,789 "," 30,033 "," 32,387 "," 33,461 "," 37,134 "," 43,625 "," 45,446 "," 39,730 "," 34,729 "," 35,902 "," 27,220 "," 36,623 ",," 8,183 "," 7,517 "," 9,630 "," 10,685 "," 15,440 "," 27,117 "," 40,946 "," 43,443 "," 38,470 "," 34,156 "," 35,483 "," 26,873 "," 35,911 ",," 776,135 ",,68.3%,81.5%,84.4%,90.9%,85.3%,90.9%,99.0%,100%*,93.9%,97.5%,100%*,98.0%,,85.4%,94.6%,97.5%,92.4%,96.4%,100%*,96.0%
,South West,,Somerset," 15,963 "," 17,722 "," 23,829 "," 25,125 "," 26,522 "," 31,093 "," 38,905 "," 41,162 "," 37,271 "," 34,781 "," 37,647 "," 28,076 "," 37,242 ",," 8,227 "," 7,549 "," 9,728 "," 10,287 "," 12,524 "," 17,420 "," 36,959 "," 39,325 "," 36,090 "," 34,053 "," 37,085 "," 27,791 "," 36,754 ",," 709,130 ",,62.1%,78.2%,84.6%,91.3%,85.4%,92.7%,98.7%,99.3%,92.7%,99.9%,100%*,97.3%,,88.1%,94.3%,96.1%,90.8%,98.4%,100%*,96.0%
