,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,Midlands,,Shropshire and Telford and Wrekin," 55,074 "," 32,822 "," 34,414 "," 30,804 "," 28,344 "," 29,462 "," 22,650 "," 28,634 ",," 3,647 ", 976 ," 1,071 ", 737 , 332 , 234 ," 1,277 "," 8,067 ",," 278,545 ",,86.4%,93.8%,97.1%,93.5%,97.5%,100%*,100.0%
,Midlands,,Staffordshire and Stoke on Trent," 139,109 "," 73,755 "," 74,168 "," 67,015 "," 59,759 "," 62,917 "," 48,519 "," 60,511 ",," 19,926 "," 5,525 "," 5,339 "," 3,979 "," 2,420 "," 2,830 "," 5,385 "," 25,219 ",," 656,376 ",,88.2%,93.8%,98.3%,94.0%,96.9%,100%*,99.5%
,Midlands,,The Black Country and West Birmingham," 162,813 "," 76,180 "," 73,263 "," 64,367 "," 56,153 "," 53,997 "," 42,631 "," 60,017 ",," 13,913 "," 3,718 "," 3,650 "," 2,794 "," 1,892 "," 2,581 "," 5,307 "," 28,430 ",," 651,706 ",,83.7%,88.3%,94.8%,93.3%,96.5%,94.7%,93.4%
,North East and Yorkshire,,Cumbria and North East," 315,896 "," 161,449 "," 180,895 "," 181,835 "," 164,000 "," 164,340 "," 113,354 "," 155,100 ",," 55,761 "," 14,821 "," 15,626 "," 11,397 "," 5,231 "," 6,062 "," 15,766 "," 85,096 ",," 1,646,629 ",,76.1%,84.9%,95.0%,96.3%,99.6%,100%*,96.3%
,North East and Yorkshire,,"Humber, Coast and Vale"," 180,566 "," 103,269 "," 113,318 "," 105,738 "," 95,498 "," 101,477 "," 71,787 "," 98,372 ",," 19,669 "," 5,617 "," 6,110 "," 4,818 "," 2,792 "," 3,610 "," 8,937 "," 47,875 ",," 969,453 ",,83.3%,91.2%,97.5%,94.5%,98.9%,100%*,97.4%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 173,494 "," 88,015 "," 87,248 "," 82,474 "," 72,040 "," 73,295 "," 54,568 "," 71,616 ",," 23,833 "," 6,224 "," 6,426 "," 4,890 "," 2,639 "," 4,969 "," 8,638 "," 35,888 ",," 796,257 ",,83.0%,87.4%,95.8%,94.7%,96.7%,100%*,95.3%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 275,651 "," 133,976 "," 135,822 "," 121,799 "," 105,185 "," 106,970 "," 74,488 "," 102,168 ",," 27,853 "," 8,383 "," 9,022 "," 7,759 "," 5,943 "," 9,265 "," 17,782 "," 54,410 ",," 1,196,476 ",,84.4%,91.7%,96.0%,93.2%,98.6%,100%*,95.4%
,North West,,Cheshire and Merseyside," 294,954 "," 145,635 "," 159,486 "," 148,201 "," 129,257 "," 130,651 "," 93,491 "," 128,827 ",," 33,837 "," 9,038 "," 9,850 "," 7,552 "," 4,591 "," 8,144 "," 10,347 "," 48,809 ",," 1,362,670 ",,82.2%,90.1%,97.8%,94.4%,98.4%,99.9%,95.2%
,North West,,Greater Manchester Health and Social Care Partnership," 330,600 "," 157,847 "," 158,603 "," 138,633 "," 118,799 "," 121,351 "," 86,558 "," 111,778 ",," 31,985 "," 8,572 "," 8,831 "," 6,773 "," 4,106 "," 6,628 "," 11,467 "," 42,557 ",," 1,345,088 ",,81.8%,90.2%,95.5%,92.9%,97.6%,99.7%,94.5%
,North West,,Healthier Lancashire and South Cumbria," 200,502 "," 101,353 "," 108,190 "," 100,748 "," 88,757 "," 94,328 "," 68,462 "," 89,537 ",," 21,209 "," 6,526 "," 7,129 "," 5,646 "," 4,636 "," 6,744 "," 18,780 "," 53,888 ",," 976,435 ",,82.7%,90.6%,97.5%,93.8%,96.9%,100%*,96.8%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 177,566 "," 109,699 "," 108,337 "," 92,958 "," 78,163 "," 79,830 "," 60,613 "," 85,445 ",," 19,587 "," 4,659 "," 4,917 "," 3,597 "," 2,139 "," 2,009 "," 7,935 "," 37,773 ",," 875,227 ",,89.2%,95.7%,99.7%,96.7%,98.0%,100%*,96.7%
,South East,,Frimley Health and Care ICS," 83,381 "," 46,837 "," 43,913 "," 37,451 "," 31,107 "," 30,688 "," 22,952 "," 32,776 ",," 9,726 "," 2,428 "," 2,464 "," 1,803 ", 934 ," 2,795 "," 3,803 "," 13,130 ",," 366,188 ",,86.9%,92.3%,99.0%,97.5%,97.5%,100%*,96.1%
,South East,,Hampshire and the Isle of Wight," 223,342 "," 113,213 "," 116,758 "," 105,490 "," 92,388 "," 98,555 "," 74,465 "," 102,843 ",," 28,460 "," 6,984 "," 7,130 "," 5,451 "," 2,879 "," 3,785 "," 8,157 "," 58,302 ",," 1,048,202 ",,88.3%,93.7%,98.4%,95.5%,96.1%,100%*,96.7%
,South East,,Kent and Medway," 192,841 "," 109,030 "," 115,171 "," 101,221 "," 89,747 "," 97,133 "," 71,105 "," 93,893 ",," 30,523 "," 8,095 "," 8,339 "," 6,521 "," 4,514 "," 5,747 "," 11,673 "," 40,933 ",," 986,486 ",,81.1%,92.7%,95.6%,93.2%,95.8%,100%*,95.9%
,South East,,Surrey Heartlands Health and Care Partnership," 102,493 "," 68,797 "," 67,563 "," 56,750 "," 47,692 "," 49,588 "," 37,957 "," 57,630 ",," 12,169 "," 3,102 "," 3,281 "," 2,508 "," 1,354 "," 2,262 "," 2,514 "," 18,095 ",," 533,755 ",,88.7%,93.8%,98.0%,95.1%,95.6%,100%*,95.0%
,South East,,Sussex and East Surrey Health and Care Partnership," 179,107 "," 106,966 "," 110,167 "," 98,151 "," 88,848 "," 97,718 "," 73,741 "," 105,888 ",," 28,337 "," 7,727 "," 7,937 "," 6,227 "," 3,565 "," 3,847 "," 9,131 "," 34,818 ",," 962,175 ",,85.5%,93.5%,96.3%,93.0%,95.4%,100%*,94.7%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 85,945 "," 59,226 "," 61,328 "," 53,796 "," 47,060 "," 48,607 "," 36,280 "," 50,237 ",," 9,805 "," 2,560 "," 2,654 "," 1,944 ", 937 , 595 ," 1,201 "," 19,767 ",," 481,942 ",,87.6%,95.8%,100%*,96.6%,99.2%,100%*,99.8%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 123,766 "," 54,371 "," 55,102 "," 46,874 "," 41,404 "," 42,839 "," 32,780 "," 45,713 ",," 15,503 "," 3,270 "," 3,326 "," 2,441 "," 1,092 "," 1,300 "," 2,590 "," 21,831 ",," 494,202 ",,88.4%,97.8%,99.6%,96.2%,98.1%,100%*,96.5%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 55,026 "," 35,878 "," 39,220 "," 37,585 "," 35,615 "," 39,062 "," 28,782 "," 35,981 ",," 10,378 "," 3,019 "," 2,916 "," 2,230 "," 1,019 "," 1,147 "," 1,755 "," 13,362 ",," 342,975 ",,85.7%,92.5%,94.7%,92.3%,95.6%,100%*,98.4%
,South West,,Devon," 124,238 "," 75,281 "," 81,755 "," 75,718 "," 70,936 "," 77,091 "," 58,622 "," 79,191 ",," 22,015 "," 5,570 "," 5,694 "," 4,277 "," 1,852 "," 1,410 "," 3,657 "," 27,320 ",," 714,627 ",,88.6%,95.6%,96.6%,94.1%,97.1%,100%*,99.6%
,South West,,Dorset," 101,101 "," 47,062 "," 50,940 "," 48,465 "," 45,574 "," 51,097 "," 38,959 "," 56,655 ",," 10,020 "," 2,485 "," 2,743 "," 2,076 "," 1,018 ", 720 , 903 ," 20,040 ",," 479,858 ",,86.2%,92.6%,97.3%,92.8%,96.8%,100%*,98.4%
,South West,,Gloucestershire," 75,031 "," 41,274 "," 43,755 "," 38,750 "," 34,398 "," 35,755 "," 27,197 "," 37,148 ",," 10,299 "," 2,836 "," 2,938 "," 2,280 "," 1,182 "," 1,328 "," 6,075 "," 25,646 ",," 385,892 ",,86.0%,95.3%,98.2%,93.0%,97.1%,100%*,99.4%
,South West,,Somerset," 59,036 "," 37,053 "," 39,314 "," 36,229 "," 34,370 "," 37,417 "," 28,024 "," 37,784 ",," 7,844 "," 2,225 "," 2,282 "," 1,764 ", 815 ," 1,530 "," 1,927 "," 15,378 ",," 342,992 ",,88.3%,94.2%,96.5%,91.6%,99.3%,100%*,98.7%
