,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,Midlands,,Northamptonshire," 82,225 "," 48,107 "," 47,402 "," 39,729 "," 34,984 "," 36,530 "," 25,958 "," 32,021 ",," 10,532 "," 2,972 "," 3,329 "," 2,607 "," 1,577 "," 3,515 "," 11,050 "," 24,903 ",," 407,441 ",,88.4%,95.8%,97.2%,92.7%,96.9%,100%*,97.9%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 134,123 "," 61,823 "," 62,669 "," 54,136 "," 47,502 "," 48,774 "," 36,132 "," 48,015 ",," 16,953 "," 4,120 "," 4,090 "," 2,820 "," 1,076 ", 677 , 797 ," 23,878 ",," 547,585 ",,87.1%,93.4%,96.3%,92.5%,97.6%,100%*,96.5%
,Midlands,,Shropshire and Telford and Wrekin," 57,309 "," 33,565 "," 34,726 "," 30,907 "," 28,413 "," 29,492 "," 22,664 "," 28,652 ",," 5,850 "," 1,540 "," 1,684 "," 1,154 ", 514 , 482 ," 2,332 "," 12,376 ",," 291,660 ",,88.4%,94.6%,97.4%,93.7%,97.6%,100%*,100%*
,Midlands,,Staffordshire and Stoke on Trent," 150,604 "," 75,538 "," 74,944 "," 67,328 "," 59,868 "," 62,940 "," 48,527 "," 60,510 ",," 24,173 "," 6,624 "," 6,527 "," 4,835 "," 2,965 "," 5,570 "," 10,108 "," 37,891 ",," 698,952 ",,90.4%,94.8%,98.8%,94.2%,97.0%,100%*,99.5%
,Midlands,,The Black Country and West Birmingham," 172,658 "," 78,467 "," 74,842 "," 64,906 "," 56,365 "," 54,079 "," 42,688 "," 60,109 ",," 19,926 "," 5,232 "," 5,149 "," 3,991 "," 2,860 "," 5,734 "," 12,959 "," 40,526 ",," 700,491 ",,86.3%,90.2%,95.6%,93.6%,96.6%,94.8%,93.5%
,North East and Yorkshire,,Cumbria and North East," 332,991 "," 177,660 "," 195,041 "," 185,291 "," 164,582 "," 164,465 "," 113,397 "," 155,083 ",," 72,181 "," 18,909 "," 19,863 "," 14,682 "," 7,653 "," 13,454 "," 34,113 "," 114,281 ",," 1,783,646 ",,83.8%,91.5%,96.8%,96.7%,99.7%,100%*,96.3%
,North East and Yorkshire,,"Humber, Coast and Vale"," 190,293 "," 108,953 "," 117,638 "," 106,694 "," 95,766 "," 101,547 "," 71,805 "," 98,333 ",," 28,888 "," 8,207 "," 8,994 "," 7,082 "," 4,133 "," 6,623 "," 15,648 "," 63,957 ",," 1,034,561 ",,87.9%,94.7%,98.3%,94.8%,98.9%,100%*,97.3%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 191,781 "," 92,578 "," 93,503 "," 83,480 "," 72,321 "," 73,368 "," 54,632 "," 71,602 ",," 33,535 "," 9,042 "," 9,299 "," 7,306 "," 4,528 "," 10,658 "," 19,004 "," 47,153 ",," 873,790 ",,87.3%,93.7%,97.0%,95.0%,96.8%,100%*,95.3%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 290,850 "," 139,913 "," 138,477 "," 122,704 "," 105,503 "," 107,063 "," 74,523 "," 102,149 ",," 40,902 "," 12,254 "," 13,317 "," 11,715 "," 10,228 "," 17,603 "," 29,058 "," 70,339 ",," 1,286,598 ",,88.1%,93.4%,96.7%,93.5%,98.7%,100%*,95.3%
,North West,,Cheshire and Merseyside," 314,101 "," 155,661 "," 167,439 "," 149,899 "," 129,772 "," 130,858 "," 93,608 "," 128,904 ",," 46,423 "," 12,546 "," 13,847 "," 11,114 "," 7,569 "," 15,418 "," 22,569 "," 76,121 ",," 1,475,849 ",,87.9%,94.6%,98.9%,94.8%,98.5%,100.0%,95.2%
,North West,,Greater Manchester Health and Social Care Partnership," 346,949 "," 163,705 "," 162,246 "," 139,824 "," 119,185 "," 121,544 "," 86,729 "," 111,882 ",," 48,491 "," 12,737 "," 13,195 "," 10,534 "," 7,025 "," 14,032 "," 28,352 "," 66,810 ",," 1,453,240 ",,84.8%,92.3%,96.3%,93.2%,97.7%,99.9%,94.6%
,North West,,Healthier Lancashire and South Cumbria," 214,507 "," 106,744 "," 112,226 "," 101,662 "," 89,106 "," 94,446 "," 68,528 "," 89,530 ",," 31,055 "," 9,305 "," 10,041 "," 7,760 "," 6,214 "," 14,361 "," 31,378 "," 68,210 ",," 1,055,073 ",,87.1%,94.0%,98.4%,94.2%,97.0%,100%*,96.8%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 185,905 "," 113,201 "," 111,226 "," 93,658 "," 78,376 "," 79,909 "," 60,665 "," 85,451 ",," 26,837 "," 6,469 "," 6,737 "," 5,139 "," 4,351 "," 6,118 "," 15,985 "," 53,486 ",," 933,513 ",,92.1%,98.3%,100%*,97.0%,98.1%,100%*,96.7%
,South East,,Frimley Health and Care ICS," 90,989 "," 48,165 "," 45,666 "," 37,820 "," 31,200 "," 30,727 "," 22,984 "," 32,815 ",," 12,597 "," 3,097 "," 3,106 "," 2,357 "," 1,320 "," 3,925 "," 7,015 "," 20,386 ",," 394,169 ",,89.3%,95.9%,100.0%,97.7%,97.7%,100%*,96.2%
,South East,,Hampshire and the Isle of Wight," 239,144 "," 115,617 "," 120,178 "," 106,267 "," 92,614 "," 98,656 "," 74,500 "," 102,844 ",," 39,362 "," 9,506 "," 9,691 "," 7,386 "," 3,977 "," 5,831 "," 15,706 "," 72,633 ",," 1,113,912 ",,90.2%,96.4%,99.1%,95.8%,96.2%,100%*,96.7%
,South East,,Kent and Medway," 203,280 "," 115,563 "," 116,932 "," 101,925 "," 89,977 "," 97,213 "," 71,171 "," 93,916 ",," 38,362 "," 10,052 "," 10,460 "," 8,341 "," 6,038 "," 9,232 "," 18,272 "," 51,721 ",," 1,042,455 ",,85.9%,94.2%,96.2%,93.4%,95.9%,100%*,95.9%
,South East,,Surrey Heartlands Health and Care Partnership," 107,538 "," 69,832 "," 68,803 "," 57,103 "," 47,759 "," 49,637 "," 37,986 "," 57,669 ",," 16,908 "," 4,296 "," 4,486 "," 3,503 "," 1,947 "," 4,173 "," 8,395 "," 30,825 ",," 570,860 ",,90.0%,95.6%,98.6%,95.2%,95.7%,100%*,95.1%
,South East,,Sussex and East Surrey Health and Care Partnership," 186,508 "," 109,369 "," 111,772 "," 98,681 "," 89,127 "," 97,800 "," 73,817 "," 105,955 ",," 36,818 "," 10,217 "," 10,698 "," 8,594 "," 5,481 "," 8,704 "," 17,225 "," 55,114 ",," 1,025,880 ",,87.4%,94.9%,96.8%,93.3%,95.5%,100%*,94.8%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 89,821 "," 61,306 "," 62,240 "," 54,070 "," 47,148 "," 48,662 "," 36,317 "," 50,247 ",," 14,723 "," 3,789 "," 4,007 "," 2,992 "," 1,485 "," 1,529 "," 7,398 "," 32,260 ",," 517,994 ",,90.6%,97.3%,100%*,96.7%,99.3%,100%*,99.8%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 127,534 "," 56,004 "," 56,156 "," 47,141 "," 41,465 "," 42,849 "," 32,802 "," 45,686 ",," 22,628 "," 4,645 "," 4,730 "," 3,479 "," 1,599 "," 2,489 "," 6,205 "," 31,114 ",," 526,526 ",,91.1%,99.7%,100%*,96.3%,98.1%,100%*,96.5%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 57,880 "," 36,496 "," 39,532 "," 37,728 "," 35,687 "," 39,069 "," 28,818 "," 35,975 ",," 12,540 "," 3,689 "," 3,627 "," 2,855 "," 1,640 "," 2,361 "," 5,252 "," 19,333 ",," 362,482 ",,87.2%,93.3%,95.1%,92.5%,95.6%,100%*,98.4%
,South West,,Devon," 130,806 "," 77,061 "," 82,403 "," 76,036 "," 71,065 "," 77,143 "," 58,669 "," 79,162 ",," 28,794 "," 7,282 "," 7,356 "," 5,662 "," 2,542 "," 2,701 "," 6,733 "," 39,188 ",," 752,603 ",,90.6%,96.3%,97.0%,94.2%,97.2%,100%*,99.5%
,South West,,Dorset," 108,798 "," 48,344 "," 51,683 "," 48,712 "," 45,674 "," 51,122 "," 38,981 "," 56,655 ",," 14,712 "," 3,716 "," 4,063 "," 3,180 "," 1,910 "," 1,853 "," 3,757 "," 31,918 ",," 515,078 ",,88.5%,94.0%,97.8%,93.0%,96.9%,100%*,98.4%
,South West,,Gloucestershire," 78,012 "," 42,231 "," 44,403 "," 38,927 "," 34,469 "," 35,795 "," 27,194 "," 37,135 ",," 12,403 "," 3,363 "," 3,483 "," 2,732 "," 1,665 "," 3,573 "," 11,113 "," 30,559 ",," 407,057 ",,88.0%,96.7%,98.6%,93.2%,97.2%,100%*,99.3%
,South West,,Somerset," 61,447 "," 37,733 "," 39,801 "," 36,400 "," 34,428 "," 37,427 "," 28,038 "," 37,787 ",," 11,335 "," 3,124 "," 3,274 "," 2,550 "," 1,492 "," 3,416 "," 5,285 "," 24,012 ",," 367,549 ",,89.9%,95.4%,96.9%,91.8%,99.3%,100%*,98.7%
